metric	value
sei_total_tracks	21907
sei_tracks_with_specific_Cistrome_ID	19905
sei_tracks_without_specific_Cistrome_ID	2002
cistrome_records_loaded	100000
cistrome_metadata_missing_for_eligible_tracks	0
cistrome_external_id_blank_for_eligible_tracks	0
provenance_join_rule	exact whole-token equality between Cistrome external_id and any Borzoi annotation field
matched_Sei_tracks	109
matched_Sei_tracks_with_human_Borzoi_provenance	109
matched_Sei_tracks_with_mouse_Borzoi_provenance	0
matched_Sei_tracks_rounded_nearest_100	100

matched_track	Cistrome_ID	external_id_type	external_id	Borzoi_species	Borzoi_rows_with_token
LoVo_Colon | FOXD2 | ID:38635	38635	GEO	GSM1208745	human	2
LoVo_Colon | ATF5 | ID:38641	38641	GEO	GSM1208713	human	2
LoVo_Colon | ETV7 | ID:38647	38647	GEO	GSM1208739	human	2
LoVo_Colon | NFYA | ID:38650	38650	GEO	GSM1208777	human	2
LoVo_Colon | MED12 | ID:38653	38653	GEO	GSM1208646	human	2
LoVo_Colon | EHF | ID:38657	38657	GEO	GSM1208609	human	2
LoVo_Colon | SOX2 | ID:38658	38658	GEO	GSM1208794	human	2
LoVo_Colon | CAMTA2 | ID:38661	38661	GEO	GSM1208594	human	2
LoVo_Colon | H3K4me3 | ID:38662	38662	GEO	GSM1208811	human	2
LoVo_Colon | MYC | ID:38663	38663	GEO	GSM1208654	human	2
LoVo_Colon | ZBTB7B | ID:38666	38666	GEO	GSM1208702	human	2
LoVo_Colon | GLIS1 | ID:38673	38673	GEO	GSM1208752	human	2
LoVo_Colon | HOXA13 | ID:38678	38678	GEO	GSM1208756	human	2
LoVo_Colon | LHX2 | ID:38679	38679	GEO	GSM1208644	human	2
LoVo_Colon | EGR1 | ID:38684	38684	GEO	GSM1208608	human	2
LoVo_Colon | RAD21 | ID:38691	38691	GEO	GSM1208668	human	2
LoVo_Colon | RBCK1 | ID:38695	38695	GEO	GSM1208789	human	2
LoVo_Colon | H3 | ID:38697	38697	GEO	GSM1208809	human	2
LoVo_Colon | E2F7 | ID:38698	38698	GEO	GSM1208730	human	2
LoVo_Colon | HINFP | ID:38704	38704	GEO	GSM1208631	human	2
LoVo_Colon | VEZF1 | ID:38706	38706	GEO	GSM1208807	human	2
LoVo_Colon | HOXA2 | ID:38708	38708	GEO	GSM1208757	human	2
LoVo_Colon | ETS2 | ID:38712	38712	GEO	GSM1208738	human	2
LoVo_Colon | HNF4A | ID:38713	38713	GEO	GSM1208632	human	2
LoVo_Colon | YY1 | ID:38716	38716	GEO	GSM1208699	human	2
LoVo_Colon | GLI2 | ID:38718	38718	GEO	GSM1208622	human	2
LoVo_Colon | DLX1 | ID:38719	38719	GEO	GSM1208723	human	2
LoVo_Colon | CREB3L4 | ID:38721	38721	GEO	GSM1208721	human	2
LoVo_Colon | GMEB2 | ID:38724	38724	GEO	GSM1208626	human	2
LoVo_Colon | HBP1 | ID:38726	38726	GEO	GSM1208627	human	2
LoVo_Colon | TFDP1 | ID:38731	38731	GEO	GSM1208691	human	2
LoVo_Colon | NKX2-2 | ID:38736	38736	GEO	GSM1208780	human	2
LoVo_Colon | MED1 | ID:38737	38737	GEO	GSM1208647	human	2
LoVo_Colon | GATA4 | ID:38741	38741	GEO	GSM1208620	human	2
LoVo_Colon | JUN | ID:38743	38743	GEO	GSM1208639	human	2
LoVo_Colon | RFX5 | ID:38746	38746	GEO	GSM1208672	human	2
LoVo_Colon | ZNF407 | ID:38750	38750	GEO	GSM1208705	human	2
LoVo_Colon | JUND | ID:38758	38758	GEO	GSM1208763	human	2
LoVo_Colon | ETV5 | ID:38759	38759	GEO	GSM1208736	human	2
LoVo_Colon | RFX2 | ID:38761	38761	GEO	GSM1208671	human	2
LoVo_Colon | CEBPB | ID:38763	38763	GEO	GSM1208598	human	2
LoVo_Colon | SP1 | ID:38771	38771	GEO	GSM1208683	human	2
LoVo_Colon | CLOCK | ID:38772	38772	GEO	GSM1208719	human	2
LoVo_Colon | NFAT5 | ID:38773	38773	GEO	GSM1208657	human	2
LoVo_Colon | CTCF | ID:38774	38774	GEO	GSM1208603	human	2
LoVo_Colon | SMC1A | ID:38778	38778	GEO	GSM1208678	human	2
LoVo_Colon | TEAD2 | ID:38779	38779	GEO	GSM1208802	human	2
LoVo_Colon | AEBP2 | ID:38782	38782	GEO	GSM1208709	human	2
LoVo_Colon | RFX1 | ID:38784	38784	GEO	GSM1208670	human	2
LoVo_Colon | NIPBL | ID:38785	38785	GEO	GSM1208661	human	2
LoVo_Colon | KLF3 | ID:38790	38790	GEO	GSM1208641	human	2
LoVo_Colon | SMAD2 | ID:38793	38793	GEO	GSM1208674	human	2
LoVo_Colon | GMEB1 | ID:38799	38799	GEO	GSM1208625	human	2
LoVo_Colon | E2F8 | ID:38804	38804	GEO	GSM1208731	human	2
LoVo_Colon | SMC3 | ID:38811	38811	GEO	GSM1208679	human	2
LoVo_Colon | ASCL2 | ID:38812	38812	GEO	GSM1208591	human	2
LoVo_Colon | REST | ID:38814	38814	GEO	GSM1208790	human	2
LoVo_Colon | HOXA1 | ID:38817	38817	GEO	GSM1208634	human	2
LoVo_Colon | H3K4me1 | ID:38818	38818	GEO	GSM1208810	human	2
LoVo_Colon | BARX2 | ID:38820	38820	GEO	GSM1208593	human	2
LoVo_Colon | MNT | ID:38824	38824	GEO	GSM1208771	human	2
LoVo_Colon | FOXG1 | ID:38827	38827	GEO	GSM1208746	human	2
LoVo_Colon | LYL1 | ID:38829	38829	GEO	GSM1208767	human	2
LoVo_Colon | FEV | ID:38830	38830	GEO	GSM1208742	human	2
LoVo_Colon | KLF5 | ID:38831	38831	GEO	GSM1208642	human	2
LoVo_Colon | TP73 | ID:38832	38832	GEO	GSM1208805	human	2
LoVo_Colon | NFE2L2 | ID:38850	38850	GEO	GSM1208659	human	2
LoVo_Colon | ATF1 | ID:38852	38852	GEO	GSM1208712	human	2
LoVo_Colon | ATOH1 | ID:38856	38856	GEO	GSM1208592	human	2
LoVo_Colon | MECOM | ID:38858	38858	GEO	GSM1208740	human	2
LoVo_Colon | CASP8AP2 | ID:38860	38860	GEO	GSM1208595	human	2
LoVo_Colon | RXRA | ID:38864	38864	GEO	GSM1208673	human	2
LoVo_Colon | E2F2 | ID:38865	38865	GEO	GSM1208606	human	2
Mesenchymal_Stem_Cell | POLR2A | ID:54121	54121	GEO	GSM1684630	human	2
Mesenchymal_Stem_Cell | POLR2A | ID:54122	54122	GEO	GSM1684631	human	2
Mesenchymal_Stem_Cell | POLR2A | ID:54123	54123	GEO	GSM1684632	human	2
Mesenchymal_Stem_Cell | POLR2A | ID:54124	54124	GEO	GSM1684633	human	2
Mesenchymal_Stem_Cell | CEBPB | ID:54125	54125	GEO	GSM1684634	human	2
Mesenchymal_Stem_Cell | CEBPB | ID:54126	54126	GEO	GSM1684635	human	2
Mesenchymal_Stem_Cell | CEBPB | ID:54127	54127	GEO	GSM1684636	human	2
Mesenchymal_Stem_Cell | NR3C1 | ID:54128	54128	GEO	GSM1684637	human	2
Mesenchymal_Stem_Cell | ATF4 | ID:54129	54129	GEO	GSM1684638	human	2
Mesenchymal_Stem_Cell | H3K27ac | ID:54130	54130	GEO	GSM1684639	human	2
Mesenchymal_Stem_Cell | CEBPB | ID:54131	54131	GEO	GSM1684640	human	2
Mesenchymal_Stem_Cell | CEBPB | ID:54132	54132	GEO	GSM1684641	human	2
Mesenchymal_Stem_Cell | CEBPB | ID:54133	54133	GEO	GSM1684642	human	2
Mesenchymal_Stem_Cell | CEBPB | ID:54134	54134	GEO	GSM1684643	human	2
Mesenchymal_Stem_Cell | CEBPB | ID:54136	54136	GEO	GSM1684645	human	2
Mesenchymal_Stem_Cell | CEBPB | ID:54137	54137	GEO	GSM1684646	human	2
Mesenchymal_Stem_Cell | CEBPB | ID:54138	54138	GEO	GSM1684647	human	2
Mesenchymal_Stem_Cell | ATF4 | ID:54139	54139	GEO	GSM1684648	human	2
Mesenchymal_Stem_Cell | ATF4 | ID:54140	54140	GEO	GSM1684649	human	2
HAP-1 | ATF4 | ID:55516	55516	GEO	GSM1697346	human	2
Eye | DNase | ID:62361	62361	ENCODE	ENCSR127PWK	human	1
Brain | DNase | ID:62383	62383	ENCODE	ENCSR595CSH	human	1
Umbilical_Cord | DNase | ID:62386	62386	ENCODE	ENCSR512CWR	human	1
Tongue | DNase | ID:62393	62393	ENCODE	ENCSR559WMK	human	1
Urinary_Bladder | DNase | ID:62399	62399	ENCODE	ENCSR813CKU	human	1
Neural_Progenitor_Cell | DNase | ID:62409	62409	ENCODE	ENCSR963ALV	human	1
SJCRH30_Fibroblast_Muscle | DNase | ID:62474	62474	ENCODE	ENCSR000FFJ	human	1
U2OS_Osteosarcoma_cell | H3K9ac | ID:71017	71017	GEO	GSM2060764	human	2
U2OS_Osteosarcoma_cell | H3K9ac | ID:71018	71018	GEO	GSM2060763	human	2
U2OS_Osteosarcoma_cell | H3K4me3 | ID:71019	71019	GEO	GSM2060762	human	2
U2OS_Osteosarcoma_cell | H3K4me3 | ID:71020	71020	GEO	GSM2060761	human	2
U2OS_Osteosarcoma_cell | CLOCK | ID:71021	71021	GEO	GSM1920693	human	2
U2OS_Osteosarcoma_cell | ARNTL | ID:71023	71023	GEO	GSM1920691	human	2
U2OS_Osteosarcoma_cell | ARNTL | ID:71024	71024	GEO	GSM1920690	human	2
U2OS_Bone | HIF1A | ID:77518	77518	GEO	GSM2257673	human	2
U2OS_Bone | HIF1A | ID:77519	77519	GEO	GSM2257672	human	2
