method	spot	bic_rank	subset	weights	delta_bic	delta_aic	log_likelihood	molecules	iterations
full_reference_all_genes	Spot_710-1	1	B_Cell,Endothelial,Macrophage	B_Cell=0.332427,Endothelial=0.351830,Macrophage=0.315743	0.000000	0.000000	-24745.215816	3693.0	47
full_reference_all_genes	Spot_710-1	2	B_Cell,Endothelial,Fibroblast_Stroma,Macrophage	B_Cell=0.331380,Endothelial=0.350854,Fibroblast_Stroma=0.003487,Macrophage=0.314280	8.037059	1.822865	-24745.127249	3693.0	500
full_reference_all_genes	Spot_710-1	3	B_Cell,Endothelial,Macrophage,Tumor_Core	B_Cell=0.332427,Endothelial=0.351830,Macrophage=0.315743,Tumor_Core=0.000000	8.214195	2.000001	-24745.215817	3693.0	355
full_reference_all_genes	Spot_710-1	4	B_Cell,Endothelial,Macrophage,T_Cell	B_Cell=0.332418,Endothelial=0.351824,Macrophage=0.315736,T_Cell=0.000021	8.215888	2.001693	-24745.216663	3693.0	500
full_reference_all_genes	Spot_710-1	5	B_Cell,Endothelial,Fibroblast_Stroma,Macrophage,Tumor_Core	B_Cell=0.331380,Endothelial=0.350854,Fibroblast_Stroma=0.003486,Macrophage=0.314280,Tumor_Core=0.000000	16.251253	3.822865	-24745.127248	3693.0	500
full_reference_all_genes	Spot_710-1	6	B_Cell,Endothelial,Fibroblast_Stroma,Macrophage,T_Cell	B_Cell=0.331379,Endothelial=0.350854,Fibroblast_Stroma=0.003479,Macrophage=0.314281,T_Cell=0.000007	16.251915	3.823527	-24745.127579	3693.0	500
full_reference_all_genes	Spot_710-1	7	B_Cell,Endothelial,Macrophage,T_Cell,Tumor_Core	B_Cell=0.332419,Endothelial=0.351824,Macrophage=0.315737,T_Cell=0.000021,Tumor_Core=0.000000	16.430030	4.001641	-24745.216637	3693.0	500
full_reference_all_genes	Spot_710-1	8	B_Cell,Endothelial,Fibroblast_Stroma,Macrophage,T_Cell,Tumor_Core	B_Cell=0.331379,Endothelial=0.350854,Fibroblast_Stroma=0.003479,Macrophage=0.314281,T_Cell=0.000007,Tumor_Core=0.000000	24.466099	5.823516	-24745.127574	3693.0	500
full_reference_all_genes	Spot_710-1	9	B_Cell,Endothelial,Fibroblast_Stroma,T_Cell,Tumor_Core	B_Cell=0.394813,Endothelial=0.422512,Fibroblast_Stroma=0.065422,T_Cell=0.058716,Tumor_Core=0.058537	758.980784	746.552396	-25116.492014	3693.0	173
full_reference_all_genes	Spot_710-1	10	B_Cell,Endothelial,Fibroblast_Stroma,Tumor_Core	B_Cell=0.413666,Endothelial=0.439348,Fibroblast_Stroma=0.077950,Tumor_Core=0.069036	777.340295	771.126100	-25129.778866	3693.0	144
full_reference_all_genes	Spot_710-1	11	B_Cell,Endothelial,Fibroblast_Stroma,T_Cell	B_Cell=0.410412,Endothelial=0.438370,Fibroblast_Stroma=0.081529,T_Cell=0.069690	779.307854	773.093660	-25130.762646	3693.0	149
full_reference_all_genes	Spot_710-1	12	B_Cell,Endothelial,T_Cell,Tumor_Core	B_Cell=0.407817,Endothelial=0.433590,T_Cell=0.078159,Tumor_Core=0.080434	792.008659	785.794464	-25137.113048	3693.0	133
even_reference_all_genes	Spot_710-1	1	B_Cell,Endothelial,Macrophage	B_Cell=0.332200,Endothelial=0.353215,Macrophage=0.314584	0.000000	0.000000	-24747.485714	3693.0	47
even_reference_all_genes	Spot_710-1	2	B_Cell,Endothelial,Fibroblast_Stroma,Macrophage	B_Cell=0.330648,Endothelial=0.351757,Fibroblast_Stroma=0.005221,Macrophage=0.312373	7.806376	1.592182	-24747.281805	3693.0	500
even_reference_all_genes	Spot_710-1	3	B_Cell,Endothelial,Macrophage,Tumor_Core	B_Cell=0.332200,Endothelial=0.353215,Macrophage=0.314584,Tumor_Core=0.000000	8.214195	2.000001	-24747.485715	3693.0	401
even_reference_all_genes	Spot_710-1	4	B_Cell,Endothelial,Macrophage,T_Cell	B_Cell=0.332197,Endothelial=0.353213,Macrophage=0.314582,T_Cell=0.000008	8.214941	2.000746	-24747.486088	3693.0	500
