diagnostic	value
archive_files	"[""barcodes.tsv.gz"", ""features.tsv.gz"", ""matrix.mtx.gz"", ""scalefactors_json.json"", ""spatial_q_sc_counts.csv"", ""spatial_q_sc_metadata.csv"", ""tissue_hires_image.png"", ""tissue_lowres_image.png"", ""tissue_positions.csv""]"
metadata_header	"["""", ""cell_type""]"
metadata_shape	[1200, 2]
metadata_first_rows	"[[""Cell_0"", ""Tumor_Core""], [""Cell_1"", ""Tumor_Core""], [""Cell_2"", ""Tumor_Core""], [""Cell_3"", ""Tumor_Core""], [""Cell_4"", ""Tumor_Core""]]"
metadata_values_cell_type	"{""B_Cell"": 200, ""Endothelial"": 200, ""Fibroblast_Stroma"": 200, ""Macrophage"": 200, ""T_Cell"": 200, ""Tumor_Core"": 200}"
sc_counts_shape	[1200, 1001]
sc_counts_header_first	"["""", ""Gene_0"", ""Gene_1"", ""Gene_2"", ""Gene_3"", ""Gene_4"", ""Gene_5"", ""Gene_6"", ""Gene_7"", ""Gene_8""]"
sc_counts_first_rows	"[[""Cell_0"", ""7"", ""11"", ""5"", ""5"", ""6"", ""4"", ""8""], [""Cell_1"", ""4"", ""6"", ""4"", ""8"", ""5"", ""6"", ""7""], [""Cell_2"", ""2"", ""11"", ""9"", ""9"", ""5"", ""4"", ""5""], [""Cell_3"", ""9"", ""6"", ""9"", ""3"", ""8"", ""5"", ""5""], [""Cell_4"", ""1"", ""9"", ""8"", ""8"", ""10"", ""4"", ""4""]]"
barcodes_count	900
barcodes_first	"[""Spot_0-1"", ""Spot_1-1"", ""Spot_2-1"", ""Spot_3-1"", ""Spot_4-1""]"
barcodes_last	"[""Spot_895-1"", ""Spot_896-1"", ""Spot_897-1"", ""Spot_898-1"", ""Spot_899-1""]"
target_barcode_zero_based_index	710
features_count	1000
features_first	"[[""ENSG0000"", ""Gene_0"", ""Gene Expression""], [""ENSG0001"", ""Gene_1"", ""Gene Expression""], [""ENSG0002"", ""Gene_2"", ""Gene Expression""], [""ENSG0003"", ""Gene_3"", ""Gene Expression""], [""ENSG0004"", ""Gene_4"", ""Gene Expression""]]"
sc_orientation_overlaps	"{""metadata_vs_first_column"": 1200, ""metadata_vs_header"": 0}"
inferred_sc_orientation	cells_by_rows_genes_by_columns
gene_overlap	"{""sc_genes"": 1000, ""sc_vs_feature_col0"": 0, ""sc_vs_feature_col1"": 1000}"
matrix_dimensions	[1000, 900, 641101]
matrix_entries	641101
inferred_spatial_orientation	features_by_spots
target_spot_stats	"{""library_sum"": 3693.0, ""max_gene_count"": 17.0, ""nonzero_genes"": 883}"
