supplied_label	endoderm	endostyle_csg	epidermal_neural	epidermis	mesodermal_notochord	muscular_somites	neural	neural_like	putative_neuro_endo	somite	tailbud	tailbud_neural	best_match	best_corr	self_corr	self_rank
endoderm	1.000000000	0.982948932	0.775831057	0.514508057	0.928943967	0.891371370	0.906147593	0.808342156	0.581983108	0.948514937	0.947851258	0.884297869	endoderm	1.000000000	1.000000000	1
endostyle_csg	0.982948932	1.000000000	0.782105665	0.514845227	0.891476358	0.870961006	0.905146146	0.807462065	0.540243470	0.932250498	0.945500144	0.888020667	endostyle_csg	1.000000000	1.000000000	1
epidermal_neural	0.884297869	0.888020667	0.883795528	0.549761515	0.853166515	0.797599578	0.985021769	0.821887750	0.402100538	0.926723607	0.924730501	1.000000000	tailbud_neural	1.000000000	0.883795528	7
epidermis	0.514508057	0.514845227	0.846992293	1.000000000	0.505508929	0.467265848	0.556593857	0.830564336	0.452922192	0.501990248	0.572007092	0.549761515	epidermis	1.000000000	1.000000000	1
mesodermal_notochord	0.928943967	0.891476358	0.747483501	0.505508929	1.000000000	0.851990446	0.876609357	0.784383488	0.591452707	0.903293130	0.921198966	0.853166515	mesodermal_notochord	1.000000000	1.000000000	1
muscular_somites	0.891371370	0.870961006	0.705220979	0.467265848	0.851990446	1.000000000	0.831070502	0.748860120	0.568011007	0.905221664	0.846994856	0.797599578	muscular_somites	1.000000000	1.000000000	1
neural	0.906147593	0.905146146	0.877712400	0.556593857	0.876609357	0.831070502	1.000000000	0.847275723	0.462245386	0.931339493	0.930978395	0.985021769	neural	1.000000000	1.000000000	1
neural_like	0.808342156	0.807462065	0.906395403	0.830564336	0.784383488	0.748860120	0.847275723	1.000000000	0.675507251	0.784191563	0.864164531	0.821887750	neural_like	1.000000000	1.000000000	1
putative_neuro_endo	0.581983108	0.540243470	0.382227764	0.452922192	0.591452707	0.568011007	0.462245386	0.675507251	1.000000000	0.467569871	0.627087889	0.402100538	putative_neuro_endo	1.000000000	1.000000000	1
somite	0.948514937	0.932250498	0.811353114	0.501990248	0.903293130	0.905221664	0.931339493	0.784191563	0.467569871	1.000000000	0.917981819	0.926723607	somite	1.000000000	1.000000000	1
tailbud	0.947851258	0.945500144	0.814828973	0.572007092	0.921198966	0.846994856	0.930978395	0.864164531	0.627087889	0.917981819	1.000000000	0.924730501	tailbud	1.000000000	1.000000000	1
tailbud_neural	0.775831057	0.782105665	1.000000000	0.846992293	0.747483501	0.705220979	0.877712400	0.906395403	0.382227764	0.811353114	0.814828973	0.883795528	epidermal_neural	1.000000000	0.883795528	3
