File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF321SNO	bam	bam		alignments	GRCh38	ENCSR404OEO	ATAC-seq	/human-donors/ENCDO095LOP/	EFO:0010848	HG02763	cell line	Homo sapiens											DNA						2021-02-10	ENCODE		chemical (Tn5 transposase)		1	1_1		80					/files/ENCFF140XLU/, /files/ENCFF356LFX/, /files/ENCFF110MCL/, /files/ENCFF493CCB/, /files/ENCFF304XEX/, /files/ENCFF922VLW/, /files/ENCFF212UAV/, /files/ENCFF711UJA/	4259252020	ENCODE Processing Pipeline	9fa70b420130ca0150ec6e5d5d27b22e		https://www.encodeproject.org/files/ENCFF321SNO/@@download/ENCFF321SNO.bam				released	s3://encode-public/2021/01/14/fbbecea3-6725-4a89-97ed-6475f347926c/ENCFF321SNO.bam	https://datasetencode.blob.core.windows.net/dataset/2021/01/14/fbbecea3-6725-4a89-97ed-6475f347926c/ENCFF321SNO.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking	unreplicated experiment	
ENCFF292BTS	bam	bam		alignments	GRCh38	ENCSR487QSB	ATAC-seq	/human-donors/ENCDO002IGY/	CLO:0026238	GM18907	cell line	Homo sapiens											DNA						2021-02-10	ENCODE		chemical (Tn5 transposase)		1	1_1		80					/files/ENCFF493CCB/, /files/ENCFF140XLU/, /files/ENCFF289XGY/, /files/ENCFF356LFX/, /files/ENCFF110MCL/, /files/ENCFF147DLJ/, /files/ENCFF212UAV/, /files/ENCFF304XEX/	9220374648	ENCODE Processing Pipeline	8774f9c6fb0ce5b7431659317b725269		https://www.encodeproject.org/files/ENCFF292BTS/@@download/ENCFF292BTS.bam				released	s3://encode-public/2021/01/14/e9f01067-2ea0-4893-9aa9-ecfa17ddfc8c/ENCFF292BTS.bam	https://datasetencode.blob.core.windows.net/dataset/2021/01/14/e9f01067-2ea0-4893-9aa9-ecfa17ddfc8c/ENCFF292BTS.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking	unreplicated experiment	
ENCFF462RHM	bam	bam		alignments	GRCh38	ENCSR419UYY	ATAC-seq	/human-donors/ENCDO510QZD/	EFO:0010836	GM19025	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1		80					/files/ENCFF212UAV/, /files/ENCFF110MCL/, /files/ENCFF370JFP/, /files/ENCFF493CCB/, /files/ENCFF304XEX/, /files/ENCFF356LFX/, /files/ENCFF140XLU/, /files/ENCFF507JJS/	2879286284	ENCODE Processing Pipeline	623a2a1a2cdb41565b8f2e3d81501acf		https://www.encodeproject.org/files/ENCFF462RHM/@@download/ENCFF462RHM.bam				released	s3://encode-public/2021/02/02/3c0911e4-6036-42ac-be69-2b83aa4f52a6/ENCFF462RHM.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/02/3c0911e4-6036-42ac-be69-2b83aa4f52a6/ENCFF462RHM.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	low read depth, moderate library complexity, mild to moderate bottlenecking	unreplicated experiment	
ENCFF496QAW	bam	bam		alignments	GRCh38	ENCSR422RPD	ATAC-seq	/human-donors/ENCDO404YAI/	CLO:0014043	GM21717	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1		80					/files/ENCFF982HMD/, /files/ENCFF356LFX/, /files/ENCFF212UAV/, /files/ENCFF493CCB/, /files/ENCFF304XEX/, /files/ENCFF140XLU/, /files/ENCFF156QCW/, /files/ENCFF110MCL/	5137789127	ENCODE Processing Pipeline	391ea0bc74c8f4b5cfb7025b235015e8		https://www.encodeproject.org/files/ENCFF496QAW/@@download/ENCFF496QAW.bam				released	s3://encode-public/2021/02/02/039c34f3-3975-411c-afee-c9950175190a/ENCFF496QAW.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/02/039c34f3-3975-411c-afee-c9950175190a/ENCFF496QAW.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking	unreplicated experiment	
ENCFF220BRO	bam	bam		alignments	GRCh38	ENCSR835WBW	ATAC-seq	/human-donors/ENCDO037SOF/	EFO:0010888	HG03565	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1		80					/files/ENCFF212UAV/, /files/ENCFF304XEX/, /files/ENCFF364QMG/, /files/ENCFF493CCB/, /files/ENCFF110MCL/, /files/ENCFF140XLU/, /files/ENCFF356LFX/, /files/ENCFF371QBH/	4618512486	ENCODE Processing Pipeline	0bf13e85c128c921760766a6351535a6		https://www.encodeproject.org/files/ENCFF220BRO/@@download/ENCFF220BRO.bam				released	s3://encode-public/2021/01/26/c2c9088f-b5b2-4c8f-87a4-3d856dd1818f/ENCFF220BRO.bam	https://datasetencode.blob.core.windows.net/dataset/2021/01/26/c2c9088f-b5b2-4c8f-87a4-3d856dd1818f/ENCFF220BRO.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking	unreplicated experiment	
ENCFF991ZNJ	bam	bam		alignments	GRCh38	ENCSR105SCQ	ATAC-seq	/human-donors/ENCDO503BYG/	CLO:0015908	GM21360	cell line	Homo sapiens											DNA						2021-02-10	ENCODE		chemical (Tn5 transposase)		1	1_1		80					/files/ENCFF212UAV/, /files/ENCFF170YQL/, /files/ENCFF110MCL/, /files/ENCFF493CCB/, /files/ENCFF731NVJ/, /files/ENCFF140XLU/, /files/ENCFF304XEX/, /files/ENCFF356LFX/	3940619432	ENCODE Processing Pipeline	f9a565162e80b1074dc90b6b45a3e73b		https://www.encodeproject.org/files/ENCFF991ZNJ/@@download/ENCFF991ZNJ.bam				released	s3://encode-public/2021/01/14/62194941-3c9a-4321-9194-c0e1c019ae3c/ENCFF991ZNJ.bam	https://datasetencode.blob.core.windows.net/dataset/2021/01/14/62194941-3c9a-4321-9194-c0e1c019ae3c/ENCFF991ZNJ.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking	unreplicated experiment	
ENCFF500EBK	bam	bam		alignments	GRCh38	ENCSR492FJO	ATAC-seq	/human-donors/ENCDO227ZDT/	CLO:0026250	GM18867	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1		80					/files/ENCFF493CCB/, /files/ENCFF566SFL/, /files/ENCFF192ONT/, /files/ENCFF140XLU/, /files/ENCFF212UAV/, /files/ENCFF356LFX/, /files/ENCFF110MCL/, /files/ENCFF304XEX/	7138663542	ENCODE Processing Pipeline	109938df3e43584eb79c541abb7b668c		https://www.encodeproject.org/files/ENCFF500EBK/@@download/ENCFF500EBK.bam				released	s3://encode-public/2021/02/04/4f93abf4-71fb-4302-84d2-fbdf861a325d/ENCFF500EBK.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/04/4f93abf4-71fb-4302-84d2-fbdf861a325d/ENCFF500EBK.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking	unreplicated experiment	
ENCFF358GWK	bam	bam		alignments	GRCh38	ENCSR420RVW	ATAC-seq	/human-donors/ENCDO921ZBU/	EFO:0010852	HG02870	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1		80					/files/ENCFF110MCL/, /files/ENCFF839PNA/, /files/ENCFF304XEX/, /files/ENCFF140XLU/, /files/ENCFF755LKR/, /files/ENCFF356LFX/, /files/ENCFF212UAV/, /files/ENCFF493CCB/	4063224804	ENCODE Processing Pipeline	9199c0ad6ff68d19ad66bc5ed20db697		https://www.encodeproject.org/files/ENCFF358GWK/@@download/ENCFF358GWK.bam				released	s3://encode-public/2021/02/01/b8c0c6dc-94eb-43ef-ad9f-bb2e29560468/ENCFF358GWK.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/01/b8c0c6dc-94eb-43ef-ad9f-bb2e29560468/ENCFF358GWK.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking	unreplicated experiment	
ENCFF479XDB	bam	bam		alignments	GRCh38	ENCSR040PBN	ATAC-seq	/human-donors/ENCDO033LJA/	EFO:0010865	HG03066	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1		80					/files/ENCFF140XLU/, /files/ENCFF681NCS/, /files/ENCFF266IOL/, /files/ENCFF304XEX/, /files/ENCFF493CCB/, /files/ENCFF356LFX/, /files/ENCFF212UAV/, /files/ENCFF110MCL/	2224785778	ENCODE Processing Pipeline	148718145964b98468627c22c656f18b		https://www.encodeproject.org/files/ENCFF479XDB/@@download/ENCFF479XDB.bam				released	s3://encode-public/2021/02/01/3fc2d60e-bfa9-4f2a-94aa-9ad5315fa934/ENCFF479XDB.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/01/3fc2d60e-bfa9-4f2a-94aa-9ad5315fa934/ENCFF479XDB.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	low read depth	unreplicated experiment	
ENCFF960AXI	bam	bam		alignments	GRCh38	ENCSR524CPZ	ATAC-seq	/human-donors/ENCDO589DVM/	EFO:0010849	HG02798	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1		80					/files/ENCFF140XLU/, /files/ENCFF110MCL/, /files/ENCFF809RNF/, /files/ENCFF304XEX/, /files/ENCFF493CCB/, /files/ENCFF356LFX/, /files/ENCFF724XKP/, /files/ENCFF212UAV/	8887178378	ENCODE Processing Pipeline	3c01ff80f2e0f57aa299fa95b4009119		https://www.encodeproject.org/files/ENCFF960AXI/@@download/ENCFF960AXI.bam				released	s3://encode-public/2021/01/22/1b9ea329-1e28-45cc-bdf0-679dc12bae92/ENCFF960AXI.bam	https://datasetencode.blob.core.windows.net/dataset/2021/01/22/1b9ea329-1e28-45cc-bdf0-679dc12bae92/ENCFF960AXI.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking	poor library complexity, unreplicated experiment	
