cluster	gene	score	logfoldchanges_eye2_vs_eye1	pvals_adj
0	MMP2-AS1	6.206521987915039	0.9098461866378784	3.6048677404651155e-07
0	THSD4	6.178736686706543	1.5906038284301758	4.2232752600916455e-07
0	PTPRN2	5.902301788330078	0.8503795266151428	1.7263352616131811e-06
0	FSTL5	4.989251136779785	1.5994422435760498	0.00015195387324400063
0	B3GALT5	4.980830192565918	0.8754118084907532	0.00015763850603265709
0	ANO3	4.155186653137207	0.9965571761131287	0.004557908717289264
0	PTP4A3	3.9517335891723633	0.5757095813751221	0.009101811103774777
0	GACAT2	3.9004971981048584	0.5708916783332825	0.01093721896447531
0	ABCA7	3.805734872817993	0.422260582447052	0.014865830760607261
0	AC004540.1	3.566786050796509	0.40831175446510315	0.03234008251049021
0	PLOD2	3.373992681503296	0.8737244009971619	0.056141492020756
0	CPEB4	3.332136631011963	0.39555057883262634	0.06246226871649834
0	HPRT1	3.2446937561035156	0.4577077031135559	0.07896210020487834
0	AC083837.1	3.2201061248779297	1.346805453300476	0.08466007058092911
0	CDK14	3.0460731983184814	0.5841904282569885	0.1338484640884275
0	NFASC	2.998105764389038	0.35193273425102234	0.1508823029531016
0	SLC25A29	2.6112751960754395	0.2931273579597473	0.3911852125023605
0	RTN1	2.6091787815093994	0.27612295746803284	0.3923588305141705
0	AATF	2.5848042964935303	0.46976596117019653	0.4122765719933191
0	AC132803.1	2.5521864891052246	0.854270339012146	0.44322493371557803
0	MERTK	2.5374765396118164	0.38645195960998535	0.45573406382189335
0	MMP2	2.4023149013519287	0.1957055628299713	0.5834556419993937
0	LNCSRLR	2.342977523803711	0.2662947177886963	0.6465345323083043
0	CDC7	2.3373279571533203	0.9538201093673706	0.6503839949028517
0	PRELID2	2.318887233734131	0.0797777995467186	0.6708919595464995
0	KIFC3	2.3036441802978516	0.15846961736679077	0.6872649290133773
0	KIF5C	2.2220284938812256	0.924134373664856	0.8009365793255881
0	MPP6	2.176406145095825	0.3445815443992615	0.870081378118471
0	CASZ1	2.124246120452881	0.21805733442306519	0.9433709478431181
0	CCDC85C	2.096069574356079	0.4361785054206848	0.9883370826498269
0	GPBP1L1	2.0667917728424072	0.18830208480358124	1.0
0	PROS1	2.0451176166534424	0.29842737317085266	1.0
0	ZFPM2-AS1	2.04213285446167	0.19782648980617523	1.0
0	PACS1	2.028311252593994	0.11927882581949234	1.0
0	SNHG25	2.0180070400238037	0.8941561579704285	1.0
0	PLCH2	1.9926376342773438	0.25734421610832214	1.0
0	STAT3	1.9816229343414307	0.12281794846057892	1.0
0	STK3	1.93710196018219	0.1868596225976944	1.0
0	NPVF	1.9171688556671143	0.8966836333274841	1.0
0	PPM1E	1.9150015115737915	0.03777971491217613	1.0
0	DCP1B	1.912407636642456	0.19211377203464508	1.0
0	BICDL1	1.9056566953659058	0.16795139014720917	1.0
0	PKDCC	1.8929364681243896	0.28374072909355164	1.0
0	BCL6	1.8928654193878174	0.48563021421432495	1.0
0	GRAMD1C	1.8915507793426514	0.3334473967552185	1.0
0	MIR3936HG	1.864902138710022	0.24386632442474365	1.0
