cluster	eye	score	signature	markers
0	eye1	0.0038334471	MHCII	HLA-DRB1
0	eye2	0.00510024	MHCII	HLA-DRB1
1	eye1	0.002655886	MHCII	HLA-DRB1
1	eye2	0.01032116	MHCII	HLA-DRB1
2	eye1	0.0	MHCII	HLA-DRB1
2	eye2	0.005930061	MHCII	HLA-DRB1
3	eye1	0.006517259	MHCII	HLA-DRB1
3	eye2	0.006694567	MHCII	HLA-DRB1
4	eye1	0.0	MHCII	HLA-DRB1
4	eye2	0.012593655	MHCII	HLA-DRB1
5	eye1	0.010423879	MHCII	HLA-DRB1
5	eye2	0.01009818	MHCII	HLA-DRB1
6	eye1	0.0039724424	MHCII	HLA-DRB1
6	eye2	0.00430504	MHCII	HLA-DRB1
7	eye1	0.0028070973	MHCII	HLA-DRB1
7	eye2	0.0	MHCII	HLA-DRB1
8	eye1	0.0033857867	MHCII	HLA-DRB1
8	eye2	0.012771391	MHCII	HLA-DRB1
9	eye1	0.0072662807	MHCII	HLA-DRB1
9	eye2	0.0020657242	MHCII	HLA-DRB1
10	eye1	0.003188809	MHCII	HLA-DRB1
10	eye2	0.0067544356	MHCII	HLA-DRB1
11	eye1	0.0	MHCII	HLA-DRB1
11	eye2	0.018695503	MHCII	HLA-DRB1
12	eye1	0.0064266226	MHCII	HLA-DRB1
12	eye2	0.014211651	MHCII	HLA-DRB1
13	eye1	0.0057910173	MHCII	HLA-DRB1
13	eye2	0.010025217	MHCII	HLA-DRB1
14	eye1	0.010748219	MHCII	HLA-DRB1
14	eye2	0.0	MHCII	HLA-DRB1
15	eye1	0.0	MHCII	HLA-DRB1
15	eye2	0.026417328	MHCII	HLA-DRB1
16	eye1	0.009020766	MHCII	HLA-DRB1
16	eye2	0.0	MHCII	HLA-DRB1
17	eye1	0.004089584	MHCII	HLA-DRB1
17	eye2	0.0	MHCII	HLA-DRB1
18	eye1	0.01600817	MHCII	HLA-DRB1
18	eye2	0.018849116	MHCII	HLA-DRB1
19	eye1	0.0	MHCII	HLA-DRB1
19	eye2	0.009298794	MHCII	HLA-DRB1
20	eye1	0.0	MHCII	HLA-DRB1
20	eye2	0.0	MHCII	HLA-DRB1
21	eye1	0.0	MHCII	HLA-DRB1
21	eye2	0.0	MHCII	HLA-DRB1
22	eye1	0.0	MHCII	HLA-DRB1
22	eye2	0.014934119	MHCII	HLA-DRB1
23	eye1	0.007076371	MHCII	HLA-DRB1
23	eye2	0.0	MHCII	HLA-DRB1
24	eye1	0.0	MHCII	HLA-DRB1
24	eye2	0.0	MHCII	HLA-DRB1
25	eye1	0.0	MHCII	HLA-DRB1
25	eye2	0.0	MHCII	HLA-DRB1
0	eye1	0.0025139234	cytokine_chemokine	CCL5
0	eye2	0.0035826028	cytokine_chemokine	CCL5
1	eye1	0.0	cytokine_chemokine	CCL5
1	eye2	0.0017236891	cytokine_chemokine	CCL5
2	eye1	0.0018232897	cytokine_chemokine	CCL5
2	eye2	0.0	cytokine_chemokine	CCL5
3	eye1	0.002480826	cytokine_chemokine	CCL5
3	eye2	0.001636023	cytokine_chemokine	CCL5
4	eye1	0.0025444801	cytokine_chemokine	CCL5
4	eye2	0.0	cytokine_chemokine	CCL5
5	eye1	0.0049674977	cytokine_chemokine	CCL5
5	eye2	0.0	cytokine_chemokine	CCL5
6	eye1	0.0066650957	cytokine_chemokine	CCL5
6	eye2	0.0	cytokine_chemokine	CCL5
7	eye1	0.0	cytokine_chemokine	CCL5
7	eye2	0.0	cytokine_chemokine	CCL5
8	eye1	1.4630346	cytokine_chemokine	CCL5
8	eye2	0.00085428305	cytokine_chemokine	CCL5
9	eye1	0.0	cytokine_chemokine	CCL5
9	eye2	0.0	cytokine_chemokine	CCL5
10	eye1	0.010946096	cytokine_chemokine	CCL5
10	eye2	0.001509991	cytokine_chemokine	CCL5
11	eye1	0.0	cytokine_chemokine	CCL5
11	eye2	0.0056588654	cytokine_chemokine	CCL5
12	eye1	0.0	cytokine_chemokine	CCL5
12	eye2	0.0	cytokine_chemokine	CCL5
13	eye1	0.002863998	cytokine_chemokine	CCL5
13	eye2	0.0	cytokine_chemokine	CCL5
14	eye1	0.0	cytokine_chemokine	CCL5
14	eye2	0.0060204747	cytokine_chemokine	CCL5
15	eye1	0.0	cytokine_chemokine	CCL5
15	eye2	0.010037483	cytokine_chemokine	CCL5
16	eye1	0.008185766	cytokine_chemokine	CCL5
16	eye2	0.0	cytokine_chemokine	CCL5
17	eye1	0.0	cytokine_chemokine	CCL5
17	eye2	0.018401109	cytokine_chemokine	CCL5
18	eye1	0.0	cytokine_chemokine	CCL5
18	eye2	0.02822894	cytokine_chemokine	CCL5
19	eye1	0.0	cytokine_chemokine	CCL5
19	eye2	0.0	cytokine_chemokine	CCL5
20	eye1	0.0	cytokine_chemokine	CCL5
