cluster	eye	score	probe	genes
0	eye1	0.17560364	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
0	eye2	0.18753819	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
1	eye1	0.14793561	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
1	eye2	0.18228841	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
10	eye1	0.16840157	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
10	eye2	0.19589774	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
11	eye1	0.15720186	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
11	eye2	0.17713279	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
12	eye1	0.11027249	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
12	eye2	0.12873079	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
13	eye1	0.2956155	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
13	eye2	0.28836825	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
14	eye1	0.13891722	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
14	eye2	0.13372059	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
15	eye1	0.19940628	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
15	eye2	0.22010663	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
16	eye1	0.16557145	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
