cluster	score	cell_type	markers
0	0.051294394	astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
1	0.04565304	astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
2	0.051780265	astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
3	0.047683123	astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
4	0.049033817	astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
5	0.046523705	astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
6	0.046641942	astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
7	0.047562025	astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
8	0.59175116	astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
9	0.048275087	astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
10	0.058620986	astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
11	0.043715842	astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
12	0.035469547	astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
13	0.14854477	astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
14	0.04208689	astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
15	0.09338333	astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
16	0.053743385	astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
17	0.05064221	astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
18	0.051293552	astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
19	0.09578945	astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
20	0.043052245	astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
21	0.029023891	astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
22	0.0526653	astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
23	0.051470753	astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
24	0.09625799	astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
25	0.0693222	astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
0	0.002190297	microglial cell	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
1	0.002462834	microglial cell	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
