cluster	eye	value	gene
0	eye1	0.0106925825	GFAP
0	eye2	0.023470191	GFAP
1	eye1	0.008301804	GFAP
1	eye2	0.008592965	GFAP
10	eye1	0.021847002	GFAP
10	eye2	0.03370892	GFAP
11	eye1	0.005204003	GFAP
11	eye2	0.020818705	GFAP
12	eye1	0.009255282	GFAP
12	eye2	0.020539945	GFAP
13	eye1	0.0	GFAP
13	eye2	0.039152086	GFAP
14	eye1	0.023373555	GFAP
14	eye2	0.026572227	GFAP
15	eye1	0.0	GFAP
15	eye2	0.01101704	GFAP
16	eye1	0.04656645	GFAP
16	eye2	0.014368672	GFAP
17	eye1	0.03026541	GFAP
17	eye2	0.013380297	GFAP
18	eye1	0.030633695	GFAP
18	eye2	0.0	GFAP
19	eye1	0.0066053793	GFAP
19	eye2	0.0597024	GFAP
2	eye1	0.01422129	GFAP
2	eye2	0.02461698	GFAP
20	eye1	0.02189808	GFAP
20	eye2	0.05613976	GFAP
21	eye1	0.025110543	GFAP
21	eye2	0.019169495	GFAP
22	eye1	0.021168998	GFAP
22	eye2	0.017200742	GFAP
23	eye1	0.0042424295	GFAP
23	eye2	0.0	GFAP
24	eye1	0.0	GFAP
24	eye2	0.03541121	GFAP
25	eye1	0.0	GFAP
25	eye2	0.0	GFAP
3	eye1	0.014120953	GFAP
3	eye2	0.0165936	GFAP
4	eye1	0.020070072	GFAP
4	eye2	0.018182674	GFAP
5	eye1	0.012473209	GFAP
5	eye2	0.011954827	GFAP
6	eye1	0.009497249	GFAP
6	eye2	0.01386678	GFAP
7	eye1	0.011966179	GFAP
7	eye2	0.024788935	GFAP
8	eye1	0.20767947	GFAP
8	eye2	0.22759895	GFAP
9	eye1	0.024122072	GFAP
9	eye2	0.033059064	GFAP
0	eye1	0.0057482454	AQP4
0	eye2	0.015654223	AQP4
1	eye1	0.005019325	AQP4
1	eye2	0.0057609584	AQP4
10	eye1	0.014373971	AQP4
10	eye2	0.0	AQP4
11	eye1	0.007437302	AQP4
11	eye2	0.006441824	AQP4
12	eye1	0.0	AQP4
12	eye2	0.0	AQP4
13	eye1	0.017259529	AQP4
13	eye2	0.024646359	AQP4
14	eye1	0.0	AQP4
14	eye2	0.00771225	AQP4
15	eye1	0.014670306	AQP4
15	eye2	0.035093773	AQP4
16	eye1	0.035416774	AQP4
16	eye2	0.055698656	AQP4
17	eye1	0.046087705	AQP4
17	eye2	0.031261515	AQP4
18	eye1	0.026952982	AQP4
18	eye2	0.015823795	AQP4
19	eye1	0.033533346	AQP4
19	eye2	0.028112872	AQP4
2	eye1	0.012491677	AQP4
2	eye2	0.009079684	AQP4
20	eye1	0.0	AQP4
20	eye2	0.0	AQP4
21	eye1	0.0	AQP4
21	eye2	0.0	AQP4
22	eye1	0.0	AQP4
22	eye2	0.0	AQP4
23	eye1	0.0	AQP4
23	eye2	0.0	AQP4
24	eye1	0.0	AQP4
24	eye2	0.0	AQP4
25	eye1	0.0	AQP4
25	eye2	0.041771233	AQP4
3	eye1	0.0037530423	AQP4
3	eye2	0.0029343013	AQP4
4	eye1	0.006390859	AQP4
4	eye2	0.010171977	AQP4
5	eye1	0.00798617	AQP4
5	eye2	0.007398551	AQP4
6	eye1	0.0037931602	AQP4
6	eye2	0.0018963403	AQP4
7	eye1	0.008369448	AQP4
7	eye2	0.0035707867	AQP4
8	eye1	0.32109904	AQP4
8	eye2	0.18985741	AQP4
9	eye1	0.008173366	AQP4
9	eye2	0.010012668	AQP4
0	eye1	0.0	ALDH1L1
0	eye2	0.00089983665	ALDH1L1
1	eye1	0.0017916592	ALDH1L1
1	eye2	0.0	ALDH1L1
10	eye1	0.001959418	ALDH1L1
10	eye2	0.00675975	ALDH1L1
11	eye1	0.0	ALDH1L1
11	eye2	0.0054668314	ALDH1L1
12	eye1	0.0	ALDH1L1
12	eye2	0.0	ALDH1L1
13	eye1	0.0057910173	ALDH1L1
13	eye2	0.004115127	ALDH1L1
14	eye1	0.0	ALDH1L1
14	eye2	0.0	ALDH1L1
15	eye1	0.00831918	ALDH1L1
15	eye2	0.0	ALDH1L1
16	eye1	0.0	ALDH1L1
16	eye2	0.003097516	ALDH1L1
17	eye1	0.0	ALDH1L1
17	eye2	0.0	ALDH1L1
18	eye1	0.0	ALDH1L1
18	eye2	0.01781026	ALDH1L1
19	eye1	0.04232156	ALDH1L1
19	eye2	0.023983147	ALDH1L1
2	eye1	0.0045050215	ALDH1L1
2	eye2	0.0008938787	ALDH1L1
20	eye1	0.0	ALDH1L1
20	eye2	0.0	ALDH1L1
21	eye1	0.0	ALDH1L1
21	eye2	0.0	ALDH1L1
22	eye1	0.022485599	ALDH1L1
22	eye2	0.0	ALDH1L1
23	eye1	0.0	ALDH1L1
23	eye2	0.0	ALDH1L1
24	eye1	0.0	ALDH1L1
24	eye2	0.04751273	ALDH1L1
25	eye1	0.0	ALDH1L1
25	eye2	0.046920795	ALDH1L1
3	eye1	0.0046264534	ALDH1L1
3	eye2	0.0024558099	ALDH1L1
4	eye1	0.0049021263	ALDH1L1
4	eye2	0.0	ALDH1L1
5	eye1	0.0	ALDH1L1
5	eye2	0.0	ALDH1L1
6	eye1	0.0	ALDH1L1
6	eye2	0.0024856655	ALDH1L1
7	eye1	0.0	ALDH1L1
7	eye2	0.0	ALDH1L1
8	eye1	0.30250004	ALDH1L1
8	eye2	0.2954929	ALDH1L1
9	eye1	0.0	ALDH1L1
9	eye2	0.004323972	ALDH1L1
0	eye1	0.021006666	SLC1A3
0	eye2	0.031996906	SLC1A3
1	eye1	0.028842213	SLC1A3
1	eye2	0.026768	SLC1A3
10	eye1	0.036098823	SLC1A3
10	eye2	0.021752598	SLC1A3
11	eye1	0.019016165	SLC1A3
11	eye2	0.03632868	SLC1A3
12	eye1	0.0220568	SLC1A3
12	eye2	0.037887044	SLC1A3
13	eye1	0.11912592	SLC1A3
13	eye2	0.15518367	SLC1A3
14	eye1	0.030581743	SLC1A3
14	eye2	0.009919153	SLC1A3
15	eye1	0.02652939	SLC1A3
15	eye2	0.031970873	SLC1A3
16	eye1	0.044701	SLC1A3
16	eye2	0.022832759	SLC1A3
17	eye1	0.030239984	SLC1A3
17	eye2	0.0	SLC1A3
18	eye1	0.01600817	SLC1A3
18	eye2	0.010212896	SLC1A3
19	eye1	0.26820326	SLC1A3
19	eye2	0.21189564	SLC1A3
2	eye1	0.020059843	SLC1A3
2	eye2	0.023084383	SLC1A3
20	eye1	0.0	SLC1A3
20	eye2	0.021079523	SLC1A3
21	eye1	0.030420626	SLC1A3
21	eye2	0.0	SLC1A3
22	eye1	0.0415347	SLC1A3
22	eye2	0.06488658	SLC1A3
23	eye1	0.020549517	SLC1A3
23	eye2	0.019377433	SLC1A3
24	eye1	0.0	SLC1A3
24	eye2	0.0	SLC1A3
25	eye1	0.0	SLC1A3
25	eye2	0.0	SLC1A3
3	eye1	0.021007221	SLC1A3
3	eye2	0.027564125	SLC1A3
4	eye1	0.023941347	SLC1A3
4	eye2	0.03266845	SLC1A3
5	eye1	0.014260791	SLC1A3
5	eye2	0.03430889	SLC1A3
6	eye1	0.020274006	SLC1A3
6	eye2	0.029323762	SLC1A3
7	eye1	0.015142802	SLC1A3
7	eye2	0.022997875	SLC1A3
8	eye1	1.9876395	SLC1A3
8	eye2	1.7291393	SLC1A3
9	eye1	0.01975286	SLC1A3
9	eye2	0.02949383	SLC1A3
0	eye1	0.0012035146	GJA1
0	eye2	0.0	GJA1
1	eye1	0.0	GJA1
1	eye2	0.0	GJA1
10	eye1	0.0	GJA1
10	eye2	0.0	GJA1
11	eye1	0.0	GJA1
11	eye2	0.0	GJA1
12	eye1	0.0	GJA1
12	eye2	0.0	GJA1
13	eye1	0.0	GJA1
13	eye2	0.0	GJA1
14	eye1	0.0	GJA1
14	eye2	0.009699469	GJA1
15	eye1	0.0	GJA1
15	eye2	0.0	GJA1
16	eye1	0.0	GJA1
16	eye2	0.0	GJA1
17	eye1	0.0	GJA1
17	eye2	0.0	GJA1
18	eye1	0.0	GJA1
18	eye2	0.0	GJA1
19	eye1	0.0	GJA1
19	eye2	0.0	GJA1
