cluster	eye	score	signature	markers
0	eye1	0.006668586	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
0	eye2	0.010708948	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
1	eye1	0.0054997434	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
1	eye2	0.013101558	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
2	eye1	0.0033877445	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
2	eye2	0.009282958	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
3	eye1	0.0049549476	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
3	eye2	0.007971525	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
4	eye1	0.0077032326	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
4	eye2	0.012405266	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
5	eye1	0.009520829	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
5	eye2	0.01573521	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
6	eye1	0.009681612	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
6	eye2	0.0089886645	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
7	eye1	0.00629757	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
7	eye2	0.010031534	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
8	eye1	0.01815545	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
8	eye2	0.021836286	MHCII	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74
