cluster	eye	n_cells	eye_total	fraction
14	eye1	123	8646	0.014226231783483692
13	eye1	188	8646	0.0217441591487393
19	eye1	95	8646	0.010987739995373584
8	eye1	496	8646	0.0573675688179505
23	eye1	78	8646	0.009021512838306732
10	eye1	386	8646	0.04464492250751793
16	eye1	106	8646	0.01226000462641684
0	eye1	1151	8646	0.13312514457552627
9	eye1	300	8646	0.03469812630117974
17	eye1	113	8646	0.013069627573444367
20	eye1	82	8646	0.009484154522322461
18	eye1	72	8646	0.008327550312283136
2	eye1	746	8646	0.08628267406893361
24	eye1	29	8646	0.003354152209114041
3	eye1	592	8646	0.06847096923432801
7	eye1	552	8646	0.06384455239417071
15	eye1	118	8646	0.01364792967846403
5	eye1	614	8646	0.07101549849641453
22	eye1	63	8646	0.007286606523247745
11	eye1	276	8646	0.031922276197085354
1	eye1	1033	8646	0.11947721489706223
12	eye1	165	8646	0.019083969465648856
25	eye1	20	8646	0.002313208420078649
4	eye1	669	8646	0.07737682165163082
6	eye1	510	8646	0.05898681471200555
21	eye1	69	8646	0.007980569049271339
14	eye2	169	9355	0.01806520577231427
13	eye2	187	9355	0.019989310529128806
19	eye2	73	9355	0.00780331373597007
8	eye2	448	9355	0.04788882950293961
23	eye2	57	9355	0.00609299839657937
10	eye2	273	9355	0.029182255478353823
16	eye2	125	9355	0.013361838588989846
0	eye2	972	9355	0.10390165686798504
9	eye2	364	9355	0.038909673971138425
17	eye2	101	9355	0.010796365579903796
20	eye2	85	9355	0.009086050240513094
18	eye2	107	9355	0.011437733832175308
2	eye2	995	9355	0.10636023516835917
24	eye2	27	9355	0.0028861571352218067
3	eye2	905	9355	0.09673971138428648
7	eye2	436	9355	0.04660609299839658
15	eye2	139	9355	0.014858364510956708
5	eye2	659	9355	0.07044361304115446
22	eye2	77	9355	0.008230892570817744
11	eye2	313	9355	0.03345804382683057
1	eye2	1016	9355	0.10860502405130947
12	eye2	211	9355	0.02255478353821486
25	eye2	35	9355	0.0037413148049171567
4	eye2	766	9355	0.08188134687332976
6	eye2	720	9355	0.0769641902725815
21	eye2	95	9355	0.010154997327632281
