identity_ok	True
n_selected	4200
n_usable	4200
cortex	Cortex:0.796577;Epidermis:0.626672;Endodermis:0.579798
endodermis	Endodermis:0.815142;Cortex:0.597335;Provascular cells:0.554053
epidermis	Epidermis:0.824050;Root Hair:0.620024;Cortex:0.516917
meristems	Meristems:0.865411;Cortex:0.531540;Epidermis:0.492299
pericycle	Pericycle:0.809061;Provascular cells:0.580836;Endodermis:0.463984
phloem	Phloem:0.792603;Meristems:0.412650;Epidermis:0.289468
provascular	Provascular cells:0.814608;Pericycle:0.590308;Xylem:0.563683
root_cap	Root Cap:0.840128;Xylem:0.614240;Epidermis:0.545087
root_hair	Root Hair:0.817747;Epidermis:0.654422;Cortex:0.475174
xylem	Xylem:0.836426;Root Cap:0.592470;Epidermis:0.517217
