                                 Started job on |	Aug 10 09:27:17
                             Started mapping on |	Aug 10 09:50:24
                                    Finished on |	Aug 10 09:52:35
       Mapping speed, Million of reads per hour |	3.30

                          Number of input reads |	120000
                      Average input read length |	150
                                    UNIQUE READS:
                   Uniquely mapped reads number |	102947
                        Uniquely mapped reads % |	85.79%
                          Average mapped length |	149.47
                       Number of splices: Total |	60315
            Number of splices: Annotated (sjdb) |	59767
                       Number of splices: GT/AG |	59689
                       Number of splices: GC/AG |	459
                       Number of splices: AT/AC |	54
               Number of splices: Non-canonical |	113
                      Mismatch rate per base, % |	0.44%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.39
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.32
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	13899
             % of reads mapped to multiple loci |	11.58%
        Number of reads mapped to too many loci |	77
             % of reads mapped to too many loci |	0.06%
                                  UNMAPPED READS:
  Number of reads unmapped: too many mismatches |	5
       % of reads unmapped: too many mismatches |	0.00%
            Number of reads unmapped: too short |	2165
                 % of reads unmapped: too short |	1.80%
                Number of reads unmapped: other |	8
                     % of reads unmapped: other |	0.01%
                                  CHIMERIC READS:
                       Number of chimeric reads |	1616
                            % of chimeric reads |	1.35%
