                                 Started job on |	Aug 10 09:18:43
                             Started mapping on |	Aug 10 09:21:01
                                    Finished on |	Aug 10 09:24:45
       Mapping speed, Million of reads per hour |	1.93

                          Number of input reads |	120000
                      Average input read length |	75
                                    UNIQUE READS:
                   Uniquely mapped reads number |	478
                        Uniquely mapped reads % |	0.40%
                          Average mapped length |	71.24
                       Number of splices: Total |	9
            Number of splices: Annotated (sjdb) |	0
                       Number of splices: GT/AG |	8
                       Number of splices: GC/AG |	0
                       Number of splices: AT/AC |	0
               Number of splices: Non-canonical |	1
                      Mismatch rate per base, % |	10.62%
                         Deletion rate per base |	0.00%
                        Deletion average length |	0.00
                        Insertion rate per base |	0.00%
                       Insertion average length |	0.00
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	508
             % of reads mapped to multiple loci |	0.42%
        Number of reads mapped to too many loci |	0
             % of reads mapped to too many loci |	0.00%
                                  UNMAPPED READS:
  Number of reads unmapped: too many mismatches |	0
       % of reads unmapped: too many mismatches |	0.00%
            Number of reads unmapped: too short |	119002
                 % of reads unmapped: too short |	99.17%
                Number of reads unmapped: other |	0
                     % of reads unmapped: other |	0.00%
                                  CHIMERIC READS:
                       Number of chimeric reads |	17
                            % of chimeric reads |	0.01%
