DATA_QC
cells	600
rows	150000
bad_rows	0
min_cell_length	250
max_cell_length	250
contact_rate	0.05336000
transcription_rate	0.15390667
simultaneous_both_rate	0.00826667

CROSS_LAG_CONTACT_TO_TRANSCRIPTION
lag_T_after_C	pT_given_C	pT_given_noC	risk_difference	n_pairs
-20	0.15408550	0.15409470	-0.00000920	138000
-19	0.15117219	0.15430941	-0.00313722	138600
-18	0.15338164	0.15417312	-0.00079148	139200
-17	0.15565659	0.15404846	0.00160814	139800
-16	0.15130527	0.15423803	-0.00293275	140400
-15	0.15310180	0.15402080	-0.00091900	141000
-14	0.14792821	0.15431049	-0.00638227	141600
-13	0.15311760	0.15415534	-0.00103774	142200
-12	0.15971676	0.15389794	0.00581882	142800
-11	0.15184750	0.15435277	-0.00250528	143400
-10	0.15044248	0.15447196	-0.00402948	144000
-9	0.14430314	0.15488626	-0.01058312	144600
-8	0.16007752	0.15385567	0.00622185	145200
-7	0.15274923	0.15422850	-0.00147927	145800
-6	0.15189549	0.15419360	-0.00229811	146400
-5	0.15784776	0.15381907	0.00402869	147000
-4	0.15343647	0.15407905	-0.00064258	147600
-3	0.16026774	0.15358350	0.00668425	148200
-2	0.15004402	0.15410120	-0.00405718	148800
-1	0.27218045	0.14724933	0.12493112	149400
0	0.15492254	0.15384940	0.00107313	150000
1	0.20198094	0.15122610	0.05075484	149400
2	0.14625850	0.15437094	-0.00811244	148800
3	0.15385589	0.15397390	-0.00011800	148200
4	0.15357234	0.15406415	-0.00049181	147600
5	0.15132585	0.15422260	-0.00289674	147000
6	0.15071648	0.15415921	-0.00344273	146400
7	0.15536723	0.15385619	0.00151105	145800
8	0.15201135	0.15398999	-0.00197864	145200
9	0.15156614	0.15392259	-0.00235645	144600
10	0.15172772	0.15400361	-0.00227589	144000
11	0.15636411	0.15363363	0.00273048	143400
12	0.14720546	0.15416710	-0.00696164	142800
13	0.15189873	0.15388215	-0.00198342	142200
14	0.15162741	0.15386968	-0.00224227	141600
15	0.14378738	0.15435100	-0.01056363	141000
16	0.15104167	0.15392892	-0.00288725	140400
17	0.15190891	0.15382174	-0.00191283	139800
18	0.14963700	0.15392905	-0.00429205	139200
19	0.15020937	0.15382211	-0.00361274	138600
20	0.14677529	0.15402457	-0.00724928	138000

STATE_CONTROLLED_ONSET_TESTS
direction	lead	p_onset_given_driver	p_onset_given_no_driver	risk_ratio	risk_difference	exposed_n	unexposed_n
contact_to_tx_onset	0	0.15358127	0.15394375	0.99764538	-0.00036248	5808	120596
tx_to_contact_onset	0	0.05381774	0.05319193	1.01176508	0.00062581	21387	120037
contact_to_tx_onset	1	0.20130544	0.15125812	1.33087367	0.05004733	6741	119663
tx_to_contact_onset	1	0.09356188	0.04596241	2.03561725	0.04759947	21761	119663
contact_to_tx_onset	2	0.14644153	0.15431391	0.94898464	-0.00787238	6337	119555
tx_to_contact_onset	2	0.05179898	0.05355745	0.96716655	-0.00175848	20734	120114
contact_to_tx_onset	3	0.15586534	0.15385069	1.01309483	0.00201465	6743	118641
tx_to_contact_onset	3	0.05517018	0.05295273	1.04187610	0.00221745	21624	118653
contact_to_tx_onset	4	0.15331429	0.15403615	0.99531370	-0.00072186	6653	118219
tx_to_contact_onset	4	0.05318554	0.05329928	0.99786613	-0.00011373	21472	118238
contact_to_tx_onset	5	0.15017322	0.15425392	0.97354557	-0.00408070	6639	117715
tx_to_contact_onset	5	0.05448778	0.05297096	1.02863486	0.00151682	21436	117706
contact_to_tx_onset	6	0.15018094	0.15416773	0.97413990	-0.00398679	6632	117210
tx_to_contact_onset	6	0.05257727	0.05327296	0.98694111	-0.00069569	21321	117264
contact_to_tx_onset	7	0.15396249	0.15389426	1.00044339	0.00006824	6612	116736
tx_to_contact_onset	7	0.05227315	0.05339764	0.97894124	-0.00112449	21292	116728
contact_to_tx_onset	8	0.15332926	0.15390634	0.99625043	-0.00057708	6548	116298
tx_to_contact_onset	8	0.05476157	0.05283759	1.03641305	0.00192398	21201	116243
contact_to_tx_onset	9	0.15195480	0.15393185	0.98715632	-0.00197705	6548	115798
tx_to_contact_onset	9	0.04985532	0.05371005	0.92823071	-0.00385473	21081	115807
contact_to_tx_onset	10	0.15285649	0.15398623	0.99266335	-0.00112974	6529	115322
tx_to_contact_onset	10	0.05221264	0.05336064	0.97848595	-0.00114800	21106	115216
