stem_conv_15	1	15	4	768	1	768	46848
stem_residual_batchnorm	1	768	2	1	1	0	1536
stem_residual_pointwise_conv	1	1	768	768	1	768	590592
stem_softmax_pooling	1	1	768	768	1	0	589824
conv_tower_block_0_batchnorm_5wide	1	768	2	1	1	0	1536
conv_tower_block_0_5wide_conv	1	5	768	768	1	768	2949888
conv_tower_block_0_batchnorm_pointwise	1	768	2	1	1	0	1536
conv_tower_block_0_pointwise_conv	1	1	768	768	1	768	590592
conv_tower_block_0_softmax_pooling	1	1	768	768	1	0	589824
conv_tower_block_1_batchnorm_5wide	1	768	2	1	1	0	1536
conv_tower_block_1_5wide_conv	1	5	768	896	1	896	3441536
conv_tower_block_1_batchnorm_pointwise	1	896	2	1	1	0	1792
conv_tower_block_1_pointwise_conv	1	1	896	896	1	896	803712
conv_tower_block_1_softmax_pooling	1	1	896	896	1	0	802816
conv_tower_block_2_batchnorm_5wide	1	896	2	1	1	0	1792
conv_tower_block_2_5wide_conv	1	5	896	1024	1	1024	4588544
conv_tower_block_2_batchnorm_pointwise	1	1024	2	1	1	0	2048
conv_tower_block_2_pointwise_conv	1	1	1024	1024	1	1024	1049600
conv_tower_block_2_softmax_pooling	1	1	1024	1024	1	0	1048576
conv_tower_block_3_batchnorm_5wide	1	1024	2	1	1	0	2048
conv_tower_block_3_5wide_conv	1	5	1024	1152	1	1152	5899392
conv_tower_block_3_batchnorm_pointwise	1	1152	2	1	1	0	2304
conv_tower_block_3_pointwise_conv	1	1	1152	1152	1	1152	1328256
conv_tower_block_3_softmax_pooling	1	1	1152	1152	1	0	1327104
conv_tower_block_4_batchnorm_5wide	1	1152	2	1	1	0	2304
conv_tower_block_4_5wide_conv	1	5	1152	1280	1	1280	7374080
conv_tower_block_4_batchnorm_pointwise	1	1280	2	1	1	0	2560
conv_tower_block_4_pointwise_conv	1	1	1280	1280	1	1280	1639680
conv_tower_block_4_softmax_pooling	1	1	1280	1280	1	0	1638400
conv_tower_block_5_batchnorm_5wide	1	1280	2	1	1	0	2560
conv_tower_block_5_5wide_conv	1	5	1280	1536	1	1536	9831936
conv_tower_block_5_batchnorm_pointwise	1	1536	2	1	1	0	3072
conv_tower_block_5_pointwise_conv	1	1	1536	1536	1	1536	2360832
conv_tower_block_5_softmax_pooling	1	1	1536	1536	1	0	2359296
transformer_mha_layernorm	11	1536	2	1	1	0	33792
transformer_q_layer	11	1536	512	1	1	0	8650752
transformer_k_layer	11	1536	512	1	1	0	8650752
transformer_v_layer	11	1536	1536	1	1	0	25952256
transformer_embedding_layer	11	1536	1536	1	1	1536	25969152
transformer_relative_k_layer	11	192	512	1	1	0	1081344
transformer_relative_w_bias	11	8	64	1	1	0	5632
transformer_relative_r_bias	11	8	64	1	1	0	5632
transformer_mlp_layernorm	11	1536	2	1	1	0	33792
transformer_mlp_linear_1	11	1536	3072	1	1	3072	51938304
transformer_mlp_linear_2	11	3072	1536	1	1	1536	51921408
final_pointwise_batchnorm	1	1536	2	1	1	0	3072
final_pointwise_conv	1	1	1536	3072	1	3072	4721664
head_human	1	3072	5313	1	1	5313	16326849
head_mouse	1	3072	1643	1	1	1643	5048939
