tf	full_rank	full_motif	full_pvalue	full_adjusted_pvalue	center_rank	center_motif	center_pvalue	center_adjusted_pvalue
FOXA1	6	MA0148.5	0.0000458	0.0000458	6	MA0148.5	0.00821	0.00821
ASCL1	3	MA1631.2	7.37E-22	7.37E-22	3	MA1100.3	2.99E-13	2.99E-13
TFAP2A	7	MA0810.2	0.00491	0.00491	8	MA0810.2	0.369	0.369
RUNX1	4	MA0002.3	1.57E-9	1.57E-9	4	MA0002.3	0.00000119	0.00000119
KLF4	1	MA0039.5	4.11E-376	4.11E-376	1	MA0039.5	1.98E-190	1.98E-190
PAX7	9	MA0680.3	1.00	1.00	10	MA0680.3	1.00	1.00
TCF7	10	MA0769.3	1.00	1.00	7	MA0769.3	0.165	0.165
REST	5	MA0138.3	2.71E-9	2.71E-9	5	MA0138.3	0.00256	0.00256
SPI1	2	MA0080.7	7.51E-77	7.51E-77	2	MA0080.7	9.73E-57	9.73E-57
GATA3	8	MA0037.5	1.00	1.00	9	MA0037.5	1.00	1.00
