metric	value
target_sequences	6000
background_sequences	6000
sequence_length	500
center_validation_length	200
target_gc_fraction	0.37953100
background_gc_fraction	0.60179967
candidate_motif_profiles	13
full_window_winner	FOXA1
center_window_winner	FOXA1
motif_profile	TFAP2A:MA0872.1:TFAP2A
motif_profile	ASCL1:MA1100.3:ASCL1
motif_profile	ASCL1:MA1631.2:ASCL1
motif_profile	FOXA1:MA0148.5:FOXA1
motif_profile	KLF4:MA0039.5:KLF4
motif_profile	REST:MA0138.3:REST
motif_profile	TCF7:MA0769.3:TCF7
motif_profile	TFAP2A:MA0810.2:TFAP2A
motif_profile	TFAP2A:MA0003.5:TFAP2A
motif_profile	GATA3:MA0037.5:Gata3
motif_profile	PAX7:MA0680.3:Pax7
motif_profile	RUNX1:MA0002.3:Runx1
motif_profile	SPI1:MA0080.7:Spi1
