Chromosome	UniqueAgeRelatedCpGSites	Length	DensitySitesPerBp
W	184	6742290	2.7290430995996909e-05
33	6	477022	1.2578036233129709e-05
35	13	1321807	9.8350213003865168e-06
4	77	8011800	9.6108240345490409e-06
37	3	336161	8.9242952037862811e-06
39	1	167149	5.9826861064080553e-06
27	13	6387999	2.0350660668544252e-06
17	33	16938386	1.9482375711593771e-06
24	19	11344391	1.6748364896802305e-06
30	33	22021689	1.4985226610002529e-06
31	7	4714721	1.4847113964962084e-06
29	5	3496993	1.4297998308832761e-06
26	60	46055897	1.3027647686462386e-06
20	18	13899114	1.2950465763501184e-06
1	115	99062180	1.1608870307517965e-06
2	141	123451405	1.1421498200040737e-06
5	85	76278832	1.1143327417493755e-06
25	8	7312786	1.0939743074664021e-06
15	23	21088201	1.0906572827146326e-06
14	24	23265108	1.0315877321523717e-06
3	118	121534940	9.7091420788128915e-07
6	63	66143299	9.5247743841745785e-07
13	21	22362767	9.3906089528187632e-07
11	22	23986915	9.1716671360197842e-07
7	37	40978052	9.0292237415287581e-07
28	7	7803721	8.9700797862968194e-07
12	19	23235100	8.1772835064191677e-07
10	23	28816175	7.9816283736477867e-07
19	10	12787533	7.8201166714486684e-07
8	28	38659334	7.2427528110029008e-07
9	23	33574751	6.8503858747902552e-07
21	8	13093161	6.1100600534889936e-07
22	5	8696975	5.7491254142963497e-07
Z	42	79826082	5.2614382351873417e-07
16	6	17487702	3.4309825270352847e-07
18	4	15572589	2.5686159186503927e-07
23	0	7971722	0
32	0	736907	0
34	0	104925	0
36	0	1784968	0
38	0	251864	0
40	0	337809	0
41	0	123330	0
MT	0	16898	0
