metric	value
columns	AIIamacrine,Astrocyte,Cone,GABAamacrine,Horizontal,Microglia,Mullerglia,Retinalganglioncell,Rod
rows	295420
all_zero_rows	12129
cell_type	total_counts	nonzero_bins
AIIamacrine	11836803	279885
Astrocyte	7530916	270142
Cone	48403523	282518
GABAamacrine	37015795	282551
Horizontal	31640818	282550
Microglia	8155368	276957
Mullerglia	94395242	282832
Retinalganglioncell	21014655	282266
Rod	413545691	283153
pair_a	pair_b	pearson_log_cpm	top5000_jaccard
AIIamacrine	Astrocyte	0.812123	0.617599
AIIamacrine	Cone	0.783324	0.561524
AIIamacrine	GABAamacrine	0.889688	0.744896
AIIamacrine	Horizontal	0.865955	0.692334
AIIamacrine	Microglia	0.831892	0.640958
AIIamacrine	Mullerglia	0.828471	0.623640
AIIamacrine	Retinalganglioncell	0.831896	0.621271
AIIamacrine	Rod	0.769172	0.576293
Astrocyte	Cone	0.802206	0.572327
Astrocyte	GABAamacrine	0.802355	0.603849
Astrocyte	Horizontal	0.799335	0.588815
Astrocyte	Microglia	0.879811	0.696641
Astrocyte	Mullerglia	0.923195	0.763668
Astrocyte	Retinalganglioncell	0.781424	0.561037
Astrocyte	Rod	0.805557	0.589572
Cone	GABAamacrine	0.787245	0.554002
Cone	Horizontal	0.809617	0.564211
Cone	Microglia	0.841699	0.622850
Cone	Mullerglia	0.810432	0.566661
Cone	Retinalganglioncell	0.765938	0.526252
Cone	Rod	0.938814	0.757778
GABAamacrine	Horizontal	0.868333	0.692334
GABAamacrine	Microglia	0.823259	0.636661
GABAamacrine	Mullerglia	0.809264	0.606426
GABAamacrine	Retinalganglioncell	0.883158	0.651800
GABAamacrine	Rod	0.762700	0.566171
Horizontal	Microglia	0.836231	0.605394
Horizontal	Mullerglia	0.809284	0.589320
Horizontal	Retinalganglioncell	0.825659	0.625752
Horizontal	Rod	0.799014	0.566171
Microglia	Mullerglia	0.905802	0.716444
Microglia	Retinalganglioncell	0.797106	0.558361
Microglia	Rod	0.853416	0.668613
Mullerglia	Retinalganglioncell	0.785615	0.551350
Mullerglia	Rod	0.823138	0.596424
Retinalganglioncell	Rod	0.742325	0.520450
