marker_cell_type	used_genes	AIIamacrine	Astrocyte	Cone	GABAamacrine	Horizontal	Microglia	Mullerglia	Retinalganglioncell	Rod	best_profile
AIIamacrine	GRIK1,SLC6A9,TFAP2A,PAX6,MEIS2,GRIA2	0.453247	-0.627925	0.341612	0.774698	0.165543	-0.376110	-0.441288	0.071046	-0.360822	GABAamacrine
Astrocyte	GFAP,ALDH1L1,SLC1A2,GJA1,S100B,FGFR3	-0.389346	1.233233	-0.328885	-0.190521	-0.104767	-0.068805	-0.109899	-0.425351	0.384340	Astrocyte
Cone	OPN1LW,OPN1MW,OPN1SW,GNAT2,PDE6C,PDE6H,ARR3,GNGT2,RXRG	-0.314322	-0.224308	2.170887	-0.362490	-0.325726	0.112616	-0.157595	-0.442927	-0.456134	Cone
GABAamacrine	GAD1,GAD2,SLC6A1,SLC32A1,DLX1,DLX2	-0.159174	0.629041	-0.008288	0.788612	-0.227903	-0.186038	0.285933	-0.702493	-0.419691	GABAamacrine
Horizontal	ONECUT1,ONECUT2,LHX1,PROX1,CALB1,ISL1	0.584374	-0.456767	0.054233	-0.424172	1.371204	-0.156175	-0.469147	0.573398	-1.076947	Horizontal
Microglia	PTPRC,CX3CR1,C1QA,C1QB,C1QC,AIF1,TYROBP,SPI1,CSF1R	0.372729	-0.687237	-0.482884	0.015159	0.247343	1.444574	-0.084581	-0.791879	-0.033223	Microglia
Mullerglia	RLBP1,GLUL,SLC1A3,CA2,VIM,SOX9,CLU	-0.094558	1.153597	-0.649218	-0.317584	-0.577760	0.467955	1.373045	-0.101708	-1.253769	Mullerglia
Retinalganglioncell	RBPMS,POU4F1,POU4F2,POU4F3,SNCG,NEFL,THY1	-0.409448	-0.080789	0.059304	-0.300016	-0.150028	-0.351214	-0.269197	1.825985	-0.324598	Retinalganglioncell
Rod	RHO,GNAT1,NRL,NR2E3,PDE6A,PDE6B,SAG,GNGT1,CNGA1	-0.496573	-0.077722	0.042651	-0.826408	-0.554877	0.376317	0.167717	-0.998117	2.367012	Rod
gene	cell_type	bins	AIIamacrine	Astrocyte	Cone	GABAamacrine	Horizontal	Microglia	Mullerglia	Retinalganglioncell	Rod
GRIK1	AIIamacrine	52	4.379799	3.834710	4.492457	4.886057	4.498392	4.183881	3.960136	4.921025	4.046458
SLC6A9	AIIamacrine	15	6.009904	5.852878	6.177683	5.590965	5.672472	5.861003	5.872657	5.440692	6.417607
TFAP2A	AIIamacrine	13	5.066662	4.429130	4.063288	5.146913	5.149407	4.106195	4.018187	3.696498	4.053536
PAX6	AIIamacrine	14	5.534766	4.368756	3.958535	5.642631	5.562871	4.733445	5.601152	5.405836	3.105939
MEIS2	AIIamacrine	33	4.720846	4.671243	5.849586	5.500392	4.242964	4.816209	4.927166	5.128078	5.530590
GRIA2	AIIamacrine	29	4.665140	3.096164	4.490142	4.766820	4.626607	3.454885	2.650988	4.777231	2.567448
GFAP	Astrocyte	12	4.836550	5.429626	5.079662	4.841633	5.179219	4.945492	5.175936	4.646900	5.236223
ALDH1L1	Astrocyte	20	4.854486	4.989968	4.176982	4.476915	4.461864	4.505478	5.063195	4.842745	4.060480
SLC1A2	Astrocyte	28	4.988607	5.446370	5.246451	5.169752	4.596778	5.076932	5.054783	5.129487	5.571262
GJA1	Astrocyte	12	2.917113	3.455482	2.343804	3.278263	3.061214	2.638884	2.250891	2.747838	2.159061
S100B	Astrocyte	12	4.208181	4.487561	4.169345	4.318147	4.493104	4.461159	4.216468	4.159683	4.412975
FGFR3	Astrocyte	12	4.797593	5.169042	5.242527	4.785265	4.887115	4.999001	4.978492	4.993297	5.535542
OPN1LW	Cone	12	3.971067	4.020121	4.961211	3.869656	4.004684	4.039386	4.087734	3.650597	4.429743
OPN1MW	Cone	12	2.469262	2.452975	4.362764	2.257997	2.441719	2.872215	2.612109	2.142248	3.323641
OPN1SW	Cone	11	4.302824	4.350081	4.399720	4.350380	4.439363	4.247233	4.235353	4.131046	3.910584
GNAT2	Cone	12	4.631151	4.618937	5.571704	4.779154	4.781613	4.819183	4.709103	4.483657	4.460615
PDE6C	Cone	16	3.971067	3.848954	4.987207	3.854320	4.029719	3.917860	3.604245	3.764939	3.892600
PDE6H	Cone	12	3.502181	2.789347	4.596049	3.492812	2.943549	3.712930	3.322826	3.013937	2.978861
ARR3	Cone	13	2.692639	3.001773	4.560395	2.730805	2.767415	3.049721	2.955466	2.675140	2.765127
GNGT2	Cone	12	4.431365	4.569264	5.364048	4.415811	4.341051	4.990696	4.712534	4.810718	4.811544
RXRG	Cone	15	3.670473	4.398583	4.854570	3.475406	3.369535	3.715918	4.320274	5.057674	3.078048
GAD1	GABAamacrine	16	4.038802	4.367073	4.553457	5.000070	3.761263	4.073349	4.655059	4.048197	4.395086
GAD2	GABAamacrine	20	3.624243	3.286926	2.569955	4.963177	3.474717	3.511364	3.554307	3.233329	2.116872
SLC6A1	GABAamacrine	15	4.314190	4.640958	3.524343	5.223723	4.040339	4.215153	4.862634	4.322498	3.221475
SLC32A1	GABAamacrine	11	5.091383	4.216435	4.149340	5.123540	4.897786	4.206056	4.219744	3.900808	4.205594
DLX1	GABAamacrine	11	3.481606	4.633241	4.368015	3.447427	3.785944	3.910518	3.914485	3.498713	4.167634
DLX2	GABAamacrine	12	3.527318	4.624162	4.373239	3.396270	3.800890	3.925147	3.930212	3.503020	4.170476
ONECUT1	Horizontal	15	4.220668	3.455482	3.632173	3.500996	5.388827	3.963143	3.951823	4.800984	3.143661
ONECUT2	Horizontal	17	5.050557	3.480325	4.332834	3.895805	5.424696	4.032888	3.564256	4.245765	3.899333
LHX1	Horizontal	12	4.221908	4.417984	5.106924	4.096175	5.255618	4.459742	4.405295	3.935799	4.698798
PROX1	Horizontal	17	5.486957	4.609727	3.017530	4.136259	5.309080	4.241957	4.693417	4.615372	2.310794
CALB1	Horizontal	15	4.025315	3.182409	3.863005	3.561092	3.739719	3.331350	3.199413	3.834151	2.870799
ISL1	Horizontal	12	2.851000	3.014885	2.648975	2.760294	3.512181	3.026212	2.189945	4.803329	1.935397
PTPRC	Microglia	23	3.417212	2.519275	2.634256	3.958075	3.222183	4.174494	2.294547	3.704728	1.964299
CX3CR1	Microglia	13	2.490489	2.713059	2.562017	3.372460	2.987520	4.204227	2.704843	2.889713	2.427896
C1QA	Microglia	11	4.694926	3.614096	4.097505	4.340924	4.564388	4.598550	4.094112	3.965105	4.507076
C1QB	Microglia	12	4.950465	4.162099	4.150968	4.755494	4.745467	4.824121	4.524437	4.262663	4.339227
C1QC	Microglia	11	4.623715	3.508549	4.010412	4.303644	4.479220	4.528247	4.004760	3.913242	4.242270
AIF1	Microglia	11	5.222194	5.392860	5.431645	5.198968	5.217634	5.627164	5.437180	4.944684	5.630026
TYROBP	Microglia	11	4.881123	4.882248	5.004124	4.879713	4.904134	5.275423	4.954055	4.693710	5.315535
SPI1	Microglia	12	5.226288	5.105889	5.079148	4.900638	5.219858	5.285410	5.056539	4.888940	5.059166
CSF1R	Microglia	17	4.657953	4.857796	4.371675	4.557996	4.556124	5.246789	5.284039	4.647812	4.433080
RLBP1	Mullerglia	13	4.056506	4.826364	3.977677	3.764547	3.656771	4.376996	4.986916	4.401957	4.100764
GLUL	Mullerglia	13	4.349716	4.997172	3.664444	4.743804	3.904154	4.626544	5.023833	4.305306	2.556816
SLC1A3	Mullerglia	20	4.100841	5.246085	2.941975	3.901281	3.265339	5.141368	5.438424	4.174433	2.640767
CA2	Mullerglia	13	3.975834	4.198649	4.544716	3.653397	3.963517	4.229538	4.509162	3.945050	4.149264
VIM	Mullerglia	12	3.915391	4.886266	3.464761	3.890850	4.281702	4.698321	4.987061	3.711729	3.378137
SOX9	Mullerglia	11	4.643423	5.073167	2.248177	3.691836	2.997034	3.742417	4.816463	3.510158	1.893331
CLU	Mullerglia	13	4.231774	5.411412	3.851658	4.815927	4.232926	4.399840	5.308192	4.646900	3.400244
RBPMS	Retinalganglioncell	30	4.111970	4.857796	4.259986	4.297048	4.476348	3.883130	3.633221	5.983001	3.722682
POU4F1	Retinalganglioncell	12	3.119164	3.241240	3.552558	3.281313	3.314782	3.026212	3.105717	4.923797	3.285105
POU4F2	Retinalganglioncell	12	2.254729	2.611148	2.849539	2.682104	2.422281	2.220881	2.065081	4.465766	2.154865
POU4F3	Retinalganglioncell	12	2.774951	2.418101	2.755591	2.797210	2.789021	2.785302	2.403703	3.214389	2.536164
SNCG	Retinalganglioncell	12	3.988435	4.637107	4.353241	3.973436	4.326541	4.413300	4.885465	4.777631	4.139989
NEFL	Retinalganglioncell	11	3.659658	3.214927	3.049360	3.974452	4.034204	3.185316	3.135635	5.168978	3.451281
THY1	Retinalganglioncell	12	5.282769	5.456057	5.654184	5.002797	4.973179	5.367640	5.719890	5.162458	5.827316
RHO	Rod	12	5.211194	5.444651	5.002459	4.754099	4.929132	5.523574	5.375083	4.609704	6.157261
GNAT1	Rod	11	5.614839	6.047044	6.278805	5.399326	5.693553	6.149893	6.325077	5.337988	6.809571
