mode	metric	value
tss_10kb	identity_score	13.661663
tss_10kb	best_swap	None
tss_10kb	best_swap_improvement	0.000000
tss_10kb	profiles	AIIamacrine,Astrocyte,Cone,GABAamacrine,Horizontal,Microglia,Mullerglia,Retinalganglioncell,Rod
tss_10kb	assignment	AIIamacrine:GABAamacrine:0.477867:0.863733
tss_10kb	assignment	Astrocyte:Astrocyte:1.620651:1.620651
tss_10kb	assignment	Cone:Cone:2.256319:2.256319
tss_10kb	assignment	GABAamacrine:GABAamacrine:0.623432:0.623432
tss_10kb	assignment	Horizontal:Horizontal:1.404248:1.404248
tss_10kb	assignment	Microglia:Microglia:1.999828:1.999828
tss_10kb	assignment	Mullerglia:Mullerglia:1.434723:1.434723
tss_10kb	assignment	Retinalganglioncell:Retinalganglioncell:1.966087:1.966087
tss_10kb	assignment	Rod:Rod:1.878507:1.878507
gene_body	identity_score	14.333934
gene_body	best_swap	None
gene_body	best_swap_improvement	0.000000
gene_body	profiles	AIIamacrine,Astrocyte,Cone,GABAamacrine,Horizontal,Microglia,Mullerglia,Retinalganglioncell,Rod
gene_body	assignment	AIIamacrine:GABAamacrine:0.648282:0.946501
gene_body	assignment	Astrocyte:Astrocyte:1.615555:1.615555
gene_body	assignment	Cone:Cone:2.321907:2.321907
gene_body	assignment	GABAamacrine:GABAamacrine:0.704718:0.704718
gene_body	assignment	Horizontal:Horizontal:1.346540:1.346540
gene_body	assignment	Microglia:Microglia:2.016189:2.016189
gene_body	assignment	Mullerglia:Mullerglia:1.444659:1.444659
gene_body	assignment	Retinalganglioncell:Retinalganglioncell:1.942362:1.942362
gene_body	assignment	Rod:Rod:2.293722:2.293722
gene_50kb	identity_score	13.149607
gene_50kb	best_swap	None
gene_50kb	best_swap_improvement	0.000000
gene_50kb	profiles	AIIamacrine,Astrocyte,Cone,GABAamacrine,Horizontal,Microglia,Mullerglia,Retinalganglioncell,Rod
gene_50kb	assignment	AIIamacrine:GABAamacrine:0.572605:0.963767
gene_50kb	assignment	Astrocyte:Astrocyte:1.319145:1.319145
gene_50kb	assignment	Cone:Cone:2.166560:2.166560
gene_50kb	assignment	GABAamacrine:GABAamacrine:0.717822:0.717822
gene_50kb	assignment	Horizontal:Horizontal:1.373614:1.373614
gene_50kb	assignment	Microglia:Microglia:1.548280:1.548280
gene_50kb	assignment	Mullerglia:Mullerglia:1.364911:1.364911
gene_50kb	assignment	Retinalganglioncell:Retinalganglioncell:1.796897:1.796897
gene_50kb	assignment	Rod:Rod:2.289774:2.289774
