pathway_id	pathway_name	gene_id
pau00970	Aminoacyl-tRNA biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	PA14_08650
pau00970	Aminoacyl-tRNA biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	PA14_23570
pau00970	Aminoacyl-tRNA biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	PA14_23580
pau00970	Aminoacyl-tRNA biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	PA14_27600
pau00970	Aminoacyl-tRNA biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	PA14_27610
pau00970	Aminoacyl-tRNA biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	PA14_27620
pau00970	Aminoacyl-tRNA biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	PA14_65220
pau03010	Ribosome - Pseudomonas aeruginosa UCBPP-PA14	PA14_17060
pau03010	Ribosome - Pseudomonas aeruginosa UCBPP-PA14	PA14_57580
pau03010	Ribosome - Pseudomonas aeruginosa UCBPP-PA14	PA14_57590
pau03010	Ribosome - Pseudomonas aeruginosa UCBPP-PA14	PA14_60400
pau03010	Ribosome - Pseudomonas aeruginosa UCBPP-PA14	PA14_60460
pau03010	Ribosome - Pseudomonas aeruginosa UCBPP-PA14	PA14_70190
pau00740	Riboflavin metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_11410
pau00740	Riboflavin metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_11420
pau00740	Riboflavin metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_19530
pau00190	Oxidative phosphorylation - Pseudomonas aeruginosa UCBPP-PA14	PA14_44340
pau00190	Oxidative phosphorylation - Pseudomonas aeruginosa UCBPP-PA14	PA14_44350
pau00190	Oxidative phosphorylation - Pseudomonas aeruginosa UCBPP-PA14	PA14_44360
pau00190	Oxidative phosphorylation - Pseudomonas aeruginosa UCBPP-PA14	PA14_57560
pau00190	Oxidative phosphorylation - Pseudomonas aeruginosa UCBPP-PA14	PA14_57570
pau00920	Sulfur metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_19530
pau00920	Sulfur metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_19540
pau00920	Sulfur metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_19560
pau00920	Sulfur metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_19570
pau00920	Sulfur metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_19580
pau04148	Efferocytosis - Pseudomonas aeruginosa UCBPP-PA14	PA14_57570
pau00760	Nicotinate and nicotinamide metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_64950
pau00760	Nicotinate and nicotinamide metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_64960
pau00785	Lipoic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_32985
pau00785	Lipoic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_33000
pau00260	Glycine, serine and threonine metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_32985
pau00260	Glycine, serine and threonine metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_33000
pau00260	Glycine, serine and threonine metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_47100
pau01200	Carbon metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_19190
pau01200	Carbon metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_32985
pau01200	Carbon metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_33000
pau01200	Carbon metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_47100
pau01200	Carbon metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_61770
pau00670	One carbon pool by folate - Pseudomonas aeruginosa UCBPP-PA14	PA14_32985
pau00670	One carbon pool by folate - Pseudomonas aeruginosa UCBPP-PA14	PA14_33000
pau00620	Pyruvate metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_19190
pau00620	Pyruvate metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_63090
pau00620	Pyruvate metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_63100
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_19190
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_43710
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_44340
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_44350
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_44360
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_57560
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_57570
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_61080
pau01240	Biosynthesis of cofactors - Pseudomonas aeruginosa UCBPP-PA14	PA14_11410
pau01240	Biosynthesis of cofactors - Pseudomonas aeruginosa UCBPP-PA14	PA14_11420
pau01240	Biosynthesis of cofactors - Pseudomonas aeruginosa UCBPP-PA14	PA14_39640
pau01240	Biosynthesis of cofactors - Pseudomonas aeruginosa UCBPP-PA14	PA14_64950
pau01240	Biosynthesis of cofactors - Pseudomonas aeruginosa UCBPP-PA14	PA14_64960
pau01240	Biosynthesis of cofactors - Pseudomonas aeruginosa UCBPP-PA14	PA14_67580
pau00730	Thiamine metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_67580
pau00290	Valine, leucine and isoleucine biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	PA14_47100
pau03060	Protein export - Pseudomonas aeruginosa UCBPP-PA14	PA14_73410
pau03018	RNA degradation - Pseudomonas aeruginosa UCBPP-PA14	PA14_27370
pau04122	Sulfur relay system - Pseudomonas aeruginosa UCBPP-PA14	PA14_67580
pau00630	Glyoxylate and dicarboxylate metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_32985
pau00630	Glyoxylate and dicarboxylate metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_33000
pau00030	Pentose phosphate pathway - Pseudomonas aeruginosa UCBPP-PA14	PA14_61770
pau00790	Folate biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	PA14_11420
pau00910	Nitrogen metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_13770
pau03070	Bacterial secretion system - Pseudomonas aeruginosa UCBPP-PA14	PA14_42570
pau03070	Bacterial secretion system - Pseudomonas aeruginosa UCBPP-PA14	PA14_73410
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_13010
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_19540
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_19570
