query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	TRUE	0.000156438221671538	2014	46	18	0.391304347826087	0.00893743793445879	GO:0009888	GO:BP	tissue development	20972	3587	GO:0048856
query_1	TRUE	0.0101919996367392	54	46	4	0.0869565217391304	0.0740740740740741	GO:0032924	GO:BP	activin receptor signaling pathway	20972	7403	GO:0141091
query_1	TRUE	0.0135917117082504	3018	46	19	0.41304347826087	0.00629555997349238	GO:0048513	GO:BP	animal organ development	20972	11949	GO:0048856
query_1	TRUE	0.0237869677197492	241	46	6	0.130434782608696	0.024896265560166	GO:0042445	GO:BP	hormone metabolic process	20972	9532	GO:0008152,GO:0010817
query_1	TRUE	0.0399161859064368	76	46	4	0.0869565217391304	0.0526315789473684	GO:0046209	GO:BP	nitric oxide metabolic process	20972	11186	GO:2001057
query_1	TRUE	0.0420360436627677	77	46	4	0.0869565217391304	0.051948051948052	GO:2001057	GO:BP	reactive nitrogen species metabolic process	20972	24360	GO:0008152
query_1	TRUE	0.0427314410121592	26	46	3	0.0652173913043478	0.115384615384615	GO:0032925	GO:BP	regulation of activin receptor signaling pathway	20972	7404	GO:0032924,GO:0090092
query_1	TRUE	0.000121305100153743	8	47	3	0.0638297872340425	0.375	GO:0071144	GO:CC	heteromeric SMAD protein complex	22155	2620	GO:0071141,GO:0090575
query_1	TRUE	0.000181686672568202	9	47	3	0.0638297872340425	0.333333333333333	GO:0071141	GO:CC	SMAD protein complex	22155	2618	GO:0032991
query_1	TRUE	0.00297068758698282	16	48	3	0.0625	0.1875	GO:0070411	GO:MF	I-SMAD binding	20208	7926	GO:0046332
query_1	TRUE	0.013564103407959	26	48	3	0.0625	0.115384615384615	GO:0005160	GO:MF	transforming growth factor beta receptor binding	20208	1290	GO:0005126
query_1	TRUE	0.0496304360794156	7	48	2	0.0416666666666667	0.285714285714286	GO:0106256	GO:MF	hydroperoxy icosatetraenoate dehydratase activity	20208	8931	GO:0016836
query_1	TRUE	0.012659666742642	84	29	4	0.137931034482759	0.0476190476190476	HPA:0090912	HPA	Cerebellum; Bergmann glia - nucleus[≥Medium]	11007	112	HPA:0090911
query_1	TRUE	0.0158747336789197	89	29	4	0.137931034482759	0.0449438202247191	HPA:0090902	HPA	Cerebellum; Bergmann glia - cytoplasm/membrane[≥Medium]	11007	109	HPA:0090901
query_1	TRUE	0.0173138115475894	91	29	4	0.137931034482759	0.043956043956044	HPA:0090911	HPA	Cerebellum; Bergmann glia - nucleus[≥Low]	11007	111	HPA:0090000
query_1	TRUE	0.0313150130906425	106	29	4	0.137931034482759	0.0377358490566038	HPA:0090901	HPA	Cerebellum; Bergmann glia - cytoplasm/membrane[≥Low]	11007	108	HPA:0090000
query_1	TRUE	0.0477216559039087	31	43	3	0.0697674418604651	0.0967741935483871	MIRNA:hsa-mir-597-3p	MIRNA	hsa-mir-597-3p	16638	2506	MIRNA:000000
query_1	TRUE	5.41600716738028e-05	45	30	5	0.166666666666667	0.111111111111111	WP:WP2873	WP	Aryl hydrocarbon receptor pathway	8899	184	WP:000000
query_1	TRUE	0.00246382649102909	46	30	4	0.133333333333333	0.0869565217391304	WP:WP2586	WP	Aryl hydrocarbon receptor response to main mediators PAH and TCDD	8899	145	WP:000000
query_1	TRUE	0.00361508174707471	17	30	3	0.1	0.176470588235294	WP:WP697	WP	Estrogen metabolism	8899	968	WP:000000
query_1	TRUE	0.0168956383324424	144	30	5	0.166666666666667	0.0347222222222222	WP:WP4673	WP	Male infertility	8899	503	WP:000000
