feature	n_pairs	statistic	p_value	p_adjust_bh	significant
ACH-000873	17676	-0.30070777995078601	0	0	true
ACH-000860	17676	-0.28009045170447727	0	0	true
ACH-000318	17676	-0.33660150434604452	0	0	true
ACH-000544	17676	-0.33799868909680941	0	0	true
ACH-000695	17548	-0.26629721381438037	1.2819168199831868e-282	1.5106348850870246e-282	true
ACH-000341	17676	-0.29521356351262168	0	0	true
ACH-000424	17676	-0.37540307749077817	0	0	true
ACH-000495	17548	-0.24079578483647338	6.5569353897296305e-230	6.9274901675017071e-230	true
ACH-000427	17676	-0.32610426344062426	0	0	true
ACH-000834	17548	-0.28837978052822283	0	0	true
ACH-000571	17676	-0.29504721858028837	0	0	true
ACH-000694	17676	-0.34852739501499508	0	0	true
ACH-000993	17548	-0.32067879722279635	0	0	true
ACH-000308	17676	-0.28879055148224247	0	0	true
ACH-000397	17548	-0.34769788356951797	0	0	true
ACH-000421	17676	-0.28456976143063273	0	0	true
ACH-000882	17548	-0.32917883426870503	0	0	true
ACH-000864	17124	-0.33431742593726005	0	0	true
ACH-000317	17548	-0.26494904655160051	1.1117637663060692e-279	1.2854040191148787e-279	true
ACH-000577	17548	-0.21186552926788099	2.9759544530095221e-177	3.0225393753862823e-177	true
ACH-000937	17548	-0.28677017498653906	0	0	true
ACH-000433	17548	-0.26515921708264167	3.8824140534679805e-280	4.5029471093324735e-280	true
ACH-000296	17548	-0.29549797649594917	0	0	true
ACH-000417	17676	-0.33905033436619109	0	0	true
ACH-000595	17676	-0.33585926380025849	0	0	true
ACH-000722	17124	-0.30415436967799303	0	0	true
ACH-000947	17676	-0.32654822668486078	0	0	true
ACH-000219	17676	-0.41728034690445553	0	0	true
ACH-000277	17548	-0.32527128147890955	0	0	true
ACH-000788	17676	-0.35026619976467244	0	0	true
ACH-000096	17548	-0.32726385722926282	0	0	true
ACH-000966	17124	-0.27999255120383065	6.3473509127181627e-306	8.0937896609573799e-306	true
ACH-000921	17548	-0.3357243083235385	0	0	true
ACH-000522	17548	-0.3213175761215365	0	0	true
ACH-000322	17548	-0.3556507632204296	0	0	true
ACH-000182	17548	-0.27885684644601805	8.0440148923084804e-311	1.0475263785379109e-310	true
ACH-000023	17124	-0.33107474190330305	0	0	true
ACH-000542	17548	-0.31790568702046013	0	0	true
ACH-000634	17548	-0.29957617773151085	0	0	true
ACH-000290	17548	-0.35359587541034898	0	0	true
ACH-000997	17124	-0.39854115431352033	0	0	true
ACH-000867	17548	-0.29635329513757797	0	0	true
ACH-000624	17676	-0.33058032251722341	0	0	true
ACH-000504	17676	-0.25962359627105513	3.4976451783533079e-270	3.9608856588539003e-270	true
ACH-000965	17676	-0.36695245159046169	0	0	true
ACH-000836	17548	-0.34572193244822996	0	0	true
ACH-000735	17548	-0.32459532620613479	0	0	true
ACH-000235	17676	-0.33282878393383908	0	0	true
ACH-000521	17548	-0.23631883839293377	2.8467353670044945e-221	2.9706235665146236e-221	true
ACH-000431	17548	-0.30861550381001818	0	0	true
ACH-000732	17548	-0.24463992169720308	1.7981816963503238e-237	1.921893809180627e-237	true
ACH-000221	17548	-0.31760140997164676	0	0	true
ACH-000871	17548	-0.31177714375206678	0	0	true
ACH-000014	17548	-0.27112804358991383	2.7442676526000145e-293	3.3299529381934173e-293	true
ACH-000393	17548	-0.27904925907157208	0	0	true
ACH-000887	17548	-0.34275447796225533	0	0	true
ACH-000985	17124	-0.28869066036339669	0	0	true
ACH-000231	17548	-0.32577003457250575	0	0	true
ACH-000087	17676	-0.32544590181568922	0	0	true
ACH-000294	17548	-0.28353003079882971	0	0	true
ACH-000053	17676	-0.32546975901104197	0	0	true
ACH-000591	17548	-0.26244686726668098	2.8431563959664014e-274	3.2430212044994216e-274	true
ACH-000995	17548	-0.31673180224340941	0	0	true
ACH-000339	17548	-0.30663260061392084	0	0	true
ACH-000944	17548	-0.3584494649737705	0	0	true
ACH-001075	17548	-0.31163785592880766	0	0	true
ACH-000152	17547	-0.28547679569731732	0	0	true
ACH-000878	17676	-0.16507272528149713	3.3931166817346599e-108	3.4023706363212091e-108	true
ACH-000948	17676	-0.34946757876010515	0	0	true
ACH-000917	17676	-0.3305517599052093	0	0	true
ACH-000515	17548	-0.2746908247310309	2.67494667485614e-301	3.3681120803268519e-301	true
ACH-000684	17548	-0.19686211633024486	7.7587771556931314e-153	7.8369333358328973e-153	true
ACH-000127	17548	-0.34861907386485769	0	0	true
ACH-000716	17548	-0.34524779979899972	0	0	true
ACH-000859	17676	-0.30696708391674093	0	0	true
ACH-000792	17548	-0.31047747848118779	0	0	true
ACH-000822	17548	-0.28210773162092007	0	0	true
ACH-000851	17548	-0.32404995069118681	0	0	true
ACH-000821	17548	-0.30629121386222963	0	0	true
ACH-000863	17124	-0.29739833200693067	0	0	true
ACH-000262	17548	-0.29509398012712917	0	0	true
ACH-000288	17548	-0.30637113356972828	0	0	true
ACH-000354	17124	-0.29919920717935489	0	0	true
ACH-000383	17676	-0.34532198141680043	0	0	true
ACH-000348	17548	-0.29075025216197575	0	0	true
ACH-000562	17124	-0.34296785042971101	0	0	true
ACH-000907	17548	-0.17292355720365526	7.4532374408477978e-118	7.487177502053844e-118	true
ACH-000901	17548	-0.29552378329250301	0	0	true
ACH-000260	17676	-0.32218580555013226	0	0	true
ACH-000623	17548	-0.24284138417874346	6.4493356701482701e-234	6.8730601392981083e-234	true
ACH-000434	17676	-0.2188950402630257	9.8798784518366783e-191	1.0071632100162529e-190	true
ACH-000458	17548	-0.27422086468533696	3.0973763641067479e-300	3.8778730188532836e-300	true
ACH-000685	17548	-0.30129628423554233	0	0	true
ACH-000422	17548	-0.31448783739093505	0	0	true
ACH-000711	17676	-0.36294368151838324	0	0	true
ACH-000760	17547	-0.30072930862025438	0	0	true
ACH-000488	17548	-0.32478705572881378	0	0	true
ACH-000934	17124	-0.31253387127243121	0	0	true
ACH-000646	17548	-0.24370228717488421	1.293246512533766e-235	1.3808818037993649e-235	true
ACH-001306	17548	-0.27884148772282974	8.7273735639147526e-311	1.1351760661554412e-310	true
ACH-000746	17548	-0.25939944472096282	9.1331635992943496e-268	1.0268990265057764e-267	true
ACH-000408	17676	-0.30211918488752754	0	0	true
ACH-000569	17548	-0.29454037449513254	0	0	true
ACH-000657	17676	-0.39027844397606914	0	0	true
ACH-000587	17676	-0.34569686823845797	0	0	true
ACH-000588	17548	-0.3021674901794707	0	0	true
ACH-000378	17548	-0.26627728238298859	1.4171725585507313e-282	1.6682404824775419e-282	true
ACH-000261	17548	-0.31784599701239263	0	0	true
ACH-000768	17676	-0.2669504554225226	4.1841360758854051e-286	4.9785351582541545e-286	true
ACH-000840	17548	-0.23046561946066685	2.9844474947679059e-210	3.0822524220308991e-210	true
ACH-000278	17548	-0.22508039379051195	2.2058222382346489e-200	2.2674948078031853e-200	true
ACH-000272	17548	-0.28130544604045782	0	0	true
ACH-000398	17548	-0.3254565924936802	0	0	true
ACH-000025	17676	-0.35506327703771395	0	0	true
ACH-000638	17548	-0.29573310786911766	0	0	true
ACH-000228	17548	-0.25018407757449584	1.2912638399409895e-248	1.3977075715946138e-248	true
ACH-000464	17676	-0.29128325344024453	0	0	true
ACH-000114	17676	-0.29973993361973472	0	0	true
ACH-000823	17676	-0.35930288471012678	0	0	true
ACH-000757	17548	-0.26904289117411601	1.1772792940755682e-288	1.4145305679361131e-288	true
ACH-000941	17548	-0.29321551661424644	0	0	true
ACH-000484	17548	-0.20784107584639519	1.6367159895281613e-170	1.6592810077661416e-170	true
ACH-000271	17124	-0.35537816406263606	0	0	true
ACH-000655	17548	-0.26834551494632097	4.0830182910757719e-287	4.8792732124123254e-287	true
ACH-000139	17124	-0.28887422325136469	0	0	true
ACH-000111	17676	-0.28173383878685909	0	0	true
