StrainNumber	Ratio	MeanArea	MeanCircularity	Z_Area	Z_Circ	Distance
1	1:0	111959.6667	0.061333	0.762366	-0.833572	0.000000
287	1:0	10271.0000	0.737333	-1.178823	1.779231	3.254988
287_98	1000:1	45435.3333	0.302333	-0.507552	0.097916	1.574916
287_98	100:1	74453.6667	0.111333	0.046394	-0.640317	0.741595
287_98	10:1	184367.3333	0.042333	2.144594	-0.907008	1.384178
287_98	1:1	43223.6667	0.197000	-0.549772	-0.309207	1.413033
287_98	1:2	26811.3333	0.389000	-0.863076	0.432890	2.060579
287_98	1:3	18760.6667	0.607000	-1.016759	1.275481	2.759236
287_98	2:1	87056.6667	0.096333	0.286979	-0.698293	0.494260
287_98	3:1	89125.3333	0.085667	0.326469	-0.739521	0.445928
287_98	4:1	152298.0000	0.055000	1.532405	-0.858051	0.770429
287_98	500:1	10046.3333	0.818667	-1.183112	2.093592	3.514707
287_98	50:1	93919.0000	0.095000	0.417978	-0.703447	0.368151
287_98	5:1	118086.3333	0.066667	0.879321	-0.812958	0.118758
98	1:0	14535.6667	0.490000	-1.097412	0.823265	2.490759
