	cell_type	broad_cell_type	color	sample1	psbulk_n_cells	psbulk_counts
sample1_DiMes	DiMes	neural	cornflowerblue	sample1	38.0	108982.0
sample1_HyTh	HyTh	neural	cornflowerblue	sample1	245.0	597482.0
sample1_endoderm	endoderm	endoderm	coral3	sample1	842.0	2253547.0
sample1_endostyle_csg	endostyle_csg	endoderm	coral3	sample1	223.0	540883.0
sample1_epidermal_neural1	epidermal_neural1	epidermal_neural1	springgreen2	sample1	108.0	736031.0
sample1_epidermal_neural2	epidermal_neural2	epidermal_neural2	springgreen3	sample1	99.0	331969.0
sample1_epidermis_1	epidermis_1	epidermis_1	turquoise4	sample1	3189.0	8979736.0
sample1_epidermis_2	epidermis_2	epidermis_2	turquoise2	sample1	6546.0	9568628.0
sample1_mesodermal_notochord	mesodermal_notochord	mesodermal_other	chartreuse4	sample1	409.0	878483.0
sample1_muscular_somites	muscular_somites	mesodermal_somites	darkgoldenrod3	sample1	182.0	587246.0
sample1_neural	neural	neural	cornflowerblue	sample1	1243.0	3270377.0
sample1_neural_like1	neural_like1	neural_like1	skyblue3	sample1	30.0	54090.0
sample1_neural_like2	neural_like2	neural_like2	skyblue4	sample1	110.0	125140.0
sample1_putative_neuro_endo	putative_neuro_endo	mesodermal_other	chartreuse4	sample1	166.0	74872.0
sample1_somite	somite	mesodermal_other	chartreuse4	sample1	666.0	2398658.0
sample1_tailbud	tailbud	mesodermal_other	chartreuse4	sample1	279.0	571420.0
sample1_tailbud_neural	tailbud_neural	neural	cornflowerblue	sample1	211.0	725452.0
