                                 Started job on |	Aug 25 10:29:03
                             Started mapping on |	Aug 25 12:38:21
                                    Finished on |	Aug 25 12:38:45
       Mapping speed, Million of reads per hour |	18.00

                          Number of input reads |	120000
                      Average input read length |	150
                                    UNIQUE READS:
                   Uniquely mapped reads number |	103017
                        Uniquely mapped reads % |	85.85%
                          Average mapped length |	149.47
                       Number of splices: Total |	60328
            Number of splices: Annotated (sjdb) |	59840
                       Number of splices: GT/AG |	59722
                       Number of splices: GC/AG |	436
                       Number of splices: AT/AC |	54
               Number of splices: Non-canonical |	116
                      Mismatch rate per base, % |	0.45%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.39
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.32
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	13834
             % of reads mapped to multiple loci |	11.53%
        Number of reads mapped to too many loci |	77
             % of reads mapped to too many loci |	0.06%
                                  UNMAPPED READS:
  Number of reads unmapped: too many mismatches |	5
       % of reads unmapped: too many mismatches |	0.00%
            Number of reads unmapped: too short |	2163
                 % of reads unmapped: too short |	1.80%
                Number of reads unmapped: other |	8
                     % of reads unmapped: other |	0.01%
                                  CHIMERIC READS:
                       Number of chimeric reads |	1613
                            % of chimeric reads |	1.34%
