cell_type	sample1_best_cells	sample1_best_fraction	sample2_best_cells	sample2_best_fraction	sample1_confident_cells	sample2_confident_cells
astrocyte	0	0	0	0	0	0
microglial cell	0	0	0	0	0	0
RPE cell	0	0	0	0	0	0
cone cell	0	0	0	0	0	0
rod cell	935	0.148530579825258	2343	0.468225419664269	559	1788
horizontal cell	0	0	0	0	0	0
bipolar cell	5	0.00079428117553614	1	0.000199840127897682	2	1
RGC	0	0	1	0.000199840127897682	0	0
T cells	5355	0.850675138999206	2657	0.530975219824141	135	66
macrophage	0	0	0	0	0	0
Schwann cell	0	0	0	0	0	0
Pericyte	0	0	0	0	0	0
B cell	0	0	0	0	0	0
fibroblast	0	0	0	0	0	0
endothelial cell	0	0	0	0	0	0
muller glia cell	0	0	2	0.000399680255795364	0	1
