rank	direction	gene	sample1_cpm	sample2_cpm	log2fc_sample2_vs_sample1	sample1_detect_frac	sample2_detect_frac	detection_fraction_difference
1	up_in_sample2	TBC1D3D	0	8.58586	9.7475	0	0.0349720223820943	0.0349720223820943
2	up_in_sample2	AC018445.5	0	1.46243	7.20205	0	0.00519584332533973	0.00519584332533973
3	up_in_sample2	VIP	0.05194	7.59518	6.93992	0.000158856235107228	0.00139888089528377	0.00124002466017655
4	up_in_sample2	AC108516.1	0	1.08503	6.77482	0	0.00459632294164668	0.00459632294164668
5	up_in_sample2	LINC01446	0	1.08503	6.77482	0	0.00279776179056755	0.00279776179056755
6	up_in_sample2	TMEM229A	0	0.84915	6.42484	0	0.00339728217426059	0.00339728217426059
7	up_in_sample2	HEPN1	0	0.84915	6.42484	0	0.00359712230215827	0.00359712230215827
8	up_in_sample2	AL355836.2	0	0.7548	6.25701	0	0.00239808153477218	0.00239808153477218
9	up_in_sample2	AC243967.2	0	0.7548	6.25701	0	0.00319744204636291	0.00319744204636291
10	up_in_sample2	BX088723.1	0	0.7548	6.25701	0	0.00279776179056755	0.00279776179056755
11	up_in_sample2	U2AF1	0.10388	8.53868	6.23006	0.000317712470214456	0.0333733013589129	0.0330555888886984
12	up_in_sample2	CX3CR1	0	0.70763	6.16516	0	0.00159872102318145	0.00159872102318145
13	up_in_sample2	HPSE	0	0.70763	6.16516	0	0.0021982414068745	0.0021982414068745
14	up_in_sample2	TRBC2	0	0.70763	6.16516	0	0.00279776179056755	0.00279776179056755
15	up_in_sample2	GBX2	0	0.61328	5.9618	0	0.00139888089528377	0.00139888089528377
16	up_in_sample2	CU633967.1	0	0.61328	5.9618	0	0.00259792166266986	0.00259792166266986
17	up_in_sample2	PNMA6F	0	0.61328	5.9618	0	0.00259792166266986	0.00259792166266986
18	up_in_sample2	AC233992.3	0	0.5661	5.84825	0	0.00239808153477218	0.00239808153477218
19	up_in_sample2	LINGO4	0	0.51893	5.72499	0	0.00159872102318145	0.00159872102318145
20	up_in_sample2	AC091973.1	0	0.51893	5.72499	0	0.00199840127897682	0.00199840127897682
21	up_in_sample2	AC024257.5	0	0.51893	5.72499	0	0.0021982414068745	0.0021982414068745
22	up_in_sample2	AL360267.2	0	0.51893	5.72499	0	0.00199840127897682	0.00199840127897682
23	up_in_sample2	LINC01892	0	0.51893	5.72499	0	0.00119904076738609	0.00119904076738609
24	up_in_sample2	AC011451.4	0	0.51893	5.72499	0	0.0021982414068745	0.0021982414068745
25	up_in_sample2	AC004835.1	0	0.51893	5.72499	0	0.00199840127897682	0.00199840127897682
26	up_in_sample2	LRRC52	0	0.47175	5.59021	0	0.000799360511590727	0.000799360511590727
27	up_in_sample2	AC233263.6	0	0.47175	5.59021	0	0.00199840127897682	0.00199840127897682
28	up_in_sample2	AC069148.1	0	0.47175	5.59021	0	0.00159872102318145	0.00159872102318145
29	up_in_sample2	C3orf80	0	0.47175	5.59021	0	0.00199840127897682	0.00199840127897682
30	up_in_sample2	SHISA3	0	0.47175	5.59021	0	0.00159872102318145	0.00159872102318145
31	up_in_sample2	LINC02283	0	0.47175	5.59021	0	0.00139888089528377	0.00139888089528377
32	up_in_sample2	SOX18	0	0.47175	5.59021	0	0.00119904076738609	0.00119904076738609
33	up_in_sample2	CMTM5	0.05194	2.87768	5.54285	0.000158856235107228	0.00999200639488409	0.00983315015977686
34	up_in_sample2	FAM138E	0.31165	14.48274	5.49369	0.000953137410643368	0.0583533173461231	0.0574001799354797
35	up_in_sample2	LINC02772	0	0.42458	5.44153	0	0.00179856115107914	0.00179856115107914
36	up_in_sample2	AC105393.2	0	0.42458	5.44153	0	0.00159872102318145	0.00159872102318145
37	up_in_sample2	AC023468.1	0	0.42458	5.44153	0	0.000399680255795364	0.000399680255795364
38	up_in_sample2	LINC01179	0	0.42458	5.44153	0	0.000999200639488409	0.000999200639488409
39	up_in_sample2	AL355385.1	0	0.42458	5.44153	0	0.00179856115107914	0.00179856115107914
40	up_in_sample2	AP005273.1	0	0.42458	5.44153	0	0.00179856115107914	0.00179856115107914
41	up_in_sample2	AL158196.1	0	0.42458	5.44153	0	0.00179856115107914	0.00179856115107914
42	up_in_sample2	LINC02324	0	0.42458	5.44153	0	0.00159872102318145	0.00159872102318145
43	up_in_sample2	VCX3B	0	0.42458	5.44153	0	0.00159872102318145	0.00159872102318145
44	up_in_sample2	UBXN10-AS1	0	0.3774	5.27575	0	0.00159872102318145	0.00159872102318145
45	up_in_sample2	AC017002.6	0	0.3774	5.27575	0	0.00139888089528377	0.00139888089528377
46	up_in_sample2	UBE2E1-AS1	0	0.3774	5.27575	0	0.000999200639488409	0.000999200639488409
47	up_in_sample2	SNTN	0	0.3774	5.27575	0	0.00159872102318145	0.00159872102318145
48	up_in_sample2	AC097105.1	0	0.3774	5.27575	0	0.00139888089528377	0.00139888089528377
49	up_in_sample2	AC139491.4	0	0.3774	5.27575	0	0.00139888089528377	0.00139888089528377
50	up_in_sample2	HIST1H1A	0	0.3774	5.27575	0	0.00159872102318145	0.00159872102318145
51	up_in_sample2	AL009179.2	0	0.3774	5.27575	0	0.00139888089528377	0.00139888089528377
52	up_in_sample2	AC022730.4	0	0.3774	5.27575	0	0.00119904076738609	0.00119904076738609
53	up_in_sample2	FAM205C	0	0.3774	5.27575	0	0.00159872102318145	0.00159872102318145
54	up_in_sample2	AC073389.3	0	0.3774	5.27575	0	0.00159872102318145	0.00159872102318145
55	up_in_sample2	AP001527.2	0	0.3774	5.27575	0	0.00159872102318145	0.00159872102318145
56	up_in_sample2	PTHLH	0	0.3774	5.27575	0	0.00159872102318145	0.00159872102318145
57	up_in_sample2	CPNE8-AS1	0	0.3774	5.27575	0	0.00159872102318145	0.00159872102318145
58	up_in_sample2	AC048338.2	0	0.3774	5.27575	0	0.00159872102318145	0.00159872102318145
