cell_type	marker1	marker2	sample1_cells	sample1_fraction	sample2_cells	sample2_fraction	sample2_over_sample1_ratio
astrocyte	GFAP	AQP4	58	0.00921366163621922	63	0.012589928057554	1.36644132954656
astrocyte	GFAP	ALDH1L1	27	0.00428911834789516	14	0.00279776179056755	0.652292980278389
astrocyte	AQP4	ALDH1L1	30	0.00476568705321684	46	0.00919264588329336	1.92892352743964
microglial cell	P2RY12	AIF1	0	0	0	0	0
microglial cell	P2RY12	C1QA	0	0	0	0	0
microglial cell	C1QA	C1QB	0	0	0	0	0
RPE cell	RPE65	BEST1	5	0.00079428117553614	8	0.00159872102318145	2.01278976565135
RPE cell	RPE65	RLBP1	15	0.00238284352660842	16	0.00319744204636291	1.34185984489383
RPE cell	BEST1	RLBP1	40	0.00635424940428912	23	0.00459632294164668	0.72334632282781
cone cell	ARR3	GNAT2	31	0.00492454328832407	129	0.025779376498801	5.23487661377414
cone cell	OPN1LW	GNB3	130	0.0206513105639396	253	0.0505595523581135	2.44824909291471
cone cell	OPN1SW	PDE6C	7	0.0011119936457506	10	0.00199840127897682	1.79713371997802
rod cell	RHO	GNAT1	1274	0.202382843526608	3557	0.710831334932054	3.51231024597737
rod cell	RHO	SAG	1872	0.297378872120731	3845	0.768385291766587	2.58385972844786
rod cell	NRL	SAG	1778	0.282446386020651	3808	0.760991207034373	2.69428551645918
horizontal cell	LHX1	ONECUT1	108	0.0171564733915806	0	0	0
horizontal cell	LHX1	PROX1	84	0.0133439237490071	2	0.000399680255795364	0.0299522286909913
horizontal cell	ONECUT1	PROX1	148	0.0235107227958697	33	0.0065947242206235	0.280498574101751
horizontal cell	GAD1	CALB1	8	0.00127084988085782	18	0.00359712230215827	2.83048560928355
bipolar cell	VSX2	GRM6	380	0.0603653693407466	321	0.0641486810551559	1.06267354535662
bipolar cell	TRPM1	GRM6	602	0.0956314535345512	444	0.0887290167865707	0.927822526022628
bipolar cell	PRKCA	VSX2	458	0.0727561556791104	363	0.0725419664268585	0.997056066923139
RGC	RBPMS	SNCG	107	0.0169976171564734	126	0.0251798561151079	1.48137564705868
RGC	RBPMS	THY1	92	0.014614773629865	113	0.0225819344524381	1.54514431922142
RGC	POU4F1	POU4F2	2	0.000317712470214456	8	0.00159872102318145	5.03197440462549
T cells	CD3D	CD3E	0	0	0	0	0
T cells	CD3D	CD247	0	0	0	0	0
T cells	TRBC2	CD247	0	0	0	0	0
macrophage	CD68	LGALS3	3	0.000476568705321684	1	0.000199840127897682	0.419331200825406
macrophage	CD68	CTSS	0	0	0	0	0
macrophage	CTSS	FCER1G	0	0	3	0.000599520383693046	599520383.693045
Schwann cell	S100B	SOX10	0	0	1	0.000199840127897682	199840127.897682
Schwann cell	MPZ	PMP22	0	0	2	0.000399680255795364	399680255.795364
Schwann cell	PLP1	SOX10	0	0	0	0	0
Pericyte	RGS5	PDGFRB	7	0.0011119936457506	16	0.00319744204636291	2.87541395196483
Pericyte	MCAM	RGS5	12	0.00190627482128674	4	0.000799360511590727	0.419331201485328
Pericyte	COL4A1	COL4A2	100	0.0158856235107228	35	0.00699440447641886	0.440297761762851
B cell	CD74	HLA-DRA	2	0.000317712470214456	6	0.00119904076738609	3.77398080346912
B cell	CD74	CD37	1	0.000158856235107228	0	0	0
B cell	CD79A	CD37	0	0	0	0	0
fibroblast	DCN	LUM	0	0	1	0.000199840127897682	199840127.897682
fibroblast	COL1A1	COL1A2	0	0	0	0	0
fibroblast	DCN	COL6A1	0	0	2	0.000399680255795364	399680255.795364
endothelial cell	KDR	FLT1	206	0.032724384432089	276	0.0551558752997602	1.68546716020088
endothelial cell	ESAM	ENG	2	0.000317712470214456	6	0.00119904076738609	3.77398080346912
endothelial cell	PECAM1	VWF	1	0.000158856235107228	1	0.000199840127897682	1.25799359719684
muller glia cell	GLUL	SOX9	136	0.021604447974583	192	0.0383693045563549	1.77599097184613
muller glia cell	GLUL	VIM	566	0.089912629070691	574	0.114708233413269	1.27577443344258
muller glia cell	RLBP1	GLUL	529	0.0840349483717236	464	0.0927258193445244	1.10341972167644
muller glia cell	KCNJ10	GLUL	36	0.00571882446386021	140	0.0279776179056755	4.89219735237307
