cell_type	markers_found	s1_ge1	s1_ge2	s1_ge3	s1_ge4	s2_ge1	s2_ge2	s2_ge3	s2_ge4	s1_fraction_ge2	s2_fraction_ge2	ratio_ge2	s1_mean_detect	s2_mean_detect	s1_mean_norm_per_marker	s2_mean_norm_per_marker	s1_q95_norm	s2_q95_norm
astrocyte	6	670	276	89	14	597	334	205	58	0.0438443208895949	0.0667466027178257	1.52235458006931	0.166640190627482	0.240007993605116	0.200413871104735	0.248848319787018	1.35308959580468	2.19638045090686
microglial cell	9	289	2	0	0	270	5	0	0	0.000317712470214456	0.000999200639488409	3.14498400289093	0.0462271644162033	0.0549560351718625	0.0158393112273294	0.0152802752563537	0	0.0989535742640975
RPE cell	9	2731	858	185	33	3310	1070	219	26	0.136298649722002	0.21382893685052	1.56882652385098	0.606036536934075	0.926059152677858	0.355209365291281	0.460165173627612	1.51048379319112	1.46117643122719
cone cell	9	3817	1475	405	203	3908	1818	500	241	0.234312946783161	0.363309352517986	1.55053042311251	0.958061953931692	1.36910471622702	0.767505613644843	0.899872283268354	2.88101411696917	2.75853014712429
rod cell	10	5685	4965	4431	4052	4980	4893	4680	4328	0.788721207307387	0.977817745803357	1.2397507975477	4.89070691024623	7.59352517985612	8.45662476071399	16.7310108088455	19.9830405007011	34.2710622710622
horizontal cell	7	1405	544	131	24	1284	492	69	5	0.086417791898332	0.0983213429256595	1.13774421637843	0.334710087370929	0.369704236610711	0.263497226573333	0.258288879191724	1.66757691554338	1.61355417393449
bipolar cell	8	3556	1420	745	489	3616	1468	619	363	0.225575853852264	0.293365307753797	1.30051733260702	1.0460683081811	1.27757793764988	1.32110019812583	1.19338207742416	7.16607391141916	5.78934465010251
RGC	8	1124	304	158	123	1818	541	203	123	0.0482922954725973	0.108113509192646	2.23873204063688	0.301826846703733	0.580935251798561	0.16898596411809	0.303815916264929	0.920878569473587	0.980262513468508
T cells	9	169	0	0	0	89	0	0	0	0	0	0	0.0268467037331215	0.0177857713828937	0.0115101290366556	0.00485644026317363	0	0
macrophage	8	662	22	1	0	394	9	1	0	0.00349483717235902	0.00179856115107914	0.514633747400161	0.108816521048451	0.0807354116706635	0.0659331968417007	0.0290317454742643	0.463484667321466	0.22525842344668
Schwann cell	7	268	11	0	0	277	22	1	0	0.00174741858617951	0.004396482813749	2.51598720879198	0.0443208895949166	0.0599520383693046	0.0173960085263262	0.0201313579147878	0	0.101159315790782
Pericyte	10	720	268	98	20	520	153	37	7	0.0425734710087371	0.0305755395683453	0.718182916336615	0.176171564733916	0.143285371702638	0.0679824904897336	0.0353514637028789	0.480842779269644	0.272360864803562
B cell	9	176	8	0	0	295	13	0	0	0.00127084988085782	0.00259792166266986	2.04423960670479	0.0292295472597299	0.061550759392486	0.0111197639072954	0.0163545432952584	0	0.129329065450858
fibroblast	10	300	21	1	1	432	75	8	0	0.00333598093725179	0.0149880095923261	4.4928343026386	0.0513105639396346	0.102917665867306	0.0157889234447759	0.0255049086239935	0	0.195110248225811
endothelial cell	10	876	243	14	1	833	341	40	2	0.0386020651310564	0.0681454836131095	1.76533258984943	0.180301826846704	0.243605115907274	0.112756062426019	0.130417563163516	0.785211009820463	0.939385486303063
muller glia cell	9	2237	887	595	414	2149	821	477	398	0.140905480540111	0.164068745003997	1.16438866943949	0.701826846703733	0.900479616306954	0.553623296207232	0.922308892136827	3.4107220607031	7.94087050900858
