gene	sample1_cpm	sample2_cpm	log2fc_sample2_vs_sample1	sample1_detect_frac	sample2_detect_frac	detection_fraction_difference
C1QA	0.675246136306536	0.566100434142423	-0.250301943563446	0.00206513105639396	0.00239808153477218	0.000332950478378219
C1QC	0.259710052425591	0.235875180892676	-0.133483179686854	0.00079428117553614	0.000999200639488409	0.00020491946395227
C1QB	1.7140863460089	1.55677619389166	-0.13803291676528	0.00492454328832407	0.0065947242206235	0.00167018093229943
RPE65	5.92138919530347	11.6050588999197	0.96955452587284	0.0162033359809373	0.031374900079936	0.0151715640989988
GNAT2	2.33739047183032	12.3598594787762	2.39769936236708	0.00635424940428912	0.0305755395683453	0.0242212901640562
CTSS	10.9078222018748	11.2748336466699	0.0477000435432426	0.0293884034948372	0.0381694644284572	0.00878106093362006
KCNJ10	2.96069459765173	10.9917834295987	1.88886520728309	0.00826052422557585	0.0349720223820943	0.0267114981565185
FCER1G	0.519420104851181	0.613275470320958	0.235456952493006	0.00158856235107228	0.00259792166266986	0.00100935931159758
MPZ	1.1427242306726	1.79265137478434	0.645072998135363	0.00349483717235902	0.00739408473221423	0.00389924755985521
RGS5	5.86944718481835	6.22710477556665	0.0851959825970145	0.0152501985702939	0.0193844924060751	0.00413429383578125
RXRG	14.5437629358331	29.6730977562987	1.0282494446846	0.0316123907863384	0.0515587529976019	0.0199463622112636
CD247	8.57043173004449	3.63247778574721	-1.23613006589488	0.0209690230341541	0.0107913669064748	-0.0101776561276793
GLUL	321.572986913366	398.440355563909	0.309208900656883	0.198093725178713	0.231814548361311	0.0337208231825977
SRGAP2	43.8909988599248	47.6939615764991	0.119855314712595	0.0942017474185862	0.125299760191847	0.0310980127732603
PROX1	90.5349242755609	71.9419301722662	-0.331600380510431	0.131691818903892	0.127697841726619	-0.00399397717727326
MERTK	99.7286601314268	33.7301508676527	-1.56368639767626	0.198570293884035	0.107913669064748	-0.0906566248192867
GAD1	17.8161095963955	44.0143087545734	1.30430847098934	0.0249404289118348	0.0443645083932854	0.0194240794814506
COL3A1	0	0	0	0	0	0
DES	0	0	0	0	0	0
SAG	804.477858393509	3004.86110442798	1.90116055450164	0.576648133439237	0.856514788169464	0.279866654730227
THRB	340.843472803345	394.005902163126	0.209102174770088	0.435424940428912	0.583932853717026	0.148507913288115
CX3CR1	0	0.707625542678029	6.1651593363696	0	0.00159872102318145	0.00159872102318145
GNAT1	196.964103759568	954.964257362089	2.2774558732248	0.346783161239079	0.764988009592326	0.418204848353248
MITF	33.2428867104756	33.7301508676527	0.0209868369948395	0.046703733121525	0.0539568345323741	0.00725310141084908
CSTA	0.103884020970236	0	-3.50949343206339	0.000317712470214456	0	-0.000317712470214456
ALDH1L1	5.14225903802669	4.29292829224671	-0.25988633090925	0.0130262112787927	0.0153876898481215	0.00236147856932881
RHO	231.557482742657	1220.55971104724	2.39805010889227	0.382843526608419	0.843725019984013	0.460881493375593
P2RY12	14.6995889672884	11.0861335019558	-0.40669988315561	0.0351072279586974	0.034572342126299	-0.000534885832398413
CLDN11	1.19466624115772	0.377400289428282	-1.63673655899925	0.00254169976171565	0.00139888089528377	-0.00114281886643187
PDE6B	540.352735076684	289.135796738243	-0.902131055746004	0.555361397934869	0.552158273381295	-0.00320312455357397
PDGFRA	4.05147681783921	9.38783219952851	1.21032359854808	0.00826052422557585	0.0203836930455636	0.0121231688199877
KDR	29.8147140184578	47.1278611423567	0.660377994130027	0.04527402700556	0.0731414868105516	0.0278674598049916
EMCN	0.571362115336299	1.13220086828485	0.974307420495947	0.00174741858617951	0.00319744204636291	0.0014500234601834
LRIT3	12.3621984954581	15.0016615047742	0.278981779788858	0.0335186656076251	0.0537569944044764	0.0202383287968513
POU4F2	0.727188146791654	1.88700144714141	1.36361600006805	0.00206513105639396	0.00639488409272582	0.00432975303633186
LRAT	6.44080930015465	4.67032858167499	-0.462870350774635	0.0130262112787927	0.0135891286970424	0.000562917418249672
IL7R	0.0519420104851181	0	-2.63091821010068	0.000158856235107228	0	-0.000158856235107228
SLC1A3	167.201331751595	120.76809261705	-0.469313826219025	0.0886417791898332	0.0955235811350919	0.00688180194525873
C7	3.32428867104756	0.943500723570705	-1.8060730747703	0.00730738681493249	0.00339728217426059	-0.0039101046406719
ISL1	48.7735478455259	52.883215556138	0.116688000539822	0.0795869737887212	0.0865307753796962	0.00694380159097503
PDE6A	2543.18471737235	2936.74035218618	0.207578705109754	0.693725178713264	0.734612310151878	0.040887131438614
PDGFRB	8.62237374052961	11.7465840084553	0.445639698684339	0.0200158856235107	0.0333733013589129	0.0133574157354021
CD74	3.01263660813685	5.18925397963888	0.782497087919982	0.00921366163621922	0.0209832134292566	0.0117695517930374
GRM6	90.2752142231353	99.9639016623162	0.147061785721206	0.105162827640985	0.103916866506795	-0.00124596113419034
CD83	3.27234666056244	5.09490390728181	0.637156189464579	0.00905480540111199	0.0189848121502798	0.00993000674916778
LTB	0.0519420104851181	0.660450506499493	3.43614071928296	0.000158856235107228	0.00259792166266986	0.00243906542756264
LST1	0.155826031455354	0.283050217071211	0.821477406367038	0.000476568705321684	0.00119904076738609	0.000722472062064407
AIF1	0.467478094366063	0.99067575974924	1.06746813384647	0.00142970611596505	0.00419664268585132	0.00276693656988627
HLA-DRA	2.07768041940472	3.44377764103307	0.726274321055172	0.00619539316918189	0.0119904076738609	0.00579501450467902
ELOVL4	112.610278731736	230.119826478895	1.03098135268972	0.224940428911835	0.513189448441247	0.288249019529412
GJA1	0	0.141525108535606	3.92148497081914	0	0.000599520383693046	0.000599520383693046
GNGT1	320.534146703664	1614.18821292094	2.33222277321344	0.476250992851469	0.934652278177458	0.458401285325989
COL1A2	0.883014178247008	1.17937590446338	0.413449767514745	0.00190627482128674	0.00419664268585132	0.00229036786456458
OPN1SW	5.50585311142252	9.01043191010023	0.709612475237608	0.00508339952343129	0.0101918465227818	0.00510844699935048
TRBC1	0	0.0471750361785352	2.51538537352854	0	0.000199840127897682	0.000199840127897682
TRBC2	0	0.707625542678029	6.1651593363696	0	0.00279776179056755	0.00279776179056755
NEFM	62.8498326869929	81.4241124441518	0.373494828500565	0.0482922954725973	0.0585531574740208	0.0102608620014235
NEFL	101.546630498406	156.149369750952	0.620734701037265	0.0716441620333598	0.114708233413269	0.0430640713799096
RBPMS	69.498410029088	96.9446993468899	0.480123282392999	0.0333598093725179	0.0529576338928857	0.0195978245203678
CALB1	11.2194742647855	26.7482455132295	1.2526931383032	0.0233518665607625	0.0553557154276579	0.0320038488668954
ENG	4.77866496463087	6.08557966703105	0.348139920296534	0.0139793486894361	0.0235811350919265	0.0096017864024904
VIM	131.72493859026	239.035908316638	0.859649685402864	0.195552025416998	0.230615507593925	0.0350634821769272
GAD2	16.7772693866932	36.6550031107219	1.12703608085817	0.0220810166799047	0.039568345323741	0.0174873286438363
SNCG	43.4235207655587	106.143831401704	1.2892756342809	0.0752978554408261	0.194244604316547	0.118946748875721
PDE6C	15.0112410301991	26.1821450790871	0.802130207213599	0.034154090548054	0.0479616306954436	0.0138075401473896
MS4A7	0.207768041940472	0.518925397963888	1.28027200231836	0.000635424940428912	0.0021982414068745	0.00156281646644559
MS4A1	0	0	0	0	0	0
BEST1	5.71362115336299	7.07625542678029	0.308095285685152	0.0165210484511517	0.0187849720223821	0.00226392357123039
ROM1	303.393283243575	884.579103383714	1.5437707731974	0.451628276409849	0.80255795363709	0.350929677227241
NCAM1	868.52235732166	551.098772637649	-0.656242505383848	0.667672756155679	0.699840127897682	0.0321673717420028
CD3E	0.0519420104851181	0	-2.63091821010068	0.000158856235107228	0	-0.000158856235107228
CD3D	0.0519420104851181	0	-2.63091821010068	0.000158856235107228	0	-0.000158856235107228
CD3G	0.155826031455354	0.0471750361785352	-1.5362132209769	0.000476568705321684	0.000199840127897682	-0.000276728577424002
MCAM	30.5938441757346	5.23642901581741	-2.54430519156631	0.0479745830023828	0.0179856115107914	-0.0299889714915915
THY1	22.438948529571	46.6561107805714	1.05572736289869	0.0368546465448769	0.0893285371702638	0.0524738906253869
ESAM	2.18156444037496	5.84970448613837	1.41886680892686	0.00603653693407466	0.0203836930455636	0.0143471561114889
VWF	0.986898199217244	0.849150651213634	-0.214535059000851	0.00206513105639396	0.00259792166266986	0.000532790606275901
GNB3	173.382430999324	178.887737189006	0.0450942165994852	0.339475774424146	0.432254196642686	0.0927784222185397
CD163	0.415536083880945	0.471750361785352	0.179004277673312	0.00127084988085782	0.00179856115107914	0.000527711270221313
KCNJ8	0.519420104851181	0.660450506499493	0.340717851944136	0.00127084988085782	0.00259792166266986	0.00132707178181204
ABCC9	6.28498326869929	5.09490390728181	-0.302318738810805	0.0131850675138999	0.0139888089528377	0.000803741438937808
RDH5	17.2447474810592	35.2397520253658	1.03061974804463	0.0489277204130262	0.12589928057554	0.0769715601625134
PMEL	1.03884020970236	0.754800578856564	-0.45563938039795	0.0028594122319301	0.00279776179056755	-6.16504413625571e-05
ERBB3	1.24660825164283	1.41525108535606	0.181681141283387	0.00381254964257347	0.00499600319744205	0.00118345355486857
LUM	1.19466624115772	6.93473031824468	2.52728517583559	0.00333598093725179	0.0229816147082334	0.0196456337709816
DCN	0.519420104851181	1.13220086828485	1.10933149875877	0.0011119936457506	0.00259792166266986	0.00148592801691927
TMEM119	0	0	0	0	0	0
FLT1	129.647258170855	87.4625170750043	-0.567801256077794	0.108181096108022	0.111910471622702	0.0037293755146796
POU4F1	1.1427242306726	2.26440173656969	0.980439691225851	0.00270055599682288	0.00719424460431655	0.00449368860749367
CLDN10	0.934956188732126	18.068038856379	4.25784692661759	0.0028594122319301	0.0447641886490807	0.0419047764171506
COL4A1	19.4263119214342	4.90620376256767	-1.98313787303988	0.0254169976171565	0.0145883293365308	-0.0108286682806257
COL4A2	34.3856109411482	13.8222856003108	-1.31418491902345	0.0516282764098491	0.039568345323741	-0.0120599310861081
NRL	204.703463321851	967.984567347365	2.24139296399636	0.387926926131851	0.838129496402878	0.450202570271027
LGALS3	65.1872231588232	11.4635337913841	-2.50650071666175	0.0741858617950755	0.0353717026378897	-0.0388141591571858
