cell_type	markers_found	sample1_ge2	sample2_ge2	sample1_fraction_ge2	sample2_fraction_ge2	sample2_over_sample1_ge2_ratio	sample1_ge3	sample2_ge3	sample1_fraction_ge3	sample2_fraction_ge3	sample2_over_sample1_ge3_ratio	fisher_p_ge2	fisher_p_ge3
astrocyte	6	276	334	0.0438443208895949	0.0667466027178257	1.52235458006931	89	205	0.0141382049245433	0.0409672262190248	2.89762571944405	1.17416432323075e-07	6.80059269665639e-19
microglial cell	7	0	4	0	0.000799360511590727	799360511.590727	0	0	0	0	0	0.0384431489514553	1
RPE cell	9	858	1070	0.136298649722002	0.21382893685052	1.56882652385098	185	219	0.0293884034948372	0.0437649880095923	1.48919242978924	2.30801733404348e-27	5.33188191493141e-05
cone cell	9	1475	1818	0.234312946783161	0.363309352517986	1.55053042311251	405	500	0.0643367752184273	0.0999200639488409	1.55307852481031	1.64467898692873e-50	6.74532859428095e-12
rod cell	10	4965	4893	0.788721207307387	0.977817745803357	1.2397507975477	4431	4680	0.703891977760127	0.935251798561151	1.32868654297768	6.57341484089718e-234	1.16351750840408e-231
horizontal cell	3	184	35	0.0292295472597299	0.00699440447641886	0.239292261834513	78	0	0.0123907863383638	0	0	4.3859947825432e-19	1.30907187907193e-20
bipolar cell	7	1391	1443	0.220969023034154	0.288369304556355	1.30502140343209	737	611	0.117077045274027	0.122102318145484	1.04292278523644	2.85332676024725e-16	0.413529672070394
RGC	8	304	541	0.0482922954725973	0.108113509192646	2.23873204063688	158	203	0.025099285146942	0.0405675459632294	1.61628292296427	6.0086609426168e-33	4.30238224344975e-06
T cells	9	0	0	0	0	0	0	0	0	0	0	1	1
macrophage	7	22	9	0.00349483717235902	0.00179856115107914	0.514633747400161	1	1	0.000158856235107228	0.000199840127897682	1.25799359719684	0.10341437479249	1
Schwann cell	7	11	22	0.00174741858617951	0.004396482813749	2.51598720879198	0	1	0	0.000199840127897682	199840127.897682	0.0129340848344182	0.442871050535446
Pericyte	9	268	153	0.0425734710087371	0.0305755395683453	0.718182916336615	98	37	0.0155679110405083	0.00739408473221423	0.474956769247946	0.00079775050986484	5.47930295144922e-05
B cell	9	8	13	0.00127084988085782	0.00259792166266986	2.04423960670479	0	0	0	0	0	0.124703790354374	1
fibroblast	10	21	75	0.00333598093725179	0.0149880095923261	4.4928343026386	1	8	0.000158856235107228	0.00159872102318145	10.0639487775747	1.41647989937372e-11	0.0132133362773811
endothelial cell	10	243	341	0.0386020651310564	0.0681454836131095	1.76533258984943	14	40	0.00222398729150119	0.00799360511590727	3.59426744157217	2.35756537919485e-12	1.21058594657495e-05
muller glia cell	9	887	821	0.140905480540111	0.164068745003997	1.16438866943949	595	477	0.0945194598888006	0.0953237410071942	1.00850915904864	0.000711529532815944	0.897168159108735
