cell_type	markers_requested	markers_found	markers_found_list	sample1_confident_cells	sample1_confident_fraction	sample2_confident_cells	sample2_confident_fraction	sample2_over_sample1_fraction	sample1_mean_score	sample2_mean_score	sample1_mean_norm_marker_counts	sample2_mean_norm_marker_counts	sample1_best_label_cells	sample2_best_label_cells	sample1_best_label_fraction	sample2_best_label_fraction	best_fraction_ratio
astrocyte	6	6	ALDH1L1;SLC1A3;GJA1;CLDN10;GFAP;AQP4	0	0	0	0	NA	0.123263501069683	0.155057053862556	1.20248322662841	1.49308991872211	0	0	0	0	0
microglial cell	9	9	C1QA;C1QC;C1QB;CX3CR1;P2RY12;LST1;AIF1;TMEM119;TYROBP	0	0	0	0	NA	0.0177410977705858	0.0191345412955906	0.142553801045964	0.137522477307183	0	0	0	0	0
RPE cell	10	10	RPE65;MERTK;MITF;LRAT;ELOVL4;BEST1;RDH5;PMEL;RLBP1;SERPINF1	0	0	0	0	NA	0.330167289637064	0.478213239190803	3.78867632181281	5.58291262379455	0	0	0	0	0
cone cell	10	10	GNAT2;RXRG;THRB;OPN1SW;PDE6C;GNB3;CABP5;ARR3;OPN1LW;OPN1MW	0	0	0	0	NA	0.606479292239595	0.840599659729927	8.29937640771386	11.4697143062582	0	0	0	0	0
rod cell	10	10	SAG;GNAT1;RHO;PDE6B;PDE6A;GNGT1;ROM1;NRL;NR2E3;CNGB1	559	0.0888006354249404	1788	0.357314148681055	4.02377918774104	2.28464027287069	3.16966299579979	84.5662476071399	167.310108088455	935	2343	0.148530579825258	0.468225419664269	3.1523839751728
horizontal cell	7	7	PROX1;GAD1;CALB1;GAD2;ONECUT1;LHX1;VSX1	0	0	0	0	NA	0.202748202097889	0.211385293389549	1.84448058601333	1.80802215434207	0	0	0	0	0
bipolar cell	10	10	LRIT3;ISL1;GRM6;OTX2;VSX2;TRPM1;GPR179;PRKCA;CABP5;PCP4	2	0.000317712470214456	1	0.000199840127897682	0.628996802557954	0.796045530227784	1.07868499757663	14.05598178207	16.852098187214	5	1	0.00079428117553614	0.000199840127897682	0.251598721023181
RGC	10	10	SRGAP2;POU4F2;ISL1;NEFM;NEFL;RBPMS;SNCG;THY1;POU4F1;ELAVL3	0	0	0	0	NA	0.186158362593868	0.284457071544805	2.13400521949753	3.2827101677414	0	1	0	0.000199840127897682	899999925533.672
T cells	9	9	CD247;IL7R;LTB;TRBC1;TRBC2;MALAT1;CD3E;CD3D;CD3G	135	0.0214455917394758	66	0.013189448441247	0.615019095834443	3.85092962972735	4.10358926543667	397.76134711859	501.047355873014	5355	2657	0.850675138999206	0.530975219824141	0.624180954022963
macrophage	10	10	CTSS;FCER1G;CSTA;LST1;MS4A7;CD163;LGALS3;CD68;TYROBP;LILRB1	0	0	0	0	NA	0.0507775696615798	0.0287308512096722	0.534631419314212	0.244519835002709	0	0	0	0	0
Schwann cell	9	9	MPZ;NCAM1;ERBB3;PMP22;GFAP;MAG;S100B;SOX10;PLP1	0	0	0	0	NA	0.616583634855123	0.49311277204976	8.40317707697578	5.51623639606157	0	0	0	0	0
Pericyte	10	10	RGS5;DES;PDGFRB;MCAM;KCNJ8;ABCC9;COL4A1;COL4A2;CSPG4;NOTCH3	0	0	0	0	NA	0.0654083882155093	0.0431805293435331	0.679824904897336	0.353514637028789	0	0	0	0	0
B cell	9	9	CD74;CD83;HLA-DRA;MS4A1;CD19;CD79B;CD22;CD79A;CD37	0	0	0	0	NA	0.0119781870287837	0.0208172627178686	0.100077875165659	0.147190889657326	0	0	0	0	0
fibroblast	10	10	COL3A1;PDGFRA;C7;COL1A2;LUM;DCN;COL1A1;COL6A1;COL6A2;FBLN1	0	0	0	0	NA	0.0177173150488492	0.0315113277827167	0.157889234447759	0.255049086239935	0	0	0	0	0
endothelial cell	10	10	KDR;EMCN;ENG;ESAM;VWF;FLT1;RAMP2;CA4;PECAM1;PLVAP	0	0	0	0	NA	0.0908664410365992	0.110479881228627	1.12756062426019	1.30417563163516	0	0	0	0	0
muller glia cell	10	10	KCNJ10;GLUL;CLDN11;SLC1A3;VIM;DIO2;RLBP1;SOX9;AQP4;RAX	0	0	1	0.000199840127897682	NA	0.321681014276823	0.390770459280747	5.07479258780672	8.56160271339311	0	2	0	0.000399680255795364	1799999851067.34
