                                 Started job on |	Aug 13 01:02:11
                             Started mapping on |	Aug 13 01:43:52
                                    Finished on |	Aug 13 01:44:08
       Mapping speed, Million of reads per hour |	44.81

                          Number of input reads |	199140
                      Average input read length |	107
                                    UNIQUE READS:
                   Uniquely mapped reads number |	171098
                        Uniquely mapped reads % |	85.92%
                          Average mapped length |	106.41
                       Number of splices: Total |	71565
            Number of splices: Annotated (sjdb) |	70722
                       Number of splices: GT/AG |	70976
                       Number of splices: GC/AG |	453
                       Number of splices: AT/AC |	33
               Number of splices: Non-canonical |	103
                      Mismatch rate per base, % |	0.40%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.74
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.31
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	25044
             % of reads mapped to multiple loci |	12.58%
        Number of reads mapped to too many loci |	64
             % of reads mapped to too many loci |	0.03%
                                  UNMAPPED READS:
  Number of reads unmapped: too many mismatches |	0
       % of reads unmapped: too many mismatches |	0.00%
            Number of reads unmapped: too short |	2928
                 % of reads unmapped: too short |	1.47%
                Number of reads unmapped: other |	6
                     % of reads unmapped: other |	0.00%
                                  CHIMERIC READS:
                       Number of chimeric reads |	0
                            % of chimeric reads |	0.00%
