ISOFORM_USAGE_DIAGNOSTIC
sampleA_targets	670670
sampleB_targets	670670
sampleA_parsed_gencode_targets	670670
sampleB_parsed_gencode_targets	670670
sampleA_total_estimated_assigned_fragments	187393.005
sampleB_total_estimated_assigned_fragments	186308.006
genes_compared	10726
eligible_genes_counts_ge_50_supported_isoforms_ge_2	475

RANKED_GENES
rank	gene_symbol	gene_id	A_counts	B_counts	A_TPM	B_TPM	supported_isoforms	annotated_isoforms	max_abs_dIF_counts	max_abs_dIF_TPM	JS_counts	JS_TPM
1	PCNA	ENSG00000132646.13	55.000	51.000	296.654	272.795	3	16	0.999856	0.999854	0.998970	0.998958
2	SASH3	ENSG00000122122.11	64.000	66.000	227.805	155.913	2	5	0.999799	0.999794	0.999994	0.999996
3	EIF3D	ENSG00000100353.20	53.000	56.000	181.002	193.751	2	47	0.999725	0.999722	0.998175	0.998156
4	RAC2	ENSG00000128340.18	96.000	99.000	495.737	446.001	2	18	0.999537	0.999530	0.997126	0.997133
5	WDFY4	ENSG00000128815.22	88.000	69.000	51.723	96.108	2	8	0.993612	0.993653	0.999863	0.999938
6	NCOA3	ENSG00000124151.21	78.000	89.000	58.643	66.659	3	29	0.988968	0.989021	1.000000	1.000000
7	MSN	ENSG00000147065.20	219.000	216.000	335.091	334.020	3	28	0.951519	0.951067	0.856969	0.855975
8	RAD21	ENSG00000164754.18	63.000	60.000	103.868	111.100	3	43	0.939027	0.967131	0.999748	0.999740
9	STARD7	ENSG00000084090.16	60.984	64.000	111.826	125.978	2	22	0.948920	0.927479	0.881863	0.882308
10	CD48	ENSG00000117091.12	119.000	117.001	783.306	777.112	3	12	0.937853	0.921671	0.999588	0.999600
11	SEL1L	ENSG00000071537.16	61.000	66.000	60.029	68.569	4	31	0.944842	0.900164	1.000000	1.000000
12	EIF3A	ENSG00000107581.16	96.000	126.000	106.234	139.394	3	23	0.888085	0.908323	0.996615	0.997243
13	PPP2R1A	ENSG00000105568.21	51.000	57.000	171.291	170.391	4	50	0.940242	0.874025	1.000000	1.000000
14	RPL7A	ENSG00000148303.19	280.134	176.902	2258.679	1556.559	4	66	0.841276	0.847884	0.627144	0.636740
15	AFF1	ENSG00000172493.25	54.000	59.000	68.415	44.808	2	36	0.966097	0.826916	0.964547	0.861372
16	POLR2B	ENSG00000047315.18	57.724	64.000	143.891	124.156	2	13	0.982474	0.814153	0.976602	0.821300
17	MYH9	ENSG00000100345.25	232.000	259.000	220.625	236.015	5	54	0.919705	0.809423	0.954423	0.960241
18	HMGA1	ENSG00000137309.23	85.000	67.000	348.857	271.316	4	83	0.915804	0.808618	0.930701	0.809104
19	DDX17	ENSG00000100201.24	54.000	67.000	103.538	96.139	3	11	0.906174	0.805183	0.885856	0.804662
20	ARF1	ENSG00000143761.19	57.000	57.000	224.978	260.876	2	49	0.885350	0.785429	0.985319	0.987136
21	TUBA1B	ENSG00000123416.17	239.033	257.204	1005.301	1047.258	2	23	0.779474	0.780495	0.540805	0.547581
22	SMAP2	ENSG00000084070.14	51.000	54.000	112.411	136.993	3	21	0.807034	0.776254	0.730514	0.705211
23	NUP210	ENSG00000132182.15	68.000	62.000	63.743	53.326	3	32	0.867848	0.766988	0.736336	0.749235
24	SRSF2	ENSG00000161547.19	55.283	53.182	209.629	184.456	3	20	0.769613	0.764084	0.864161	0.911515
25	DDX6	ENSG00000110367.16	64.000	72.000	67.808	81.828	3	49	0.877975	0.757741	0.994037	0.994549
26	CCT8	ENSG00000156261.15	65.409	54.841	230.471	182.891	5	38	0.754970	0.739275	0.768686	0.757299
27	SNRNP200	ENSG00000144028.17	83.000	85.000	87.123	92.657	4	16	0.882846	0.737589	0.906716	0.797477
28	MTHFD1	ENSG00000100714.20	50.868	53.000	153.141	123.157	2	73	0.865508	0.723537	0.995613	0.995085
29	PTBP3	ENSG00000119314.19	52.000	56.000	45.649	61.220	3	32	0.934014	0.722137	0.997247	0.997754
30	GNB1	ENSG00000078369.21	72.000	87.000	191.687	215.917	3	135	0.833447	0.716612	0.944905	0.784387

TOP_GENE_TRANSCRIPTS
gene_symbol	gene_id	transcript_id	transcript_name	A_counts	B_counts	A_isoform_fraction_TPM	B_isoform_fraction_TPM	abs_dIF_TPM
PCNA	ENSG00000132646.13	ENST00000379143.10	PCNA-201	54.993	0.001	0.999876	0.000021	0.999854
PCNA	ENSG00000132646.13	ENST00000875657.1	PCNA-204	0.007	33.599	0.000124	0.671976	0.671852
