model	sampleID	subtype	all_cells	dendritic_cells	dendritic_fraction
Human_Lung_Atlas_v2	Patient_005	LUAD	1454	550	0.3782668500687758
Human_Lung_Atlas_v2	Patient_006	LUAD	3055	14	0.004582651391162029
Human_Lung_Atlas_v2	Patient_007	LUAD	529	104	0.19659735349716445
Human_Lung_Atlas_v2	Patient_018	LUSC	1481	176	0.1188386225523295
Human_Lung_Atlas_v2	Patient_040	LUSC	4567	41	0.008977446901686009
Cells_Lung_Airway_v4	Patient_005	LUAD	1454	323	0.2221458046767538
Cells_Lung_Airway_v4	Patient_006	LUAD	3055	12	0.003927986906710311
Cells_Lung_Airway_v4	Patient_007	LUAD	529	64	0.12098298676748583
Cells_Lung_Airway_v4	Patient_018	LUSC	1481	125	0.08440243079000675
Cells_Lung_Airway_v4	Patient_040	LUSC	4567	10	0.0021896211955331727
