sampleID	panel	mean_cptt	detected_cell_fraction	present_genes	missing_genes
Patient_001	leukocyte	3.5222207912458936	0.7100371747211895	PTPRC	
Patient_001	t_nk	13.867947071613584	0.2908921933085502	CD3D,CD3E,TRAC,NKG7,GNLY	
Patient_001	b_cell	75.79885339099151	0.9684014869888475	MS4A1,CD79A,CD37,CD74,CD79B	
Patient_001	myeloid	64.83653546647035	0.8884758364312267	LST1,TYROBP,FCER1G,AIF1,CTSS	
Patient_001	dendritic	1.1000576469834966	0.26394052044609667	FCER1A,CD1C,CLEC10A,CD1A	
Patient_001	dendritic_hla	149.72671051096123	0.9600371747211895	HLA-DRA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1	
Patient_001	macrophage	95.19928943399911	0.8066914498141264	C1QA,C1QB,C1QC,APOE,MARCO	
Patient_001	mast	46.19741191510841	0.21468401486988847	TPSAB1,TPSB2,KIT,MS4A2	
Patient_001	granulocyte	32.59904859004492	0.7156133828996283	FCGR3B,CSF3R,S100A8,S100A9,MNDA	
Patient_001	epithelial	3.6245769689250027	0.17843866171003717	EPCAM,KRT8,KRT18,KRT19	
Patient_001	basal	0.3205362653297229	0.02973977695167286	KRT5,KRT14,KRT17,TP63,KRT15	
Patient_001	squamous_tumor	0.44357955713276565	0.05762081784386617	KRT6A,KRT13,SFN,CLCA2,SERPINB3,SERPINB4	
Patient_001	alveolar_at2	15.060487485566414	0.21561338289962825	SFTPA1,SFTPA2,SFTPB,SFTPC,NAPSA,ABCA3	
Patient_001	luad_tumor	1.500070946051593	0.09479553903345725	NKX2-1,NAPSA,CEACAM6,MUC1,MSLN	
Patient_001	endothelial	1.540008530626333	0.525092936802974	PECAM1,VWF,EMCN,KDR,ENG	
Patient_001	fibroblast	6.696767451532637	0.1421933085501859	COL1A1,COL1A2,COL3A1,DCN,COL6A1	
Patient_002	leukocyte	6.270264017528237	0.7561229807191245	PTPRC	
Patient_002	t_nk	27.782115049137754	0.7665450755601876	CD3D,CD3E,TRAC,NKG7,GNLY	
Patient_002	b_cell	48.50833740450953	0.9455445544554455	MS4A1,CD79A,CD37,CD74,CD79B	
Patient_002	myeloid	21.875142581033725	0.6393955184992184	LST1,TYROBP,FCER1G,AIF1,CTSS	
Patient_002	dendritic	1.139605858771128	0.14721208963001564	FCER1A,CD1C,CLEC10A,CD1A	
Patient_002	dendritic_hla	68.91877538889682	0.9171443460135488	HLA-DRA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1	
Patient_002	macrophage	29.307723232244168	0.48853569567483063	C1QA,C1QB,C1QC,APOE,MARCO	
Patient_002	mast	23.120693329881632	0.15893694632621158	TPSAB1,TPSB2,KIT,MS4A2	
Patient_002	granulocyte	10.92500142349803	0.32100052110474203	FCGR3B,CSF3R,S100A8,S100A9,MNDA	
Patient_002	epithelial	2.0183980241511428	0.1122980719124544	EPCAM,KRT8,KRT18,KRT19	
Patient_002	basal	0.8100897710782295	0.03908285565398645	KRT5,KRT14,KRT17,TP63,KRT15	
Patient_002	squamous_tumor	0.21873602221219346	0.031266284523189164	KRT6A,KRT13,SFN,CLCA2,SERPINB3,SERPINB4	
Patient_002	alveolar_at2	17.408137361477348	0.34966128191766543	SFTPA1,SFTPA2,SFTPB,SFTPC,NAPSA,ABCA3	
Patient_002	luad_tumor	2.055792009463027	0.10526315789473684	NKX2-1,NAPSA,CEACAM6,MUC1,MSLN	
Patient_002	endothelial	0.5869408937665981	0.18603439291297552	PECAM1,VWF,EMCN,KDR,ENG	
Patient_002	fibroblast	1.0231515578508166	0.03621677957269411	COL1A1,COL1A2,COL3A1,DCN,COL6A1	
Patient_003	leukocyte	6.654037440707166	0.8028681506849316	PTPRC	
Patient_003	t_nk	61.63512119266014	0.9139554794520548	CD3D,CD3E,TRAC,NKG7,GNLY	
