metric	value
model_details	integrated Human Lung Cell Atlas (HLCA) combining multiple datasets of the healthy respiratory system
model_version	v2
model_cell_types	61
model_features	5017
query_features_matched	4496
query_cells	164616
label::AT0	1539 cells; mean_max_probability=0.463438
label::AT1	727 cells; mean_max_probability=0.496931
label::AT2	7173 cells; mean_max_probability=0.575081
label::AT2 proliferating	1110 cells; mean_max_probability=0.482954
label::Adventitial fibroblasts	1102 cells; mean_max_probability=0.408258
label::Alveolar Mph CCL3+	272 cells; mean_max_probability=0.608705
label::Alveolar Mph MT-positive	4 cells; mean_max_probability=0.453137
label::Alveolar Mph proliferating	285 cells; mean_max_probability=0.669253
label::Alveolar fibroblasts	130 cells; mean_max_probability=0.695285
label::Alveolar macrophages	5752 cells; mean_max_probability=0.769764
label::B cells	6824 cells; mean_max_probability=0.986907
label::Basal resting	5586 cells; mean_max_probability=0.5073
label::CD4 T cells	29825 cells; mean_max_probability=0.954904
label::CD8 T cells	32092 cells; mean_max_probability=0.919209
label::Classical monocytes	3815 cells; mean_max_probability=0.796019
label::Club (nasal)	1256 cells; mean_max_probability=0.202513
label::Club (non-nasal)	76 cells; mean_max_probability=0.600744
label::DC1	667 cells; mean_max_probability=0.836
label::DC2	11194 cells; mean_max_probability=0.802964
label::Deuterosomal	16 cells; mean_max_probability=0.605211
label::EC aerocyte capillary	161 cells; mean_max_probability=0.956956
label::EC arterial	192 cells; mean_max_probability=0.683368
label::EC general capillary	752 cells; mean_max_probability=0.465686
label::EC venous pulmonary	60 cells; mean_max_probability=0.574999
label::EC venous systemic	425 cells; mean_max_probability=0.764052
label::Goblet (bronchial)	35 cells; mean_max_probability=0.135149
label::Goblet (nasal)	670 cells; mean_max_probability=0.30845
label::Goblet (subsegmental)	4 cells; mean_max_probability=0.174356
label::Hematopoietic stem cells	3 cells; mean_max_probability=0.017488
label::Hillock-like	12084 cells; mean_max_probability=0.650113
label::Interstitial Mph perivascular	1607 cells; mean_max_probability=0.641433
label::Ionocyte	16 cells; mean_max_probability=0.463369
label::Lymphatic EC differentiating	4 cells; mean_max_probability=0.223816
label::Lymphatic EC mature	71 cells; mean_max_probability=0.816848
label::Lymphatic EC proliferating	1 cells; mean_max_probability=0.147685
label::Mast cells	2316 cells; mean_max_probability=0.987507
label::Mesothelium	4 cells; mean_max_probability=0.821693
label::Migratory DCs	389 cells; mean_max_probability=0.917144
label::Monocyte-derived Mph	12523 cells; mean_max_probability=0.695678
label::Multiciliated (nasal)	14 cells; mean_max_probability=0.154734
label::Multiciliated (non-nasal)	1332 cells; mean_max_probability=0.708813
label::Myofibroblasts	10 cells; mean_max_probability=0.374637
label::NK cells	4079 cells; mean_max_probability=0.913014
label::Neuroendocrine	1 cells; mean_max_probability=0.896845
label::Non-classical monocytes	1104 cells; mean_max_probability=0.783766
label::Peribronchial fibroblasts	1838 cells; mean_max_probability=0.670463
label::Pericytes	128 cells; mean_max_probability=0.524963
label::Plasma cells	4330 cells; mean_max_probability=0.935358
label::Plasmacytoid DCs	1029 cells; mean_max_probability=0.933592
label::SM activated stress response	6 cells; mean_max_probability=0.0435765
label::SMG duct	309 cells; mean_max_probability=0.162623
label::SMG serous (bronchial)	1 cells; mean_max_probability=0.255339
label::SMG serous (nasal)	3 cells; mean_max_probability=0.262739
label::Smooth muscle	303 cells; mean_max_probability=0.461674
label::Suprabasal	3738 cells; mean_max_probability=0.307237
label::T cells proliferating	1602 cells; mean_max_probability=0.805363
label::Tuft	436 cells; mean_max_probability=0.308229
label::pre-TB secretory	3591 cells; mean_max_probability=0.55068
