sampleID	n_cells	mean_total_counts	squamous_to_luad_score_ratio	dendritic_marker_detected_fraction	dendritic_mean_cptt
Patient_001	1076	8336.860594795538	0.04619423084129557	0.26394052044609667	1.1000576469834966
Patient_002	3838	4508.511724856696	0.052870751349839554	0.14721208963001564	1.139605858771128
Patient_003	4672	4625.976455479452	0.17606444316285288	0.11408390410958905	0.8345772881291225
Patient_004	4060	3834.8014778325123	0.12551416360773646	0.08768472906403942	0.6248709679116079
Patient_005	1454	10229.563273727648	0.020208673700319216	0.6210453920220083	5.469207393146274
Patient_006	3055	2692.2834697217677	0.014382425590565353	0.019639934533551555	0.12852929637973734
Patient_007	529	8316.198487712665	0.011720400350371207	0.31379962192816635	1.8961869350630554
Patient_008	3995	4536.1386733416775	0.07539563978868886	0.08735919899874843	0.554904498912988
Patient_009	277	4722.830324909747	0.030077621565619925	0.2563176895306859	2.2974706407755705
Patient_010	1653	4516.274047186933	1.2923372336983976	0.09679370840895342	0.8108853318253441
Patient_011	4022	4629.3361511685725	0.2475465430974415	0.174042764793635	1.5795381733715992
Patient_012	1889	6574.635256749603	0.02894304948511173	0.20328215987294865	1.0217382492230829
Patient_013	3732	8758.547427652733	59.974719363804	0.04903536977491962	0.3033111304960526
Patient_014	2442	8605.584357084357	5.1156589277508155	0.1466011466011466	0.8406373135563309
Patient_015	2219	5508.464173050924	2.671689473849464	0.14240648940964398	1.3452164546908352
Patient_016	2454	3742.392420537897	0.017982037109622883	0.029339853300733496	0.2568347990622164
Patient_017	5154	11203.53647652309	0.004579910639863879	0.17500970120294917	1.0397878016080235
Patient_018	1481	8525.262660364619	3.0325418857019724	0.1350438892640108	1.2113445653588175
Patient_019	2385	5218.66498951782	0.011890670359274482	0.23857442348008387	5.715254956601587
Patient_020	2282	10559.297107800176	0.2529573282792853	0.22436459246275198	1.6584627455050895
Patient_021	4938	8594.781287970838	0.009147312513117277	0.08221952207371405	0.8329706358451944
Patient_022	2545	12098.239685658153	0.046931706740153074	0.1100196463654224	0.49901800341872893
Patient_023	424	10168.665094339623	0.06118935893358337	0.15330188679245282	2.1222591784001157
Patient_024	344	3099.9941860465115	0.009239130635545913	0.06976744186046512	1.1292517684347763
Patient_025	1995	3806.8571428571427	0.020505673973035425	0.12631578947368421	1.1641539218533248
Patient_026	2962	4322.54490209318	1.4013562105245263	0.07326130992572587	0.49015097818202047
Patient_027	2788	4376.584648493544	1.3949425414053944	0.0778335724533716	0.5348603479697516
Patient_028	4146	4275.358176555716	1.2726601709288605	0.06246985045827303	0.37316202917804486
Patient_029	4579	3649.891242629395	6473.600954768737	0.0021838829438742082	0.03954356277168483
Patient_030	4744	4282.430860033727	8072.503711892676	0.0027403035413153458	0.03533366122982076
Patient_031	4802	4433.23198667222	6257.765181423133	0.003540191586838817	0.05013100602210081
Patient_032	604	2687.0529801324506	0.00669637694289637	0.04470198675496689	0.5496689109892651
Patient_033	594	2583.3047138047136	0.007694100339006625	0.050505050505050504	0.606521548382464
Patient_034	600	2658.735	0.00823694486748231	0.055	0.6010186983127602
Patient_035	599	2662.9849749582636	0.007654830695442003	0.05008347245409015	0.5892498386928331
Patient_036	2635	3394.078937381404	0.0372792007432944	0.13206831119544593	0.9736007964591871
Patient_037	2610	3360.426053639847	0.035377381573553475	0.1310344827586207	0.9603446695629354
Patient_038	2539	3324.2008664828672	0.036478869877203474	0.13666797951949586	1.0354130087308069
Patient_039	2569	3334.6730245231606	0.03412828530381474	0.1339042428960685	0.9822624084822544
Patient_040	4567	3586.346617035253	6283.150523179193	0.0019706590759798557	0.018736168680779194
Patient_041	2723	4800.141020932795	0.016093211955233024	0.1626882115313992	1.3932698511921107
Patient_042	1738	1860.7025316455697	0.01673410887894817	0.08400460299194476	0.9676343068405727
Patient_043	2696	4722.329005934718	0.016235780801478656	0.15652818991097922	1.390359638953576
Patient_044	2803	5155.221548341063	0.016462947711644166	0.15661790938280415	1.3504514415495206
Patient_045	3235	3185.4281298299848	8.745902488939718	0.03647604327666151	0.2270697745397377
Patient_046	3120	3157.180448717949	9.339698037585965	0.04423076923076923	0.2609307767960193
Patient_047	3429	3306.567804024497	8.878929000389935	0.03849518810148731	0.23000176574320128
Patient_048	3596	3543.513070077864	8.463767095711425	0.04087875417130145	0.2211603256231513
Patient_049	279	4906.587813620072	0.0045237403472123735	0.05734767025089606	0.5685148471904712
Patient_050	2632	4014.6911094224924	0.045217868067717215	0.10524316109422492	1.1995801526315653
Patient_051	3974	6282.976849521892	0.059771535674951345	0.06039255158530448	0.5383178204557925
Patient_052	3088	7290.3465025906735	0.06969433551970301	0.07707253886010362	0.4735844241412424
Patient_053	3760	6051.259840425532	0.036539771117599096	0.06489361702127659	0.24566071318990731
Patient_054	2732	4044.0128111273793	0.24945063163040176	0.02562225475841874	0.13455441075618318
Patient_055	4154	3888.130476649013	0.18539756643985605	0.02455464612421762	0.13064403593215837
Patient_056	4402	5570.448886869604	0.16234116778298913	0.02044525215810995	0.11040277513125057
Patient_057	1389	7733.809215262779	0.024529410850951814	0.08351331893448524	0.6353351939007695
Patient_058	1186	9330.184654300168	0.02902366274256999	0.06323777403035413	0.4133501528878403
Patient_059	573	7515.465968586387	0.018762902488923594	0.05759162303664921	0.4141500242728801
Patient_060	1937	11011.700567888487	0.5974402487451169	0.11719153329891585	0.35752992966896424
Patient_061	2952	7207.544715447155	0.02891860575139121	0.10907859078590786	0.335393558617083
Patient_062	1125	5494.36	0.5409848614485733	0.03111111111111111	0.10277777177178768
Patient_063	360	5907.580555555555	1.2156849048998284	0.09166666666666666	0.9365125567157275
Patient_064	334	6486.646706586826	19.06797804554591	0.11077844311377245	1.0568729521656497
Patient_065	558	5272.209677419355	0.4749946475533891	0.0967741935483871	0.7413013932654261
Patient_066	525	5881.152380952381	0.6279503549643424	0.07047619047619047	0.49215986900121217
Patient_067	1063	5596.56632173095	0.07469155923621085	0.10442144873000941	1.7797729679289758
