kind	sample	cell_type	gene	metric	value
matrix	individual_1	ALL	ALL	n_cells	6295
matrix	individual_1	ALL	ALL	n_genes	36601
matrix	individual_1	ALL	ALL	nnz	9246637
matrix	individual_1	ALL	ALL	mean_library	3058.3382
gene	individual_1	astrocyte	GFAP	positive_fraction	0.033200953
gene	individual_1	astrocyte	GFAP	total_counts	433
gene	individual_1	astrocyte	ALDH1L1	positive_fraction	0.013026211
gene	individual_1	astrocyte	ALDH1L1	total_counts	99
gene	individual_1	astrocyte	SLC1A2	positive_fraction	0.44273233
gene	individual_1	astrocyte	SLC1A2	total_counts	5834
gene	individual_1	astrocyte	AQP4	positive_fraction	0.028911835
gene	individual_1	astrocyte	AQP4	total_counts	271
gene	individual_1	astrocyte	GJA1	positive_fraction	0
gene	individual_1	astrocyte	GJA1	total_counts	0
gene	individual_1	astrocyte	S100B	positive_fraction	0.0088959492
gene	individual_1	astrocyte	S100B	total_counts	62
panel	individual_1	astrocyte	ALL	positive_1_fraction	0.48308181
panel	individual_1	astrocyte	ALL	positive_1_cells	3041
panel	individual_1	astrocyte	ALL	positive_2_fraction	0.035583797
panel	individual_1	astrocyte	ALL	positive_2_cells	224
panel	individual_1	astrocyte	ALL	positive_3_fraction	0.0068308181
panel	individual_1	astrocyte	ALL	positive_3_cells	43
panel	individual_1	astrocyte	ALL	normscore_ge_1_fraction	0.47529786
panel	individual_1	astrocyte	ALL	normscore_ge_5_fraction	0.30913423
panel	individual_1	astrocyte	ALL	normscore_ge_10_fraction	0.13391581
panel	individual_1	astrocyte	ALL	mean_normscore	4.1029618
gene	individual_1	microglial cell	P2RY12	positive_fraction	0.035107228
gene	individual_1	microglial cell	P2RY12	total_counts	283
gene	individual_1	microglial cell	TMEM119	positive_fraction	0
gene	individual_1	microglial cell	TMEM119	total_counts	0
gene	individual_1	microglial cell	CX3CR1	positive_fraction	0
gene	individual_1	microglial cell	CX3CR1	total_counts	0
gene	individual_1	microglial cell	SALL1	positive_fraction	0.0090548054
gene	individual_1	microglial cell	SALL1	total_counts	64
gene	individual_1	microglial cell	C1QA	positive_fraction	0.0020651311
gene	individual_1	microglial cell	C1QA	total_counts	13
gene	individual_1	microglial cell	C1QB	positive_fraction	0.0049245433
gene	individual_1	microglial cell	C1QB	total_counts	33
gene	individual_1	microglial cell	C1QC	positive_fraction	0.00079428118
gene	individual_1	microglial cell	C1QC	total_counts	5
panel	individual_1	microglial cell	ALL	positive_1_fraction	0.051787133
panel	individual_1	microglial cell	ALL	positive_1_cells	326
panel	individual_1	microglial cell	ALL	positive_2_fraction	0.00015885624
panel	individual_1	microglial cell	ALL	positive_2_cells	1
panel	individual_1	microglial cell	ALL	positive_3_fraction	0
panel	individual_1	microglial cell	ALL	positive_3_cells	0
panel	individual_1	microglial cell	ALL	normscore_ge_1_fraction	0.04432089
panel	individual_1	microglial cell	ALL	normscore_ge_5_fraction	0.0074662431
panel	individual_1	microglial cell	ALL	normscore_ge_10_fraction	0.0023828435
panel	individual_1	microglial cell	ALL	mean_normscore	0.16780941
gene	individual_1	RPE cell	RPE65	positive_fraction	0.016203336
gene	individual_1	RPE cell	RPE65	total_counts	114
gene	individual_1	RPE cell	BEST1	positive_fraction	0.016521048
gene	individual_1	RPE cell	BEST1	total_counts	110
gene	individual_1	RPE cell	RGR	positive_fraction	0.11453535
gene	individual_1	RPE cell	RGR	total_counts	2333
gene	individual_1	RPE cell	RDH5	positive_fraction	0.04892772
gene	individual_1	RPE cell	RDH5	total_counts	332
gene	individual_1	RPE cell	TTR	positive_fraction	0.072915012
gene	individual_1	RPE cell	TTR	total_counts	589
gene	individual_1	RPE cell	RLBP1	positive_fraction	0.099444003
gene	individual_1	RPE cell	RLBP1	total_counts	1795
