cell_type	metric	individual_1	individual_2	fold_2_over_1	log2_fold
astrocyte	positive_1_fraction	0.48308181	0.73721023	1.5259702	0.6097268
astrocyte	positive_2_fraction	0.035583797	0.04736211	1.3302649	0.41171361
astrocyte	positive_3_fraction	0.0068308181	0.0083932854	1.2261088	0.29408697
astrocyte	normscore_ge_10_fraction	0.13391581	0.21602718	1.6127932	0.68956146
astrocyte	mean_normscore	4.1029618	6.0396613	1.4720247	0.55780192
astrocyte	median_marker_gene_positive_log2_fold	NA	NA	1.392917	0.47810934
microglial cell	positive_1_fraction	0.051787133	0.057354117	1.1073328	0.1470889
microglial cell	positive_2_fraction	0.00015885624	0.00059952038	2.8493205	1.5106179
microglial cell	positive_3_fraction	0	0	1	0
microglial cell	normscore_ge_10_fraction	0.0023828435	0.00019984013	0.11341894	-3.1402665
microglial cell	mean_normscore	0.16780941	0.13581813	0.80935945	-0.30514752
microglial cell	median_marker_gene_positive_log2_fold	NA	NA	1.2579936	0.33112459
RPE cell	positive_1_fraction	0.25464654	0.33832934	1.3285209	0.40982091
RPE cell	positive_2_fraction	0.090230342	0.11430855	1.266618	0.34098146
RPE cell	positive_3_fraction	0.020651311	0.016586731	0.80393463	-0.31484989
RPE cell	normscore_ge_10_fraction	0.066401906	0.084332534	1.2697092	0.34449813
RPE cell	mean_normscore	2.0283681	3.2750448	1.6146205	0.69119515
RPE cell	median_marker_gene_positive_log2_fold	NA	NA	1.2199243	0.28679157
cone cell	positive_1_fraction	0.18697379	0.48001599	2.5666247	1.3598724
cone cell	positive_2_fraction	0.063542494	0.15707434	2.4701198	1.304581
cone cell	positive_3_fraction	0.04177919	0.06314948	1.510535	0.59505962
cone cell	normscore_ge_10_fraction	0.057347101	0.072741807	1.2680766	0.34264184
cone cell	mean_normscore	1.9532729	5.4752421	2.8031117	1.4870292
cone cell	median_marker_gene_positive_log2_fold	NA	NA	2.7851262	1.4777427
rod cell	positive_1_fraction	0.87736299	0.99440448	1.1333894	0.18064357
rod cell	positive_2_fraction	0.75107228	0.96582734	1.285901	0.36277963
rod cell	positive_3_fraction	0.63510723	0.90007994	1.4171572	0.50299984
rod cell	normscore_ge_10_fraction	0.70277998	0.85271783	1.2133255	0.27896666
rod cell	mean_normscore	58.728154	119.56563	2.0359167	1.0256785
rod cell	median_marker_gene_positive_log2_fold	NA	NA	1.8673708	0.90100846
horizontal cell	positive_1_fraction	0.19396346	0.21802558	1.1240041	0.16864734
horizontal cell	positive_2_fraction	0.049404289	0.035371703	0.71642013	-0.48112222
horizontal cell	positive_3_fraction	0.027640985	0.0075939249	0.27681236	-1.8530197
horizontal cell	normscore_ge_10_fraction	0.047656871	0.024380496	0.51239674	-0.96466679
horizontal cell	mean_normscore	1.5922105	1.0872296	0.68284288	-0.55037444
horizontal cell	median_marker_gene_positive_log2_fold	NA	NA	0.67701747	-0.56273503
bipolar cell	positive_1_fraction	0.69960286	0.93345324	1.3342237	0.41600054
bipolar cell	positive_2_fraction	0.36886418	0.69504396	1.8840912	0.91386876
bipolar cell	positive_3_fraction	0.19586974	0.38309353	1.9554712	0.9675163
bipolar cell	normscore_ge_10_fraction	0.36092137	0.55735412	1.5441338	0.6267978
bipolar cell	mean_normscore	13.442608	16.173606	1.2031598	0.26682831
bipolar cell	median_marker_gene_positive_log2_fold	NA	NA	1.3612307	0.44491155
RGC	positive_1_fraction	0.16822875	0.35151878	2.0890144	1.0628224
RGC	positive_2_fraction	0.044479746	0.090727418	2.0378934	1.0270786
RGC	positive_3_fraction	0.023510723	0.03077538	1.307953	0.38731066
RGC	normscore_ge_10_fraction	0.030023828	0.03157474	1.0515197	0.072475937
RGC	mean_normscore	1.2299713	2.2762931	1.850688	0.88806168
RGC	median_marker_gene_positive_log2_fold	NA	NA	2.4212995	1.2757815
T cells	positive_1_fraction	0.0011119936	0.003197442	2.7503864	1.4596343
T cells	positive_2_fraction	0	0	1	0
T cells	positive_3_fraction	0	0	1	0
T cells	normscore_ge_10_fraction	0	0	1	0
T cells	mean_normscore	0.0035390034	0.0059895701	1.6924435	0.75910764
T cells	median_marker_gene_positive_log2_fold	NA	NA	0.41933119	-1.2538379
macrophage	positive_1_fraction	0.21795075	0.30555556	1.4018013	0.48728187
macrophage	positive_2_fraction	0.022398729	0.057753797	2.5728633	1.3633748
macrophage	positive_3_fraction	0.0011119936	0.0051958433	4.4277113	2.1465612
macrophage	normscore_ge_10_fraction	0.053534551	0.080335731	1.4998916	0.58485828
macrophage	mean_normscore	1.7972108	3.0984665	1.7240418	0.78579473
macrophage	median_marker_gene_positive_log2_fold	NA	NA	1.4949916	0.58013733
Schwann cell	positive_1_fraction	0.068308181	0.086730616	1.2693826	0.34412702
Schwann cell	positive_2_fraction	0.010643368	0.014388489	1.3492672	0.43217608
Schwann cell	positive_3_fraction	0.00063542494	0.003197442	4.5839772	2.1965999
Schwann cell	normscore_ge_10_fraction	0.0041302621	0.0011990408	0.30369667	-1.719297
Schwann cell	mean_normscore	0.26180778	0.26318662	1.0052666	0.0075781766
Schwann cell	median_marker_gene_positive_log2_fold	NA	NA	1.2579936	0.33112456
Pericyte	positive_1_fraction	0.079904686	0.070943245	0.88795974	-0.17143383
Pericyte	positive_2_fraction	0.016997617	0.01518785	0.89402341	-0.16161549
Pericyte	positive_3_fraction	0.0020651311	0.0029976019	1.4348077	0.52085736
Pericyte	normscore_ge_10_fraction	0.005401112	0.0017985612	0.34266501	-1.5451292
Pericyte	mean_normscore	0.33339033	0.22733013	0.68187381	-0.55242333
Pericyte	median_marker_gene_positive_log2_fold	NA	NA	1.2710297	0.34599779
B cell	positive_1_fraction	0.013820492	0.030375699	2.1910289	1.1316085
B cell	positive_2_fraction	0.00015885624	0.00019984013	1.1719957	0.2289673
B cell	positive_3_fraction	0	0	1	0
B cell	normscore_ge_10_fraction	0.00063542494	0	0.11111111	-3.169925
B cell	mean_normscore	0.049121352	0.074944463	1.5257002	0.60947152
B cell	median_marker_gene_positive_log2_fold	NA	NA	1.944172	0.95915583
fibroblast	positive_1_fraction	0.036854647	0.080135891	2.1718513	1.1189253
fibroblast	positive_2_fraction	0.0020651311	0.011390887	5.3485653	2.419152
fibroblast	positive_3_fraction	0.00015885624	0.00099920064	4.5266453	2.1784423
fibroblast	normscore_ge_10_fraction	0.0020651311	0.00099920064	0.50296058	-0.99148275
fibroblast	mean_normscore	0.11561247	0.23548436	2.0368421	1.0263342
fibroblast	median_marker_gene_positive_log2_fold	NA	NA	2.163749	1.1135332
