cluster	n_individual_1	n_individual_2	prop_individual_1	prop_individual_2	fold_2_over_1	best_marker_label	marker_score	marker_hits	top_20_markers
cluster_4	584	0	0.092772041	0	0.001076128	muller glia cell	0.23570226	GLUL	GABRG3,NAV2,AKAP12,NEAT1,CTNNA2,STAC2,PDE8B,TF,KAZN,PRKG1,GABRG3-AS1,RASGRP1,FOXP2,ESYT2,ZHX2,PMEPA1,LRRC4C,GLUL,MAPK4,TRPM3
cluster_14	186	0	0.02954726	0	0.003372637	horizontal cell	0.67662933	ONECUT1,ONECUT2	TNR,GRIA4,KCNJ3,FBXL7,ONECUT1,CACNA1C,FRMPD4,SNTG2,SEMA5A,ZEB2,DOCK10,ARHGAP44,AC092691.1,FMN2,PCSK6,GRIA3,NAV3,PAK5,ONECUT2,PDE4B
cluster_2	1178	4	0.18713264	0.00079936051	0.0048035394	rod cell	0.61068343	PDE6B,PDE6A	PLOD2,EYS,PPP2R2B,SND1,SORBS2,CNGB1,ABCA7,ANO2,PDE6B,LDLRAD4,DSCAML1,DMD,PDE6A,LIMCH1,SYNE2,MAP1B,NFASC,CADM2,PCDH15,ABCA4
cluster_3	885	8	0.14058777	0.001598721	0.012075602	rod cell	0.57586896	PDE6B,PDE6A	PLOD2,EYS,LIMCH1,SYNE2,SND1,MARCH1,PPP2R2B,ANO2,PDE6B,MAP1B,CNGB1,LDLRAD4,ABCA7,ADCY1,ARMC9,ARHGAP10,PDE6A,ABCA4,AC107021.1,DSCAML1
cluster_1	1321	38	0.20984909	0.0075939249	0.036649833	rod cell	0.95710678	PDE6A,PDE6B	EYS,PDE6A,ANO2,CNGB1,PCDH15,SYNE2,LDLRAD4,DMD,ABCA4,CADM2,ARMC9,EXOC4,RIMS2,NTM,MARCH1,PDE6B,DSCAML1,PFKP,PTPN13,THSD7B
cluster_16	127	21	0.020174742	0.0041966427	0.21213225	bipolar cell	0.60059458	TRPM1,PRKCA	SDK1,SAMD5,AL033504.1,PTPRM,LRRTM4,NTNG1,MTUS2,KCNH5,TRPM1,RGS7,GRM5,DOK6,DAB1,PRKCA,EDIL3,DGKI,RYR2,NETO1,CA10,PDZRN4
cluster_19	88	40	0.013979349	0.0079936051	0.57569199	bipolar cell	0.36148094	TRPM1,GRM6	ADARB2,CSMD3,CACNA2D1,PTPRG,GRM7,ROBO2,ADGRL2,CA10,SLC4A10,OLFM3,DGKB,ZNF804B,SAMSN1,COL19A1,ASIC2,RIMS1,ADGRB3,MDGA2,NRG3,DOK6
cluster_24	43	20	0.0068308181	0.0039968026	0.59284756	bipolar cell	0.54404697	TRPM1,GRM6	ROBO1,NTNG1,SPOCK3,ROBO2,RASGEF1B,CDH8,PTPRM,SAMSN1,GRID2,DOK6,TRPM1,GRM5,ADGRB3,PCDH9,NETO1,SLIT2,GRM6,ZNF804A,MDGA2,LRRC4C
cluster_21	58	28	0.0092136616	0.0055955236	0.61286868	astrocyte	0	none	ERBB4,KCNH7,CNTNAP5,SLIT2,GRIK1,FGF14,DSCAM,THSD7A,SEMA3E,REPS2,EPHA3,PCDH7,NETO1,TENM3,MDGA2,DGKI,KCNB2,DGKB,AL355612.1,CA10
cluster_15	108	54	0.017156473	0.010791367	0.63189541	bipolar cell	0.42815235	TRPM1,GRM6	KIRREL3,KCNH7,ROBO2,PDE4B,NFIA,ZNF804B,ADGRL2,AL358335.2,ADARB2,ADGRB3,SNTG1,SAMSN1,CA10,LINC00470,ZNF804A,CNTNAP2,NRXN3,TRPM1,IQCJ-SCHIP1,FAM135B
cluster_11	158	82	0.025099285	0.01638689	0.65479162	bipolar cell	0.85960535	TRPM1,VSX1	ZNF804B,TRPM1,FRMD3,ADGRB3,ROBO2,GABRR2,HS3ST4,CA10,DLG2,CARMIL1,NCKAP5,MCC,IQCJ-SCHIP1,PTPRG,TMTC2,SOX5,NRG3,DOK6,KCNMA1,BCAT1
cluster_10	163	96	0.025893566	0.019184652	0.74248552	astrocyte	0	none	GRIK1,DSCAM,DPP10,TENM3,PDE4B,SLC24A3,RIMS1,TAFA4,ANKS1B,CNTN4,KHDRBS2,CNTNAP2,OPCML,CSMD3,CNTNAP5,ZNF804B,PLCB4,NEBL,NRXN3,CA10
cluster_18	83	50	0.013185068	0.0099920064	0.76082248	astrocyte	0	none	DPP10,GRIK1,PDE4B,DSCAM,CNTNAP2,KIRREL3,NFIA,CDH20,CNTN4,CNTNAP5,SOX6,CSMD3,NEBL,NRXN3,RIMS1,ANKS1B,KCNIP4,CTNND2,SAMSN1,MRPS30-DT
cluster_5	314	194	0.049880858	0.038768985	0.77799605	cone cell	0.83307167	ARR3,GUCA1C,PDE6H,PDE6C	KCNB2,AC023905.1,PEX5L,AC112206.2,SLC24A2,CNGB3,NEDD4L,SEMA6D,GALNT13,XYLT1,ARR3,LINC02343,GRK7,MSR1,LRFN2,AC011586.2,LINC00457,PRR16,AC019197.1,MAML2
cluster_23	44	28	0.0069896743	0.0055955236	0.8056813	bipolar cell	0.57735027	TRPM1	ADARB2,CSMD1,TRPM1,TMTC2,KIAA1217,HS3ST4,KCNMA1,PTPRG,SAMSN1,AL355612.1,SYN2,ROBO2,MCC,NSG1,NRG3,UNC5D,SOX5,DLG2,DOK6,PCDH11X
cluster_12	113	91	0.017950755	0.018185452	1.0141534	RGC	1.4486884	RBPMS,NEFL,NEFM	MIAT,RBPMS,KCNC2,EBF1,HS6ST3,NEFL,MEG3,MEG8,NEFM,PLCB1,RBFOX1,SCN1A-AS1,TENM4,LRFN5,SYN3,EPHA6,DSCAM,AL355612.1,SCN1A,NRXN1
cluster_9	171	142	0.027164416	0.028377298	1.0452717	astrocyte	0	none	GRIK1,DGKB,TAFA4,TENM3,GRM7,PTPRO,PCDH9,CA10,NEBL,KHDRBS2,NRXN3,MDGA2,KIAA1217,UNC5D,NETO1,LRRC7,CNTNAP5,SNTG1,RYR2,NCKAP5
cluster_6	238	216	0.037807784	0.043165468	1.1419523	bipolar cell	0.81300534	TRPM1,PRKCA,GRM6	SAMD5,SDK1,AL033504.1,PTPRM,LRRTM4,TRPM1,KCNH5,NTNG1,RGS7,DGKI,GRM5,ST6GALNAC5,MTUS2,DOK6,PDZRN4,DAB1,PRKCA,EDIL3,NETO1,FGF12
cluster_17	75	70	0.011914218	0.013988809	1.1746828	bipolar cell	0.14586499	VSX1	FAM155A,NTNG1,GRID2,PCDH9,GRIK1,NETO1,MDGA2,DOK6,CA10,NRXN3,GALNT13,NXPH2,CDH20,SLIT2,ZFHX4,CADPS,PDZRN4,NXPH1,PLCB4,TENM2
cluster_22	39	40	0.0061953932	0.0079936051	1.2898415	horizontal cell	0.18257419	CALB2	RBFOX1,ZNF804A,GRIK2,CNTNAP2,GRIA4,PHACTR1,CDH7,ADGRB3,SYNDIG1,PLCL1,SDK1,ANKS1B,AC073050.1,STXBP5-AS1,NFIA,DPP6,PAK5,CNTN4,HSPA12A,LHFPL6
cluster_8	150	163	0.023828435	0.032573941	1.3666575	horizontal cell	0.15617376	GAD2	GRIP1,DLGAP1,IL1RAPL1,GRIA4,ADGRL3,GRM8,FAM155A,NAV3,MIR181A1HG,ADGRB3,MYT1L,NRXN1,PLPPR1,AFF3,SNHG14,CACNA1D,FRMD5,PAM,CNTNAP2,RASGEF1B
cluster_13	85	109	0.01350278	0.021782574	1.6111146	astrocyte	0	none	CDH18,NRXN1,GRIK2,ZNF804A,FAM155A,DLGAP1,TMTC2,TENM2,GRIA4,CACNA2D3,DTNA,IL1RAPL1,HS6ST3,DAB1,CNTNAP2,ADGRB3,CACNA1D,GPR158,NRXN3,ZFPM2
cluster_25	24	31	0.0038125496	0.006195044	1.6174203	rod cell	1.9025365	PDE6A,SAG,GNAT1,RHO	PDE6A,EPB41L2,AC069185.1,SAG,DISC1,TTC39C,ABCA4,TMEM108,EYS,LGALS4,CNGB1,ANO2,NTM,PCDH15,GNAT1,AIPL1,SYNE2,IMPG1,DMD,HCN1
cluster_20	31	69	0.0049245433	0.013788969	2.7755732	rod cell	2.9971873	PDE6A,SAG,NRL,GNGT1,GNAT1,RHO,ROM1	PDE6A,NTM,SAG,THSD7B,ANO2,NRL,GNGT1,PCDH15,IMPG1,RP1,PRPH2,EYS,AC044810.2,RGS9,PDE6G,PDC,GNAT1,TMEM108,AC009118.2,DMD
cluster_7	25	380	0.0039714059	0.075939249	18.771238	muller glia cell	1.8177381	GLUL,CLU,RLBP1,SLC1A3,APOE	WIF1,FRZB,TF,GLUL,TRDN,CLU,DACH1,RLBP1,TRPM3,HKDC1,SPP1,SLC1A3,GABRG3,APOE,FOXP2,NAV3,VIM,ADGRL3,GPM6A,LRRC4C
cluster_26	1	53	0.00015885624	0.010591527	44.868439	rod cell	3.6159575	GNAT1,RHO,GNGT1,SAG,NRL,ROM1,PDE6A,CNGA1	GNAT1,RHO,AC044810.2,PPEF2,GNGT1,SAG,AC012370.2,NRL,HCN1,TTC39C,PRPH2,PDC,PDE6G,ROM1,EPB41L2,PDE6A,THSD7B,MPP4,RP1,ZMYND19
cluster_27	0	49	0	0.0097921663	124.54137	rod cell	3.7383736	GNAT1,NRL,SAG,GNGT1,RHO,ROM1,CNGA1,PDE6A	GNAT1,NRL,PDC,SAG,GNGT1,PDE6G,PPEF2,RHO,RCVRN,AC044810.2,MPP4,ROM1,CNKSR2,HMGN1,TTC39C,GNB1,AL138895.1,VOPP1,KCTD8,CNGA1
cluster_0	3	2928	0.00047656871	0.58513189	1052.5812	rod cell	4.0126376	SAG,RHO,GNAT1,GNGT1,NRL,ROM1,CNGA1,PDE6A	SAG,RHO,GNAT1,GNGT1,NRL,PPEF2,PDC,PDE6G,ROM1,HMGN1,AC044810.2,MPP4,RCVRN,TTC39C,RP1,RDH12,CNKSR2,GNB1,CNGA1,AIPL1
