         FID          IID MISS_PHENO   N_MISS   N_GENO   F_MISS
  SAMPLE_105   SAMPLE_105          Y        0   500000        0
  SAMPLE_175   SAMPLE_175          Y        0   500000        0
  SAMPLE_146   SAMPLE_146          Y        0   500000        0
  SAMPLE_176   SAMPLE_176          Y        0   500000        0
  SAMPLE_093   SAMPLE_093          Y        0   500000        0
  SAMPLE_205   SAMPLE_205          Y        0   500000        0
  SAMPLE_157   SAMPLE_157          Y        0   500000        0
  SAMPLE_071   SAMPLE_071          Y        0   500000        0
  SAMPLE_151   SAMPLE_151          Y        0   500000        0
  SAMPLE_174   SAMPLE_174          Y        0   500000        0
  SAMPLE_088   SAMPLE_088          Y        0   500000        0
  SAMPLE_044   SAMPLE_044          Y        0   500000        0
  SAMPLE_007   SAMPLE_007          Y        0   500000        0
  SAMPLE_148   SAMPLE_148          Y        0   500000        0
  SAMPLE_202   SAMPLE_202          Y        0   500000        0
  SAMPLE_097   SAMPLE_097          Y        0   500000        0
  SAMPLE_145   SAMPLE_145          Y        0   500000        0
  SAMPLE_121   SAMPLE_121          Y        0   500000        0
  SAMPLE_034   SAMPLE_034          Y        0   500000        0
  SAMPLE_014   SAMPLE_014          Y        0   500000        0
  SAMPLE_183   SAMPLE_183          Y        0   500000        0
  SAMPLE_087   SAMPLE_087          Y        0   500000        0
  SAMPLE_069   SAMPLE_069          Y        0   500000        0
  SAMPLE_061   SAMPLE_061          Y        0   500000        0
  SAMPLE_160   SAMPLE_160          Y        0   500000        0
  SAMPLE_108   SAMPLE_108          Y        0   500000        0
  SAMPLE_066   SAMPLE_066          Y        0   500000        0
  SAMPLE_133   SAMPLE_133          Y        0   500000        0
  SAMPLE_127   SAMPLE_127          Y        0   500000        0
  SAMPLE_008   SAMPLE_008          Y        0   500000        0
  SAMPLE_026   SAMPLE_026          Y        0   500000        0
  SAMPLE_073   SAMPLE_073          Y        0   500000        0
  SAMPLE_167   SAMPLE_167          Y        0   500000        0
  SAMPLE_173   SAMPLE_173          Y        0   500000        0
  SAMPLE_086   SAMPLE_086          Y        0   500000        0
  SAMPLE_085   SAMPLE_085          Y        0   500000        0
  SAMPLE_009   SAMPLE_009          Y        0   500000        0
  SAMPLE_156   SAMPLE_156          Y        0   500000        0
  SAMPLE_006   SAMPLE_006          Y        0   500000        0
  SAMPLE_070   SAMPLE_070          Y        0   500000        0
  SAMPLE_113   SAMPLE_113          Y        0   500000        0
  SAMPLE_043   SAMPLE_043          Y        0   500000        0
  SAMPLE_119   SAMPLE_119          Y        0   500000        0
  SAMPLE_126   SAMPLE_126          Y        0   500000        0
  SAMPLE_204   SAMPLE_204          Y        0   500000        0
