variableMetadata	PCA_XLOAD-p1	PCA_XLOAD-p2
IL17F	0.00444798571510616	0.00560186705455485
KRT77	0.00871387116404786	0.00329761931158768
LCE3D	-0.0089553789384918	-0.00163514321123899
ACTA2	0.00613854390867551	0.00302179220839213
CD34	0.00906202484405184	0.000644685969379007
IL22	0.00539554582107596	0.00583437595484015
KRT14	-0.00776726033590644	-0.00283990576402717
KRT5	-0.0074956250881944	0.00075731001686194
IL17A	-0.00557554335409842	-0.00760169011572998
KRT6B	-0.00862602732377844	-0.00261771059148869
IFNG	-0.00319230370884775	-0.00200612594363604
S100A7	-0.00917927754082049	-0.00107843475157922
KRT1	7.9342749359506e-05	0.0156185623762084
DEFB4B	-0.0073440335712385	-0.00657896894470605
S100A9	-0.00919734421554058	-0.00168868757426211
SPRR2B	-0.00901233757637519	-0.00168412992517159
LOR	0.00860065221344094	0.00379798187358244
CXCL1	-0.00766236399833679	-0.00545891357035543
FLG	0.00740214429761631	0.00595750558346949
CCL20	-0.008470704617456	-0.000272274112310296
S100A8	-0.0092094987665602	-0.0016086888228681
SPRR2A	-0.00910085175501462	-0.00180865801359138
KRT17	-0.00878233467185647	-0.00127933211812906
S100A12	-0.00865144351199049	-0.00199549275143898
DSG1	0.00653148575359257	0.00516312932029378
PI3	-0.00912817377327859	-0.00175021337849999
KRT10	0.00424234722749305	0.00933840628105078
DEFB4A	-0.00900450896411029	-0.00257585946131706
KRT2	0.00685085362186808	0.00257988000717118
KRT6C	-0.0089449981824183	-0.00214257574316396
KRT6A	-0.00916758280898006	-0.00138713745902664
KRT16	-0.00915417149183064	-0.00165766030733257
DSC1	0.00565862338685119	0.00754111441368242
CXCL8	-0.00896391784675689	-0.00368075165126705
