sample	gene	mean	frac_pos	max
Patient_005	PTPRC	3.5812	0.8563	23.0
Patient_005	CD3D	0.5860	0.1568	27.0
Patient_005	CD3E	0.2978	0.1334	9.0
Patient_005	CD2	0.5784	0.1967	17.0
Patient_005	TRAC	0.7847	0.1568	37.0
Patient_005	IL7R	0.8624	0.3666	16.0
Patient_005	NKG7	0.2882	0.0887	19.0
Patient_005	GNLY	0.1149	0.0124	47.0
Patient_005	KLRD1	0.0248	0.0138	4.0
Patient_005	NCAM1	0.0062	0.0034	5.0
Patient_005	FCGR3A	3.3790	0.6183	43.0
Patient_005	CD79A	0.2407	0.0296	48.0
Patient_005	CD79B	0.0867	0.0461	19.0
Patient_005	MS4A1	0.0502	0.0076	20.0
Patient_005	CD19	0.0227	0.0151	6.0
Patient_005	MZB1	0.8343	0.0351	181.0
Patient_005	JCHAIN	28.1596	0.2125	4836.0
Patient_005	XBP1	1.8865	0.6149	57.0
Patient_005	LYZ	51.8611	0.8281	1017.0
Patient_005	CD68	2.9367	0.6320	32.0
Patient_005	CD163	1.2909	0.4580	18.0
Patient_005	MRC1	2.9491	0.5757	27.0
Patient_005	ITGAX	0.7125	0.4250	7.0
Patient_005	FCGR3A	3.3790	0.6183	43.0
Patient_005	CD1C	1.1238	0.1933	45.0
Patient_005	CLEC10A	2.9188	0.5777	52.0
Patient_005	FCER1A	1.4807	0.1788	83.0
Patient_005	CLEC9A	0.0481	0.0110	15.0
Patient_005	XCR1	0.0069	0.0041	3.0
Patient_005	BATF3	0.0695	0.0557	5.0
Patient_005	IRF8	1.1616	0.4780	43.0
Patient_005	LAMP3	0.1788	0.0674	15.0
Patient_005	CCR7	0.2758	0.0708	23.0
Patient_005	FLT3	0.0358	0.0275	5.0
Patient_005	CD83	6.3006	0.7820	50.0
Patient_005	CD1A	0.6678	0.0915	74.0
Patient_005	TPSAB1	2.0633	0.0413	323.0
Patient_005	CPA3	0.3129	0.0261	104.0
Patient_005	MS4A2	0.0860	0.0213	28.0
Patient_005	PECAM1	0.7070	0.3982	10.0
Patient_005	VWF	0.0034	0.0034	1.0
Patient_005	CLDN5	0.0000	0.0000	0.0
Patient_005	ENG	0.6162	0.3741	10.0
Patient_005	COL1A1	0.0392	0.0048	26.0
Patient_005	COL1A2	0.0041	0.0034	2.0
Patient_005	DCN	0.0000	0.0000	0.0
Patient_005	PDGFRB	0.0007	0.0007	1.0
Patient_005	LUM	0.0007	0.0007	1.0
Patient_005	EPCAM	0.0241	0.0103	14.0
Patient_005	KRT8	0.0481	0.0138	28.0
Patient_005	KRT18	0.1045	0.0248	73.0
Patient_005	CDH1	0.0206	0.0089	9.0
Patient_005	NKX2-1	0.0241	0.0083	11.0
Patient_005	NAPSA	0.2111	0.0179	150.0
Patient_005	SFTPC	0.3343	0.0069	472.0
Patient_005	SFTPB	0.3336	0.0151	295.0
Patient_005	KRT7	0.0536	0.0096	32.0
Patient_005	CEACAM5	0.0034	0.0014	4.0
Patient_005	MUC1	0.0536	0.0165	32.0
Patient_005	AGR2	0.0867	0.0138	58.0
Patient_005	TP63	0.0000	0.0000	0.0
Patient_005	KRT5	0.0151	0.0034	10.0
Patient_005	KRT6A	0.0000	0.0000	0.0
Patient_005	KRT6B	0.0000	0.0000	0.0
Patient_005	KRT14	0.0000	0.0000	0.0
Patient_005	KRT17	0.0096	0.0069	5.0
Patient_005	DSG3	0.0028	0.0028	1.0
Patient_005	SERPINB3	0.0000	0.0000	0.0
Patient_005	SERPINB4	0.0000	0.0000	0.0
Patient_005	SOX2	0.0007	0.0007	1.0
Patient_005	KRT15	0.0062	0.0007	9.0
Patient_005	KRT13	0.0000	0.0000	0.0
Patient_005	S100A2	0.0172	0.0151	3.0
Patient_005	DSC3	0.0000	0.0000	0.0
Patient_005	PKP1	0.0000	0.0000	0.0
Patient_005	SCGB1A1	4.8439	0.0798	6866.0
Patient_005	SCGB3A1	2.1960	0.0681	854.0
Patient_005	PIGR	0.0578	0.0069	37.0
Patient_005	MUC5AC	0.0000	0.0000	0.0
Patient_005	FOXJ1	0.0014	0.0014	1.0
Patient_005	TPPP3	0.0110	0.0089	3.0
Patient_005	CAPS	0.0254	0.0248	2.0
Patient_005	SNTN	0.0000	0.0000	0.0
Patient_005	AGER	0.0144	0.0144	1.0
Patient_005	CLDN18	0.0000	0.0000	0.0
Patient_005	CAV1	0.0089	0.0055	4.0
Patient_005	RTKN2	0.0096	0.0089	2.0
Patient_005	SFTPC	0.3343	0.0069	472.0
Patient_005	SFTPB	0.3336	0.0151	295.0
Patient_005	NAPSA	0.2111	0.0179	150.0
Patient_005	LAMP3	0.1788	0.0674	15.0
Patient_005	ABCA3	0.0089	0.0048	7.0
Patient_006	PTPRC	2.0275	0.7915	17.0
Patient_006	CD3D	1.9476	0.5892	34.0
Patient_006	CD3E	1.3332	0.5882	13.0
Patient_006	CD2	1.6900	0.6282	22.0
Patient_006	TRAC	2.6668	0.6095	44.0
Patient_006	IL7R	0.9326	0.3679	15.0
Patient_006	NKG7	6.5195	0.6360	46.0
Patient_006	GNLY	6.2678	0.4982	94.0
Patient_006	KLRD1	1.1283	0.3679	15.0
Patient_006	NCAM1	0.0262	0.0252	2.0
Patient_006	FCGR3A	0.8462	0.2805	34.0
Patient_006	CD79A	0.2259	0.0583	14.0
Patient_006	CD79B	0.1604	0.1044	7.0
Patient_006	MS4A1	0.1781	0.0560	13.0
Patient_006	CD19	0.0337	0.0232	4.0
Patient_006	MZB1	0.0229	0.0187	5.0
Patient_006	JCHAIN	0.2147	0.0357	206.0
Patient_006	XBP1	0.4812	0.3280	16.0
Patient_006	LYZ	1.7859	0.0612	335.0
Patient_006	CD68	0.0573	0.0242	16.0
Patient_006	CD163	0.0229	0.0124	10.0
Patient_006	MRC1	0.0278	0.0095	27.0
Patient_006	ITGAX	0.0560	0.0396	7.0
Patient_006	FCGR3A	0.8462	0.2805	34.0
Patient_006	CD1C	0.0200	0.0108	9.0
Patient_006	CLEC10A	0.0255	0.0088	13.0
Patient_006	FCER1A	0.0288	0.0049	26.0
Patient_006	CLEC9A	0.0065	0.0003	20.0
Patient_006	XCR1	0.0000	0.0000	0.0
Patient_006	BATF3	0.0056	0.0049	2.0
Patient_006	IRF8	0.1885	0.0982	18.0
Patient_006	LAMP3	0.0134	0.0131	2.0
Patient_006	CCR7	0.2949	0.1385	11.0
Patient_006	FLT3	0.0007	0.0007	1.0
Patient_006	CD83	0.4494	0.1591	20.0
Patient_006	CD1A	0.0003	0.0003	1.0
Patient_006	TPSAB1	0.0658	0.0029	106.0
Patient_006	CPA3	0.0082	0.0010	19.0
Patient_006	MS4A2	0.0023	0.0016	2.0
Patient_006	PECAM1	0.0648	0.0511	7.0
Patient_006	VWF	0.0000	0.0000	0.0
Patient_006	CLDN5	0.0000	0.0000	0.0
Patient_006	ENG	0.0226	0.0170	5.0
Patient_006	COL1A1	0.0029	0.0020	3.0
Patient_006	COL1A2	0.0003	0.0003	1.0
Patient_006	DCN	0.0000	0.0000	0.0
Patient_006	PDGFRB	0.0085	0.0079	2.0
Patient_006	LUM	0.0003	0.0003	1.0
Patient_006	EPCAM	0.0059	0.0029	5.0
Patient_006	KRT8	0.0036	0.0023	3.0
Patient_006	KRT18	0.0105	0.0062	7.0
Patient_006	CDH1	0.0010	0.0010	1.0
Patient_006	NKX2-1	0.0033	0.0010	6.0
Patient_006	NAPSA	0.0137	0.0072	8.0
Patient_006	SFTPC	0.2043	0.0036	599.0
Patient_006	SFTPB	0.0560	0.0033	156.0
Patient_006	KRT7	0.0069	0.0029	8.0
Patient_006	CEACAM5	0.0007	0.0003	2.0
Patient_006	MUC1	0.0075	0.0023	10.0
Patient_006	AGR2	0.0134	0.0033	15.0
Patient_006	TP63	0.0000	0.0000	0.0
Patient_006	KRT5	0.0003	0.0003	1.0
Patient_006	KRT6A	0.0000	0.0000	0.0
Patient_006	KRT6B	0.0010	0.0010	1.0
Patient_006	KRT14	0.0000	0.0000	0.0
Patient_006	KRT17	0.0003	0.0003	1.0
Patient_006	DSG3	0.0010	0.0010	1.0
Patient_006	SERPINB3	0.0000	0.0000	0.0
Patient_006	SERPINB4	0.0000	0.0000	0.0
Patient_006	SOX2	0.0000	0.0000	0.0
Patient_006	KRT15	0.0003	0.0003	1.0
Patient_006	KRT13	0.0000	0.0000	0.0
Patient_006	S100A2	0.0069	0.0062	2.0
Patient_006	DSC3	0.0000	0.0000	0.0
Patient_006	PKP1	0.0000	0.0000	0.0
Patient_006	SCGB1A1	0.6367	0.0128	1865.0
Patient_006	SCGB3A1	0.7047	0.0121	574.0
Patient_006	PIGR	0.0111	0.0033	9.0
Patient_006	MUC5AC	0.0000	0.0000	0.0
Patient_006	FOXJ1	0.0029	0.0026	2.0
Patient_006	TPPP3	0.0131	0.0069	6.0
Patient_006	CAPS	0.0154	0.0151	2.0
Patient_006	SNTN	0.0003	0.0003	1.0
Patient_006	AGER	0.0043	0.0043	1.0
Patient_006	CLDN18	0.0000	0.0000	0.0
Patient_006	CAV1	0.0016	0.0013	2.0
Patient_006	RTKN2	0.0350	0.0229	6.0
Patient_006	SFTPC	0.2043	0.0036	599.0
Patient_006	SFTPB	0.0560	0.0033	156.0
Patient_006	NAPSA	0.0137	0.0072	8.0
Patient_006	LAMP3	0.0134	0.0131	2.0
Patient_006	ABCA3	0.0043	0.0039	2.0
Patient_007	PTPRC	3.1304	0.8280	21.0
Patient_007	CD3D	2.0926	0.3913	30.0
Patient_007	CD3E	1.1701	0.3629	14.0
Patient_007	CD2	1.6352	0.3819	20.0
Patient_007	TRAC	2.3365	0.3951	33.0
Patient_007	IL7R	0.5841	0.2344	21.0
Patient_007	NKG7	3.0983	0.3989	97.0
Patient_007	GNLY	3.8582	0.1985	382.0
Patient_007	KLRD1	0.6049	0.1985	17.0
Patient_007	NCAM1	0.0019	0.0019	1.0
Patient_007	FCGR3A	3.0964	0.4423	59.0
Patient_007	CD79A	0.2382	0.0473	24.0
Patient_007	CD79B	0.1682	0.1078	8.0
Patient_007	MS4A1	0.1474	0.0340	18.0
Patient_007	CD19	0.0416	0.0227	5.0
Patient_007	MZB1	0.6371	0.0681	167.0
Patient_007	JCHAIN	1.8809	0.0529	446.0
Patient_007	XBP1	1.5860	0.5047	58.0
Patient_007	LYZ	47.0246	0.6616	1352.0
Patient_007	CD68	2.6824	0.4329	51.0
Patient_007	CD163	1.0718	0.2722	25.0
Patient_007	MRC1	1.5388	0.3497	26.0
Patient_007	ITGAX	0.6295	0.2968	9.0
Patient_007	FCGR3A	3.0964	0.4423	59.0
Patient_007	CD1C	0.6333	0.0832	64.0
Patient_007	CLEC10A	1.3648	0.2741	31.0
Patient_007	FCER1A	0.5066	0.0756	44.0
Patient_007	CLEC9A	0.0567	0.0076	15.0
Patient_007	XCR1	0.0038	0.0038	1.0
Patient_007	BATF3	0.1248	0.0794	7.0
Patient_007	IRF8	1.3346	0.3686	50.0
Patient_007	LAMP3	0.1342	0.0473	13.0
Patient_007	CCR7	0.4216	0.0870	49.0
Patient_007	FLT3	0.1021	0.0548	6.0
Patient_007	CD83	4.7883	0.6011	85.0
Patient_007	CD1A	0.0945	0.0340	16.0
Patient_007	TPSAB1	0.0132	0.0076	4.0
Patient_007	CPA3	0.0019	0.0019	1.0
Patient_007	MS4A2	0.0000	0.0000	0.0
Patient_007	PECAM1	0.3932	0.2552	6.0
Patient_007	VWF	0.0000	0.0000	0.0
Patient_007	CLDN5	0.0038	0.0038	1.0
Patient_007	ENG	0.5104	0.2571	11.0
Patient_007	COL1A1	0.0095	0.0095	1.0
Patient_007	COL1A2	0.0000	0.0000	0.0
Patient_007	DCN	0.0000	0.0000	0.0
Patient_007	PDGFRB	0.0057	0.0057	1.0
Patient_007	LUM	0.0019	0.0019	1.0
Patient_007	EPCAM	0.0038	0.0038	1.0
Patient_007	KRT8	0.0189	0.0170	2.0
Patient_007	KRT18	0.0378	0.0208	6.0
Patient_007	CDH1	0.0132	0.0132	1.0
Patient_007	NKX2-1	0.0038	0.0038	1.0
Patient_007	NAPSA	0.0265	0.0151	3.0
