rank	experiment	pearson_peak_signal	mean_query_peak_bins	mapped_qc	peak_files	peak_rows	biosample
1	ENCSR597URK	0.967173337	14.711916141	78558518	2	128035	T-cell
2	ENCSR497NLU	0.961412036	13.347591736	81673586	2	146570	T-cell
3	ENCSR111LTT	0.961047312	14.315589107	91741902	2	130851	T-cell
4	ENCSR541PUY	0.958577166	17.152497698	79899966	2	98624	T-cell
5	ENCSR296TFH	0.944114231	15.138377407	78670480	2	130666	naive thymus-derived CD8-positive, alpha-beta T cell
6	ENCSR740DJQ	0.941834432	14.837371109	82509208	2	131438	activated CD4-positive, alpha-beta T cell
7	ENCSR058ELM	0.939555050	16.377840270	79041522	2	109783	T-helper 1 cell
8	ENCSR531UVE	0.934667744	20.271687604	78570568	2	76337	stimulated activated CD4-positive, alpha-beta T cell
9	ENCSR747RGR	0.907670500	18.423292260	94552760	2	96180	T-helper 17 cell
10	ENCSR420HOT	0.902362307	19.001406426	76608288	2	88635	T-cell
11	ENCSR164PQJ	0.901127860	11.121855226	82430344	2	156317	thymus
12	ENCSR457JOG	0.896209343	12.058692776	81701162	2	176041	activated CD4-positive, alpha-beta T cell
13	ENCSR122VUW	0.838302805	8.413018019	86838783	4	390869	common myeloid progenitor, CD34-positive
14	ENCSR646JBR	0.830195084	12.466002091	89660794	2	122925	head of caudate nucleus
15	ENCSR649MJI	0.827829897	15.547253889	87133288	2	82025	head of caudate nucleus
16	ENCSR659JPP	0.826502202	8.841933790	88837942	2	218637	head of caudate nucleus
17	ENCSR694DOX	0.823778158	12.935533590	84549926	2	115801	posterior cingulate gyrus
18	ENCSR422IIZ	0.823408754	16.831444035	82032010	2	79132	ascending aorta
19	ENCSR455GUW	0.814773963	12.696525146	83201100	2	122163	Peyer's patch
20	ENCSR935EVZ	0.813882299	6.311166661	88030893	2	350003	left lung
21	ENCSR763XBU	0.811001249	14.696465201	89688954	2	106165	dorsolateral prefrontal cortex
22	ENCSR000EOS	0.805710260	7.913591037	91573550	4	360971	Jurkat, Clone E6-1
23	ENCSR339TVH	0.803658095	11.032099240	83340024	2	137986	head of caudate nucleus
24	ENCSR163GMC	0.793555774	10.761360757	82385210	2	145763	head of caudate nucleus
25	ENCSR385AMY	0.790896239	6.995755942	77622158	2	274351	hindlimb muscle
26	ENCSR033STL	0.783366062	6.715376149	88142740	2	302680	muscle of back
27	ENCSR796SJV	0.782538827	7.035309612	79390571	2	280270	large intestine
28	ENCSR000EQK	0.782417530	13.265415383	82810043	2	127768	CD4-positive, CD25-positive, alpha-beta regulatory T cell
29	ENCSR000EPK	0.780908304	10.101209449	76326299	2	202768	CD14-positive monocyte
30	ENCSR634YVQ	0.756864096	8.978320864	83681250	2	215512	HK-2
31	ENCSR517NHP	0.756773098	6.959341341	82513740	2	277260	muscle of arm
32	ENCSR837VHE	0.716690461	10.830647300	92927401	8	349642	A549
33	ENCSR434OBM	0.565544351	6.159128604	82010714	2	310308	foreskin melanocyte
34	ENCSR000EQL	0.458856408	6.658047699	76217668	4	448318	WERI-Rb-1
35	ENCSR000EMD	0.253486494	6.950965491	93360371	4	470112	BE2C
