rank	experiment	abs_diff	mapped_minus_denom	best_denom	sum_mapped	sum_mq0	sum_total	file_count	files	biosample	run_type	paired_end
1	ENCSR000EPK	50421	50421	76275878	76326299	0	76326299	1	ENCFF254VNR	CD14-positive monocyte		
2	ENCSR000EQL	58210	-58210	76275878	76217668	0	76217668	2	ENCFF505BXT,ENCFF816ZVF	WERI-Rb-1		
3	ENCSR735NTV	119231	119231	228827559	228946790	0	228946790	1	ENCFF558NDU	heart left ventricle		
4	ENCSR802ZYE	120625	120625	228827559	228948184	0	228948184	1	ENCFF272CBV	left lobe of liver		
5	ENCSR420HOT	332410	332410	76275878	76608288	0	76608288	1	ENCFF425CQF	T-cell		
6	ENCSR144NXI	384698	384698	152551756	152936454	0	152936454	1	ENCFF551ODD	activated CD4-positive, alpha-beta T cell		
7	ENCSR126EVK	396071	-396071	228827559	228431488	0	228431488	1	ENCFF342QKJ	placenta		
8	ENCSR252NVI	509681	509681	228827559	229337240	0	229337240	1	ENCFF404RBX	activated CD4-positive, alpha-beta T cell		
9	ENCSR301OGM	588381	588381	533931305	534519686	0	534519686	2	ENCFF427WUB,ENCFF815HRL	NAMALWA		
10	ENCSR859CZM	667977	-667977	457655119	456987142	0	456987142	1	ENCFF436JHH	occipital lobe		
11	ENCSR090SMP	873046	873046	381378932	382251978	0	382251978	2	ENCFF910XNY,ENCFF369NRI	NCI-H929		
12	ENCSR371CCL	995030	995030	381378932	382373962	0	382373962	1	ENCFF797DNO	suppressor macrophage		
13	ENCSR211SUT	1064169	-1064169	228827559	227763390	0	227763390	1	ENCFF305LFG	heart right ventricle		
14	ENCSR329FHR	1144956	-1144956	152551756	151406800	0	151406800	1	ENCFF508VVI	dorsolateral prefrontal cortex		
15	ENCSR173YSO	1340670	-1340670	152551756	151211086	0	151211086	1	ENCFF505OFL	dorsolateral prefrontal cortex		
16	ENCSR385AMY	1346280	1346280	76275878	77622158	0	77622158	1	ENCFF609ONB	hindlimb muscle		
17	ENCSR937UWI	1459389	-1459389	542353881	540894492	0	540894492	2	ENCFF117JTR,ENCFF055PLA	hematopoietic multipotent progenitor cell		
18	ENCSR789VGQ	1468720	1468720	228827559	230296279	0	230296279	1	ENCFF861EZG	MCF 10A		
19	ENCSR595CSH	1619034	1619034	457655119	459274153	0	459274153	2	ENCFF573HQX,ENCFF870TZV	brain		
