section	field	value
observed	positive_unique_milli_le_5000	381
observed	first_positive_milli	13,26,39,52,66,79,92,105,118,131,144,157,170,184,197,210,223,236,249,262,275,288,302,315,328,341,354,367,380,393,406,420,433,446,459,472,485,498,511,524,538,551,564,577,590,603,616,629,642,656,669,682,695,708,721,734,747,760,774,787,800,813,826,839,852,865,878,892,905,918,931,944,957,970,983,996,1009,1023,1036,1049
candidate_1	N	76275878
candidate_1	unique_supported	381
candidate_1	freq_supported	253352
candidate_2	N	76275889
candidate_2	unique_supported	381
candidate_2	freq_supported	253352
candidate_3	N	152551756
candidate_3	unique_supported	381
candidate_3	freq_supported	253352
candidate_4	N	228827537
candidate_4	unique_supported	381
candidate_4	freq_supported	253352
candidate_5	N	228827552
candidate_5	unique_supported	381
candidate_5	freq_supported	253352
candidate_6	N	228827559
candidate_6	unique_supported	381
candidate_6	freq_supported	253352
candidate_7	N	228827634
candidate_7	unique_supported	381
candidate_7	freq_supported	253352
candidate_8	N	228827663
candidate_8	unique_supported	381
candidate_8	freq_supported	253352
candidate_9	N	305103735
candidate_9	unique_supported	381
candidate_9	freq_supported	253352
candidate_10	N	305103746
candidate_10	unique_supported	381
candidate_10	freq_supported	253352
candidate_11	N	457655119
candidate_11	unique_supported	381
candidate_11	freq_supported	253352
candidate_12	N	381378932
candidate_12	unique_supported	380
candidate_12	freq_supported	253259
candidate_13	N	152551442
candidate_13	unique_supported	379
candidate_13	freq_supported	253005
candidate_14	N	305102884
candidate_14	unique_supported	379
candidate_14	freq_supported	253005
candidate_15	N	76275636
candidate_15	unique_supported	378
candidate_15	freq_supported	252890
candidate_16	N	152551273
candidate_16	unique_supported	378
candidate_16	freq_supported	252890
candidate_17	N	152551368
candidate_17	unique_supported	378
candidate_17	freq_supported	252890
candidate_18	N	152551373
candidate_18	unique_supported	378
candidate_18	freq_supported	252890
candidate_19	N	305102735
candidate_19	unique_supported	378
candidate_19	freq_supported	252890
candidate_20	N	305102746
candidate_20	unique_supported	378
candidate_20	freq_supported	252890
