cell_type	sample1_count	sample2_count	sample1_fraction	sample2_fraction	log2_sample1_over_sample2	mean_marker_score_sample1	mean_marker_score_sample2	median_detected_markers_sample1	median_detected_markers_sample2	absolute_fraction_drop	min_high_count	selected_depleted_cell_type
horizontal cell	184	46	0.0292295472597299	0.00919264588329336	1.65719360651181	0.120454488867311	0.0772567207390902	0	0	0.0200369013764366	184	TRUE
Schwann cell	2	0	0.000317712470214456	0	1.9908035064468	0.0295286597637238	0.0251085272262387	0	0	0.000317712470214456	2	FALSE
astrocyte	1	0	0.000158856235107228	0	1.2538379122806	0.0493508968068949	0.0592338449524932	0	0	0.000158856235107228	1	FALSE
macrophage	1	0	0.000158856235107228	0	1.2538379122806	0.0321403775507429	0.0188627957826068	0	0	0.000158856235107228	1	FALSE
Pericyte	1	0	0.000158856235107228	0	1.2538379122806	0.0207592337660679	0.0164390831530511	0	0	0.000158856235107228	1	FALSE
cone cell	244	168	0.0387609213661636	0.0335731414868106	0.205961285329816	0.0761391956098425	0.151254607586499	0	0	0.00518777987935307	244	FALSE
bipolar cell	821	590	0.130420969023034	0.117905675459632	0.145198927112358	0.424505856292829	0.624116261536515	1	2	0.0125152935634019	821	FALSE
RPE cell	4	3	0.000635424940428912	0.000599520383693046	0.0314454909441494	0.0799241914915781	0.051258538004157	0	0	3.59045567358663e-05	4	FALSE
rod cell	4001	3588	0.635583796664019	0.717026378896882	-0.173964599924162	1.24150100309044	2.13146619976578	4	7	-0.0814425822328634	4001	FALSE
muller glia cell	410	403	0.0651310563939635	0.0805355715427658	-0.306311039940534	0.2024035699762	0.334958001433496	0	1	-0.0154045151488023	410	FALSE
microglial cell	0	0	0	0	-0.331124588440559	0.00780171045711094	0.00840334337210378	0	0	0	0	FALSE
T cells	0	0	0	0	-0.331124588440559	0.0149414226963955	0.0298502333980759	0	0	0	0	FALSE
B cell	0	0	0	0	-0.331124588440559	0.00376952898234922	0.00698105938050965	0	0	0	0	FALSE
endothelial cell	0	0	0	0	-0.331124588440559	0.0142627569179531	0.027893997550709	0	0	0	0	FALSE
RGC	88	88	0.0139793486894361	0.017585931254996	-0.331124588440559	0.034944145160929	0.0802615149055931	0	0	-0.00360658256555994	88	FALSE
fibroblast	0	1	0	0.000199840127897682	-1.91608708916172	0.00403989416546172	0.010594873062182	0	0	-0.000199840127897682	1	FALSE
