section	sample	cell_type	value	fraction	detail
prelim_composition	sample1	rod cell	4071	0.646703733121525	dims=36601x6295 median_umi=1999.0
prelim_composition	sample1	bipolar cell	969	0.153931691818904	dims=36601x6295 median_umi=1999.0
prelim_composition	sample1	muller glia cell	442	0.0702144559173948	dims=36601x6295 median_umi=1999.0
prelim_composition	sample1	horizontal cell	284	0.0451151707704527	dims=36601x6295 median_umi=1999.0
prelim_composition	sample1	cone cell	254	0.0403494837172359	dims=36601x6295 median_umi=1999.0
prelim_composition	sample1	RGC	107	0.0169976171564734	dims=36601x6295 median_umi=1999.0
prelim_composition	sample1	macrophage	72	0.0114376489277204	dims=36601x6295 median_umi=1999.0
prelim_composition	sample1	unassigned	41	0.00651310563939635	dims=36601x6295 median_umi=1999.0
prelim_composition	sample1	Schwann cell	24	0.00381254964257347	dims=36601x6295 median_umi=1999.0
prelim_composition	sample1	astrocyte	6	0.000953137410643368	dims=36601x6295 median_umi=1999.0
prelim_composition	sample1	fibroblast	5	0.00079428117553614	dims=36601x6295 median_umi=1999.0
prelim_composition	sample1	microglial cell	5	0.00079428117553614	dims=36601x6295 median_umi=1999.0
prelim_composition	sample1	Pericyte	5	0.00079428117553614	dims=36601x6295 median_umi=1999.0
prelim_composition	sample1	RPE cell	5	0.00079428117553614	dims=36601x6295 median_umi=1999.0
prelim_composition	sample1	endothelial cell	3	0.000476568705321684	dims=36601x6295 median_umi=1999.0
prelim_composition	sample1	B cell	2	0.000317712470214456	dims=36601x6295 median_umi=1999.0
prelim_composition	sample2	rod cell	3625	0.724420463629097	dims=36601x5004 median_umi=3197.0
prelim_composition	sample2	bipolar cell	615	0.122901678657074	dims=36601x5004 median_umi=3197.0
prelim_composition	sample2	muller glia cell	422	0.0843325339728217	dims=36601x5004 median_umi=3197.0
prelim_composition	sample2	cone cell	174	0.0347721822541966	dims=36601x5004 median_umi=3197.0
prelim_composition	sample2	RGC	95	0.0189848121502798	dims=36601x5004 median_umi=3197.0
prelim_composition	sample2	horizontal cell	59	0.0117905675459632	dims=36601x5004 median_umi=3197.0
prelim_composition	sample2	RPE cell	5	0.000999200639488409	dims=36601x5004 median_umi=3197.0
prelim_composition	sample2	unassigned	3	0.000599520383693046	dims=36601x5004 median_umi=3197.0
prelim_composition	sample2	Schwann cell	2	0.000399680255795364	dims=36601x5004 median_umi=3197.0
prelim_composition	sample2	B cell	1	0.000199840127897682	dims=36601x5004 median_umi=3197.0
prelim_composition	sample2	endothelial cell	1	0.000199840127897682	dims=36601x5004 median_umi=3197.0
prelim_composition	sample2	fibroblast	1	0.000199840127897682	dims=36601x5004 median_umi=3197.0
prelim_composition	sample2	macrophage	1	0.000199840127897682	dims=36601x5004 median_umi=3197.0
marker_availability	both	astrocyte	6	1	GFAP,AQP4,ALDH1L1,SLC1A3,S100B,GJA1
marker_availability	both	microglial cell	7	1	P2RY12,CX3CR1,AIF1,TMEM119,C1QA,C1QB,C1QC
marker_availability	both	RPE cell	7	1	RPE65,BEST1,PMEL,MITF,TYR,MERTK,RLBP1
marker_availability	both	cone cell	7	1	OPN1LW,OPN1MW,OPN1SW,GNAT2,ARR3,PDE6H,CNGB3
marker_availability	both	rod cell	8	1	RHO,NRL,GNAT1,PDE6A,PDE6B,PDE6G,SAG,PRPH2
marker_availability	both	horizontal cell	6	1	ONECUT1,ONECUT2,LHX1,PROX1,CALB1,SEMA6A
marker_availability	both	bipolar cell	6	1	VSX2,GRM6,TRPM1,CABP5,PRKCA,OTX2
marker_availability	both	RGC	6	1	RBPMS,SNCG,THY1,POU4F1,POU4F2,POU4F3
marker_availability	both	T cells	6	1	CD3D,CD3E,CD3G,TRAC,LCK,IL7R
marker_availability	both	macrophage	6	1	CD68,CD163,LYZ,FCGR3A,MRC1,MSR1
marker_availability	both	Schwann cell	6	1	SOX10,PLP1,MPZ,MBP,PMP22,ERBB3
marker_availability	both	Pericyte	6	1	RGS5,PDGFRB,CSPG4,MCAM,ACTA2,NOTCH3
marker_availability	both	B cell	6	1	MS4A1,CD79A,CD79B,BANK1,CD74,MS4A7
marker_availability	both	fibroblast	6	1	COL1A1,COL1A2,COL3A1,DCN,LUM,PDGFRA
marker_availability	both	endothelial cell	6	1	PECAM1,VWF,KDR,CLDN5,RAMP2,ESAM
marker_availability	both	muller glia cell	7	1	RLBP1,GLUL,SLC1A3,APOE,CLU,CA2,SOX9
