query	rank	ref_sgdp_id	ref_sample_id	population	region	label	concordant	compared	concordance	ibs0	mean_abs_dosage_error
Sample1	1	S_Yoruba-1	HGDP00928	Yoruba	Africa	AFR	77486	77486	1.00000000	0	0.00000000
Sample1	2	S_BantuHerero-2	HGDP01035	BantuHerero	Africa	AFR	50652	77486	0.65369228	0	0.34630772
Sample1	3	S_Finnish-2	HG00190	Finnish	WestEurasia	EUR	45959	77486	0.59312650	0	0.40687350
Sample1	4	S_Punjabi-1	HG02724	Punjabi	SouthAsia	SAS	45620	77486	0.58875152	0	0.41124848
Sample1	5	S_Mandenka-2	HGDP00915	Mandenka	Africa	AFR	45068	77486	0.58162765	3229	0.46004440
Sample1	6	S_Luo-2	Ayodo_502C	Luo	Africa	AFR	44751	77486	0.57753659	3184	0.46355471
Sample1	7	B_Yoruba-3	HGDP00936	Yoruba	Africa	AFR	44382	77486	0.57277444	3085	0.46703921
Sample1	8	S_Yoruba-2	HGDP00932	Yoruba	Africa	AFR	44294	77486	0.57163875	2880	0.46552926
Sample1	9	S_Mandenka-1	HGDP01199	Mandenka	Africa	AFR	44270	77486	0.57132901	3104	0.46872984
Sample1	10	S_BantuKenya-2	HGDP01414	BantuKenya	Africa	AFR	44229	77486	0.57079989	2847	0.46594223
Sample2	1	S_BantuHerero-2	HGDP01035	BantuHerero	Africa	AFR	77486	77486	1.00000000	0	0.00000000
Sample2	2	S_Yoruba-1	HGDP00928	Yoruba	Africa	AFR	50652	77486	0.65369228	0	0.34630772
Sample2	3	S_Punjabi-1	HG02724	Punjabi	SouthAsia	SAS	46226	77486	0.59657228	0	0.40342772
Sample2	4	S_Finnish-2	HG00190	Finnish	WestEurasia	EUR	46103	77486	0.59498490	0	0.40501510
Sample2	5	S_BantuTswana-2	HGDP01034	BantuTswana	Africa	AFR	45433	77486	0.58633818	3215	0.45515319
Sample2	6	S_BantuHerero-1	HGDP01028	BantuHerero	Africa	AFR	44751	77486	0.57753659	3762	0.47101412
Sample2	7	S_Luo-1	Ayodo_430C	Luo	Africa	AFR	44725	77486	0.57720104	2720	0.45790207
Sample2	8	S_Mende-2	HG03085	Mende	Africa	AFR	44539	77486	0.57480061	2916	0.46283200
Sample2	9	S_Biaka-2	HGDP00461	Biaka	Africa	AFR	44523	77486	0.57459412	3477	0.47027850
Sample2	10	S_Luo-2	Ayodo_502C	Luo	Africa	AFR	44445	77486	0.57358749	3414	0.47047209
Sample3	1	S_Punjabi-1	HG02724	Punjabi	SouthAsia	SAS	77486	77486	1.00000000	0	0.00000000
Sample3	2	S_Finnish-2	HG00190	Finnish	WestEurasia	EUR	50739	77486	0.65481506	0	0.34518494
Sample3	3	S_Irula-2	I3	Irula	SouthAsia	SAS	47213	77486	0.60931007	2580	0.42398627
Sample3	4	S_Kapu-2	K4	Kapu	SouthAsia	SAS	47008	77486	0.60666443	3127	0.43369125
Sample3	5	S_Hazara-2	HGDP00125	Hazara	SouthAsia	SAS	46886	77486	0.60508995	2964	0.43316212
Sample3	6	S_North_Ossetian-2	NorthOssetia5	North_Ossetian	WestEurasia	EUR	46791	77486	0.60386392	2847	0.43287820
Sample3	7	S_Madiga-2	M13	Madiga	SouthAsia	SAS	46740	77486	0.60320574	2820	0.43318793
Sample3	8	S_Punjabi-2	HG02783	Punjabi	SouthAsia	SAS	46722	77486	0.60297344	3161	0.43782103
Sample3	9	S_Khonda_Dora-1	KD4	Khonda_Dora	SouthAsia	SAS	46699	77486	0.60267661	2915	0.43494309
Sample3	10	S_Yadava-1	Y4	Yadava	SouthAsia	SAS	46415	77486	0.59901143	2726	0.43616911
Sample4	1	S_Finnish-2	HG00190	Finnish	WestEurasia	EUR	77486	77486	1.00000000	0	0.00000000
Sample4	2	S_Punjabi-1	HG02724	Punjabi	SouthAsia	SAS	50739	77486	0.65481506	0	0.34518494
Sample4	3	S_Pathan-2	HGDP00232	Pathan	SouthAsia	SAS	47327	77486	0.61078130	3128	0.42958728
Sample4	4	S_Spanish-2	HG01504	Spanish	WestEurasia	EUR	47249	77486	0.60977467	3050	0.42958728
Sample4	5	S_Czech-2	NA15728	Czech	WestEurasia	EUR	46989	77486	0.60641922	3086	0.43340733
Sample4	6	S_Bergamo-2	HGDP01172	Bergamo	WestEurasia	EUR	46955	77486	0.60598044	3355	0.43731771
Sample4	7	S_Tajik-2	tdj430_shugnan	Tajik	WestEurasia	EUR	46949	77486	0.60590300	3474	0.43893090
Sample4	8	S_North_Ossetian-2	NorthOssetia5	North_Ossetian	WestEurasia	EUR	46816	77486	0.60418656	3275	0.43807914
Sample4	9	S_Finnish-1	HG00174	Finnish	WestEurasia	EUR	46760	77486	0.60346385	2726	0.43171670
Sample4	10	B_French-3	HGDP00533	French	WestEurasia	EUR	46655	77486	0.60210877	2667	0.43231035
#matched_sites	77486
#summary	query,sgdp_id,population,region,label,best_concordance,runner_up_concordance,gap	Sample1,S_Yoruba-1,Yoruba,Africa,AFR,1.0,0.6536922798957231,0.3463077201042769|Sample2,S_BantuHerero-2,BantuHerero,Africa,AFR,1.0,0.6536922798957231,0.3463077201042769|Sample3,S_Punjabi-1,Punjabi,SouthAsia,SAS,1.0,0.6548150633662855,0.34518493663371447|Sample4,S_Finnish-2,Finnish,WestEurasia,EUR,1.0,0.6548150633662855,0.34518493663371447
#metadata_check_Sample1	C	LP6005442-DNA_B02	HGDP00928	HGDP00928	S_Yoruba-1	Yoruba	Africa	Nigeria	?	Howard Cann	F	7.4	3.9	Genomic_from_cell_lines	FullyPublic	X
#metadata_check_Sample2	C	LP6005441-DNA_F01	HGDP01035	HGDP01035	S_BantuHerero-2	BantuHerero	Africa	BotswanaOrNamibia	?	Howard Cann	M	-22.0	19.0	Genomic_from_cell_lines	FullyPublic	X
#metadata_check_Sample3	C	LP6005592-DNA_B04	HG02724	HG02724	S_Punjabi-1	Punjabi	SouthAsia	Pakistan	Lahore	1KG	M	31.5	74.3	Genomic_from_cell_lines	FullyPublic	X
#metadata_check_Sample4	C	LP6005442-DNA_C10	HG00190	HG00190	S_Finnish-2	Finnish	WestEurasia	Finland	?	1KG	M	60.2	24.9	Genomic_from_cell_lines	FullyPublic	X
#final_labels	AFR,AFR,SAS,EUR
#versions	tszip=0.3.1;tskit=1.0.3;numpy=2.4.6
