#DNase1_peaks	96661
#DNase2_peaks	111742
TF	chip_fragments	control_fragments	chip_union_rate	control_union_rate	union_chip_control_FC	chip_closed_rate	control_closed_rate	closed_chip_control_FC	union_closed_over_open_log2	chip_shared_rate	control_shared_rate	shared_chip_control_FC	shared_closed_over_open_log2
TF1	64475291	82047466	0.06126231	0.02266002	2.70354188	0.93873769	0.97733998	0.96050270	-1.49298913	0.04034541	0.01318565	3.05979725	-1.65369953
TF2	28141093	53588559	0.06827105	0.02502258	2.72837779	0.93172895	0.97497742	0.95564157	-1.51350191	0.04572879	0.01479181	3.09149271	-1.67433286
TF3	32487802	36490846	0.08617865	0.03387926	2.54369909	0.91382135	0.96612074	0.94586661	-1.42721936	0.06305370	0.02065513	3.05269007	-1.67393175
TF4	45707152	52032353	0.07307482	0.02542958	2.87361473	0.92692518	0.97457042	0.95111155	-1.59518019	0.04650340	0.01485839	3.12977383	-1.69316173
TF5	30890348	16452140	0.10205991	0.01845286	5.53084550	0.89794009	0.98154714	0.91482116	-2.59593840	0.07105291	0.01044812	6.80054197	-2.85682863
TF6	13458899	16833124	0.10824667	0.03608908	2.99942982	0.89175333	0.96391092	0.92514081	-1.69694340	0.07760122	0.02218109	3.49853092	-1.89092595

FILE_LEVEL
file	TF	kind	fragments	union_fragments	shared_fragments	union_rate	shared_rate
TF1.control1.bed.gz	TF1	control	37039899	841720	489177	0.02272468	0.01320676
TF1.control2.bed.gz	TF1	control	45007567	1017477	592672	0.02260680	0.01316827
TF3.rep1.bed.gz	TF3	chip	15298277	1060704	758764	0.06933487	0.04959800
TF1.rep2.bed.gz	TF1	chip	34212511	2023839	1330997	0.05915494	0.03890381
TF1.rep1.bed.gz	TF1	chip	30262780	1926066	1270285	0.06364471	0.04197516
TF3.control1.bed.gz	TF3	control	23274203	813740	497421	0.03496317	0.02137220
TF6.control.bed.gz	TF6	control	16833124	607492	373377	0.03608908	0.02218109
TF4.control2.bed.gz	TF4	control	23754574	622736	364471	0.02621541	0.01534319
TF2.control2.bed.gz	TF2	control	26693947	667726	394703	0.02501414	0.01478624
TF5.control.bed.gz	TF5	control	16452140	303589	171894	0.01845286	0.01044812
TF4.control1.bed.gz	TF4	control	28277779	700425	408646	0.02476945	0.01445113
TF2.rep1.bed.gz	TF2	chip	9520602	658971	441954	0.06921527	0.04642080
TF5.rep1.bed.gz	TF5	chip	16135021	2553805	1800722	0.15827714	0.11160333
TF2.control1.bed.gz	TF2	control	26894612	673198	397969	0.02503096	0.01479735
TF6.rep1.bed.gz	TF6	chip	8156838	1035885	747351	0.12699590	0.09162264
TF4.rep2.bed.gz	TF4	chip	19481343	1436299	914626	0.07372690	0.04694882
TF4.rep1.bed.gz	TF4	chip	26225809	1903743	1210912	0.07259044	0.04617253
TF5.rep2.bed.gz	TF5	chip	14755327	598861	394127	0.04058609	0.02671083
TF2.rep2.bed.gz	TF2	chip	18620491	1262251	844904	0.06778828	0.04537496
TF6.rep2.bed.gz	TF6	chip	5302061	420996	297076	0.07940233	0.05603029
TF3.control2.bed.gz	TF3	control	13216643	422543	256302	0.03197052	0.01939237
TF3.rep2.bed.gz	TF3	chip	17189525	1739051	1289712	0.10116923	0.07502895
