tf	metric	settings	wins	median_rank	mean_rank	min_value	median_value	max_value
TF1	closed_pairs	81	0	2.000	2.000	44432.00000000	52881.00000000	63521.00000000
TF1	closed_qsum	81	0	2.000	2.000	483032.15886000	540374.40595000	651347.19495000
TF1	closed_fesum	81	0	2.000	2.000	220130.58885000	252365.11622000	302141.72201000
TF1	closed_fraction	81	0	2.000	2.000	0.71311871	0.76665215	0.88340171
TF1	closed_q_fraction	81	0	2.000	2.000	0.68343130	0.73645553	0.86729629
TF1	closed_fe_fraction	81	0	2.000	2.000	0.70558678	0.75799164	0.87834434
TF2	closed_pairs	81	0	5.000	5.099	1521.00000000	2208.00000000	4488.00000000
TF2	closed_qsum	81	0	5.000	5.346	12525.16172000	16072.33505000	29719.23998000
TF2	closed_fesum	81	0	6.000	5.815	8996.63462000	12231.51160000	23757.89787000
TF2	closed_fraction	81	0	4.000	4.420	0.29613993	0.37640641	0.67671894
TF2	closed_q_fraction	81	0	3.000	3.765	0.30173298	0.37454939	0.65236638
TF2	closed_fe_fraction	81	0	4.000	3.975	0.29876259	0.37602735	0.66445568
TF3	closed_pairs	81	0	4.000	4.580	1490.00000000	2458.00000000	5526.00000000
TF3	closed_qsum	81	0	4.000	4.000	17896.69940000	30183.32948000	71967.80020000
TF3	closed_fesum	81	0	4.000	4.259	9765.51297000	16095.08628000	36246.69332000
TF3	closed_fraction	81	0	6.000	6.000	0.13522656	0.21253967	0.46069195
TF3	closed_q_fraction	81	0	6.000	6.000	0.10011275	0.16678763	0.39326607
TF3	closed_fe_fraction	81	0	6.000	6.000	0.12036615	0.19402050	0.42585839
TF4	closed_pairs	81	81	1.000	1.000	105618.00000000	135469.00000000	167153.00000000
TF4	closed_qsum	81	81	1.000	1.000	773168.25154000	924315.44539000	1093605.15759000
TF4	closed_fesum	81	81	1.000	1.000	446811.86064000	554375.21634000	664166.54721000
TF4	closed_fraction	81	81	1.000	1.000	0.82143885	0.87962289	0.95912805
TF4	closed_q_fraction	81	81	1.000	1.000	0.80566835	0.86593913	0.95288062
TF4	closed_fe_fraction	81	81	1.000	1.000	0.81593105	0.87504385	0.95655513
TF5	closed_pairs	81	0	5.000	5.321	1457.00000000	2201.00000000	4541.00000000
TF5	closed_qsum	81	0	6.000	5.654	10920.64373000	14974.36436000	30403.21939000
TF5	closed_fesum	81	0	5.000	4.926	9664.71645000	13837.69639000	28268.24315000
TF5	closed_fraction	81	0	5.000	4.568	0.26702737	0.36267871	0.70239753
TF5	closed_q_fraction	81	0	4.000	3.654	0.26757191	0.35671204	0.69192478
TF5	closed_fe_fraction	81	0	5.000	4.444	0.26724353	0.36047352	0.69735918
TF6	closed_pairs	81	0	3.000	3.000	3175.00000000	4318.00000000	7700.00000000
TF6	closed_qsum	81	0	3.000	3.000	36952.95428000	50555.07173000	97117.83735000
TF6	closed_fesum	81	0	3.000	3.000	25686.53859000	34607.91831000	63478.68155000
TF6	closed_fraction	81	0	3.000	3.012	0.32573485	0.41869485	0.72765073
TF6	closed_q_fraction	81	0	5.000	4.580	0.25844096	0.34968707	0.66327985
TF6	closed_fe_fraction	81	0	4.000	3.580	0.29382559	0.38742615	0.69499048
