tf	match_radius	q_threshold	dnase_mode	dnase_expansion	reproducible_pairs	closed_pairs	closed_fraction	closed_qsum	total_qsum	closed_q_fraction	closed_fesum	total_fesum	closed_fe_fraction	median_closed_q	median_all_q	median_closed_fe	median_all_fe	median_summit_distance
TF1	250	1.30103	union	0	66613	56357	0.84603606	593878.725520	716526.886750	0.82882965	272011.279790	323427.250400	0.84102771	8.102420	8.261780	4.401870	4.429640	48.000
TF2	250	1.30103	union	0	5866	3452	0.58847596	24268.996590	42700.755550	0.56835052	18765.682040	32483.844380	0.57769277	5.267910	5.437930	4.939790	5.014150	50.000
TF3	250	1.30103	union	0	11517	3929	0.34114787	51174.384240	179981.230340	0.28433178	25743.347010	82860.328510	0.31068362	8.194490	10.223400	5.580080	6.068160	30.000
TF4	250	1.30103	union	0	146273	137594	0.94066574	930049.970740	997447.740540	0.93242977	555525.880340	592644.827860	0.93736730	5.779580	5.793060	3.810840	3.835270	64.000
TF5	250	1.30103	union	0	5903	3501	0.59308826	24296.693950	41362.587580	0.58740749	22202.071010	37592.897300	0.59059218	5.691970	5.752880	5.986890	6.072860	42.000
TF6	250	1.30103	union	0	10156	6443	0.63440331	80282.461360	143378.507770	0.55993372	52832.562730	88796.120910	0.59498728	8.888810	9.894545	7.129610	7.465420	33.000
TF1	250	1.30103	union	250	66613	49155	0.73791902	506069.421410	716526.886750	0.70628113	235792.832320	323427.250400	0.72904442	7.868350	8.261780	4.376380	4.429640	48.000
TF2	250	1.30103	union	250	5866	1950	0.33242414	14214.312540	42700.755550	0.33288199	10806.635610	32483.844380	0.33267724	5.583150	5.437930	5.073690	5.014150	50.000
TF3	250	1.30103	union	250	11517	1782	0.15472779	20008.583870	179981.230340	0.11117039	11207.207910	82860.328510	0.13525421	7.837170	10.223400	5.610340	6.068160	30.000
TF4	250	1.30103	union	250	146273	125985	0.86130045	842003.018900	997447.740540	0.84415753	506568.047000	592644.827860	0.85475823	5.777210	5.793060	3.803410	3.835270	64.000
TF5	250	1.30103	union	250	5903	1887	0.31966797	13171.294120	41362.587580	0.31843496	11991.949210	37592.897300	0.31899508	5.691970	5.752880	6.072860	6.072860	42.000
TF6	250	1.30103	union	250	10156	3809	0.37504923	42541.326620	143378.507770	0.29670644	29870.172520	88796.120910	0.33639051	8.180460	9.894545	6.891060	7.465420	33.000
TF1	250	1.30103	union	500	66613	47782	0.71730743	491009.250840	716526.886750	0.68526284	229159.399500	323427.250400	0.70853461	7.859240	8.261780	4.376380	4.429640	48.000
TF2	250	1.30103	union	500	5866	1785	0.30429594	13152.690270	42700.755550	0.30802008	9945.486250	32483.844380	0.30616716	5.652490	5.437930	5.097050	5.014150	50.000
TF3	250	1.30103	union	500	11517	1590	0.13805679	18127.516110	179981.230340	0.10071893	10107.767570	82860.328510	0.12198561	7.928240	10.223400	5.688505	6.068160	30.000
