GroupBy(SampleID),count(SampleID)
2018jz1,1076
2018jz11,3838
2018jz12,4672
2018jz14,2707
2018jz15,4008
2018jz16,4060
2018jz17,1454
2018jz18,3854
2018jz19,3055
2018jz2,2083
2018jz20,1220
2018jz21,529
2018jz22,303
2018jz23,3995
2018jz24,2828
2018jz25,1901
2018jz26,277
2018jz27,1653
2018jz28,4022
2018jz33,1889
2018jz34,1982
2018jz36,1744
2018jz37,3732
2018jz38,2442
2018jz39,1181
2018jz4,2219
2018jz40,425
2018jz41,2454
2018jz44,5154
2018jz45,8244
2018jz46,1481
2018jz47,1577
2018jz5,4237
2018jz50,2385
2018jz53,2282
2018jz54,4938
2018jz57,2545
2018jz58,424
2018jz59,344
2018jz63,1947
2018jz7,1995
2018jz8,2497
AK2831,2962
AK2833,2788
AK2834,4146
AK2851,2666
AK2852,3018
AK2853,2575
AK2854,3069
AK3272,4579
AK3273,4744
AK3274,4802
AK3714,278
AK3715,281
AK3716,278
AK4295,604
AK4296,594
AK4297,600
AK4298,599
AK4433,2100
AK4434,2122
AK4436,2160
AK4556,2635
AK4557,2610
AK4558,2539
AK4559,2569
AK576,4567
AK646,2613
AK647,2617
AK648,3439
AK649,2582
AK650,1697
AK651,1726
AK652,1689
AK653,1747
AK654,2723
AK655,1738
AK656,2696
AK657,2803
AK658,3235
AK659,3120
AK660,3429
AK661,3596
AK831,3470
AK832,3458
AK833,3364
AK834,3436
BT1247,279
BT1290,2632
BT1291,3974
BT1292,3088
BT1293,3760
BT1294,1338
BT1295,2732
BT1296,4154
BT1297,4402
BT1298,2200
BT1299,3349
BT1300,4800
BT1301,5598
BT1375,1389
BT1376,1186
BT1377,573
BT1378,2561
BT1425,2504
BT1426,2990
BT1427,3037
BT1428,5191
BT1429,2125
BT1430,1937
BT1431,2952
BT1432,1125
BT1A,360
BT1B,334
BT1C,558
BT2A,525
BT2B,1063
