group	member	mean_patristic_distance	n_taxa	n_pairs	status
animals	1003258at2759.faa.mafft.clipkit.treefile	1.5591328997999998	3	3	ok
animals	100698at2759.faa.mafft.clipkit.treefile	0.47042986953333332	3	3	ok
animals	1010730at2759.faa.mafft.clipkit.treefile	1.2812257515333334	3	3	ok
animals	1014314at2759.faa.mafft.clipkit.treefile	0.63988531770000001	4	6	ok
animals	1018517at2759.faa.mafft.clipkit.treefile	0.56677588683333335	4	6	ok
animals	1019762at2759.faa.mafft.clipkit.treefile	1.2219457336666668	3	3	ok
animals	1038775at2759.faa.mafft.clipkit.treefile	0.83039013759999991	3	3	ok
animals	1041560at2759.faa.mafft.clipkit.treefile	0.80221365933333333	3	3	ok
animals	1065019at2759.faa.mafft.clipkit.treefile	1.0825288678666667	3	3	ok
animals	1079827at2759.faa.mafft.clipkit.treefile	0.24679564853333333	3	3	ok
animals	1094121at2759.faa.mafft.clipkit.treefile	0.75242575826666658	3	3	ok
animals	1096688at2759.faa.mafft.clipkit.treefile	0.71925434339999994	3	3	ok
animals	1112002at2759.faa.mafft.clipkit.treefile	1.0809956647333334	3	3	ok
animals	1129824at2759.faa.mafft.clipkit.treefile	1.2589226904666668	3	3	ok
animals	1138059at2759.faa.mafft.clipkit.treefile	0.61597436773333325	3	3	ok
animals	1157302at2759.faa.mafft.clipkit.treefile	0.33052243246666668	3	3	ok
animals	1161199at2759.faa.mafft.clipkit.treefile	1.022787997	3	3	ok
animals	1173229at2759.faa.mafft.clipkit.treefile	1.3465436398166666	4	6	ok
animals	1193442at2759.faa.mafft.clipkit.treefile	0.85468011244999997	4	6	ok
animals	1194691at2759.faa.mafft.clipkit.treefile	0.58940207833333336	3	3	ok
animals	1200489at2759.faa.mafft.clipkit.treefile	1.2634072330666666	3	3	ok
animals	1217666at2759.faa.mafft.clipkit.treefile	0.47258090773333322	3	3	ok
animals	1249159at2759.faa.mafft.clipkit.treefile	0.8173860727833332	4	6	ok
animals	1251252at2759.faa.mafft.clipkit.treefile	0.82079344473333327	3	3	ok
animals	1260807at2759.faa.mafft.clipkit.treefile	1.0687310068666667	3	3	ok
animals	1264469at2759.faa.mafft.clipkit.treefile	1.4902947420666666	3	3	ok
animals	1269244at2759.faa.mafft.clipkit.treefile	1.1610125099333333	3	3	ok
animals	1269649at2759.faa.mafft.clipkit.treefile	0.57398094314999992	4	6	ok
animals	1284731at2759.faa.mafft.clipkit.treefile	1.0719411247333335	3	3	ok
animals	1287094at2759.faa.mafft.clipkit.treefile	0.9796224898	3	3	ok
animals	1287401at2759.faa.mafft.clipkit.treefile	0.40560412646666671	3	3	ok
animals	1291729at2759.faa.mafft.clipkit.treefile	1.2973927757333332	3	3	ok
animals	1304061at2759.faa.mafft.clipkit.treefile	0.42110754820000001	3	3	ok
