miRNA	p_value	adjusted_p_value	significant_p_le_0_05
hsa-let-7a	0.0660510700148134	0.897357172022713	FALSE
hsa-let-7b	0.0416025494776501	0.721122676518273	FALSE
hsa-let-7b*	0.101715382121869	1	FALSE
hsa-let-7c	0.0800761229769024	0.988819563145073	FALSE
hsa-let-7d	0.0108749326559905	0.341659733938976	FALSE
hsa-let-7d*	0.0541963826251382	0.813228701607221	FALSE
hsa-let-7e	0.00995186075776381	0.333503377599659	FALSE
hsa-let-7f	0.0996288594618474	1	FALSE
hsa-let-7g	0.0123643122128435	0.355155969755687	FALSE
hsa-let-7i	0.00900194449805661	0.312072524006969	FALSE
hsa-let-7i*	0.125563057765306	1	FALSE
hsa-miR-1	0.274935807561811	1	FALSE
hsa-miR-101	0.113723966572786	1	FALSE
hsa-miR-103	0.00449861354921257	0.240847545799728	FALSE
hsa-miR-103-2*	0.494606703798868	1	FALSE
hsa-miR-106a	0.00387779746604439	0.240847545799728	FALSE
hsa-miR-106b	0.170142335675942	1	FALSE
hsa-miR-106b*	0.00167019727393111	0.202375263235428	FALSE
hsa-miR-107	0.00292561447268394	0.240847545799728	FALSE
hsa-miR-10a	0.0480130223123482	0.779508336353024	FALSE
hsa-miR-10b	0.420136193849309	1	FALSE
hsa-miR-122	0.581165303351477	1	FALSE
hsa-miR-125a-5p	0.0699394883377235	0.925179623081227	FALSE
hsa-miR-125b	0.0166321589707881	0.398122330267661	FALSE
hsa-miR-126	0.035017609540513	0.664244285271901	FALSE
hsa-miR-127-3p	0.0838481197636788	1	FALSE
hsa-miR-128	0.00590959275443427	0.247550331517746	FALSE
hsa-miR-130a	0.00160722558962776	0.202375263235428	FALSE
hsa-miR-132	0.169443218891333	1	FALSE
hsa-miR-133a	0.243466654574362	1	FALSE
hsa-miR-133b	0.361447213737299	1	FALSE
hsa-miR-136	0.236046003126455	1	FALSE
hsa-miR-139-5p	0.208179893588242	1	FALSE
hsa-miR-140-3p	0.0149544242446582	0.379650107616689	FALSE
hsa-miR-140-5p	0.291600880274775	1	FALSE
hsa-miR-142-3p	0.674280123469104	1	FALSE
hsa-miR-142-5p	0.0213946935298966	0.488844342914623	FALSE
hsa-miR-143	0.189096716684106	1	FALSE
