pathway_id	pathway_name	gene_id
pau01053	Biosynthesis	PA14_09210
pau01053	Biosynthesis	PA14_09220
pau01053	Biosynthesis	PA14_09240
pau01053	Biosynthesis	PA14_09270
pau01053	Biosynthesis	PA14_09280
pau01053	Biosynthesis	PA14_09290
pau02010	ABC	PA14_10160
pau02010	ABC	PA14_10180
pau02010	ABC	PA14_20030
pau02010	ABC	PA14_33540
pau02010	ABC	PA14_33550
pau02010	ABC	PA14_33560
pau02010	ABC	PA14_33690
pau02010	ABC	PA14_33760
pau02010	ABC	PA14_48115
pau02010	ABC	PA14_54980
pau02010	ABC	PA14_62000
pau01210	2-Oxocarboxylic	PA14_33500
pau01210	2-Oxocarboxylic	PA14_35520
pau01210	2-Oxocarboxylic	PA14_35530
pau01210	2-Oxocarboxylic	PA14_38200
pau00785	Lipoic	PA14_35520
pau00785	Lipoic	PA14_35530
pau00401	Novobiocin	PA14_31820
pau02020	Two-component	PA14_06170
pau02020	Two-component	PA14_06180
pau02020	Two-component	PA14_15190
pau02020	Two-component	PA14_15200
pau02020	Two-component	PA14_20000
pau02020	Two-component	PA14_28980
pau02020	Two-component	PA14_47390
pau02020	Two-component	PA14_64690
pau00261	Monobactam	PA14_33510
pau00640	Propanoate	PA14_35520
pau00640	Propanoate	PA14_35530
pau00280	Valine,	PA14_35520
pau00280	Valine,	PA14_35530
pau00660	C5-Branched	PA14_38200
pau04146	Peroxisome	PA14_58000
pau00290	Valine,	PA14_38200
pau00130	Ubiquinone	PA14_09210
pau00360	Phenylalanine	PA14_31820
pau01110	Biosynthesis	PA14_09210
pau01110	Biosynthesis	PA14_09220
pau01110	Biosynthesis	PA14_31820
pau01110	Biosynthesis	PA14_33500
pau01110	Biosynthesis	PA14_33510
pau01110	Biosynthesis	PA14_35520
pau01110	Biosynthesis	PA14_35530
pau01110	Biosynthesis	PA14_38200
pau01110	Biosynthesis	PA14_55580
pau01110	Biosynthesis	PA14_58030
pau00470	D-Amino	PA14_63940
pau03010	Ribosome	PA14_17700
pau03010	Ribosome	PA14_17710
pau00340	Histidine	PA14_31820
pau00770	Pantothenate	PA14_38200
pau00350	Tyrosine	PA14_31820
pau00020	Citrate	PA14_58030
pau00400	Phenylalanine,	PA14_31820
pau01501	beta-Lactam	PA14_33750
pau00720	Other	PA14_58030
pau00970	Aminoacyl-tRNA	PA14_60620
pau00970	Aminoacyl-tRNA	PA14_68030
pau00650	Butanoate	PA14_38200
pau01230	Biosynthesis	PA14_31820
pau01230	Biosynthesis	PA14_33500
pau01230	Biosynthesis	PA14_38200
pau00860	Porphyrin	PA14_55580
pau00260	Glycine,	PA14_33500
pau00620	Pyruvate	PA14_58030
pau02024	Quorum	PA14_33750
pau01200	Carbon	PA14_58030
pau01120	Microbial	PA14_33500
pau01120	Microbial	PA14_58030
pau01100	Metabolic	PA14_09210
pau01100	Metabolic	PA14_31820
pau01100	Metabolic	PA14_33500
pau01100	Metabolic	PA14_33510
pau01100	Metabolic	PA14_35520
pau01100	Metabolic	PA14_35530
pau01100	Metabolic	PA14_38200
pau01100	Metabolic	PA14_58030
pau01100	Metabolic	PA14_63940
