Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
WikiPathways_2019_Mouse	Cytokines and Inflammatory Response WP222	14/27	9.147468217182505e-09	1.472742382966383e-06	0	0	11.385061057135218	210.7350744304248	IL10;CSF3;H2-EB1;CSF2;IFNB1;PDGFA;CXCL1;CXCL3;IL1A;IL6;CD4;IL7;IL1B;IL12A
WikiPathways_2019_Mouse	G1 to S cell cycle control WP413	19/61	5.420372196305903e-07	4.3633996180262514e-05	0	0	4.788771755070418	69.09206925643514	CDKN1C;CDKN2B;CDKN1B;MCM7;GADD45A;PRIM1;RPA2;CDK7;CCND2;RBL1;CDC45;CDK6;CCND1;ORC1;MYC;MCM3;MCM5;POLE;MCM2
WikiPathways_2019_Mouse	Glutathione metabolism WP164	10/20	1.9804057424004124e-06	0.00010628177484215548	0	0	10.54913294797688	138.5334166778647	GGT5;GSTM2;GCLC;GPX4;IDH1;GSS;G6PDX;GSTA1;GSTT1;GCLM
WikiPathways_2019_Mouse	Spinal Cord Injury WP2432	24/99	3.0055493544108584e-06	0.00012097336151503704	0	0	3.3911421911421917	43.1185431727786	EPHA4;EGR1;NOS2;GADD45A;TNFSF13;XYLT1;CXCL1;CXCL2;RTN4;TNFSF13B;RHOB;EFNB2;MMP12;CXCL10;NR4A1;IL1A;IL6;CCND1;MYC;IL1B;CCL2;FCGR2B;TLR4;MAPK3
WikiPathways_2019_Mouse	DNA Replication WP150	14/41	5.001793171767614e-06	0.0001241336257037393	0	0	5.477490236470538	66.85667967754111	MCM7;PRIM1;RPA2;MCM10;CDC7;CDC6;POLA1;CDC45;ORC1;POLD1;MCM3;MCM5;POLE;MCM2
WikiPathways_2019_Mouse	Microglia Pathogen Phagocytosis Pathway WP3626	14/41	5.001793171767614e-06	0.0001241336257037393	0	0	5.477490236470538	66.85667967754111	C1QB;C1QA;ITGAM;NCF2;TREM2;PIK3R1;TREM3;TREM1;PIK3CG;SIGLECE;FCGR1;RAC3;LAT;C1QC
WikiPathways_2019_Mouse	TYROBP Causal Network WP3625	17/58	5.397114161032144e-06	0.0001241336257037393	0	0	4.384340982121371	53.18050476610957	ABCC4;ITGAM;KCNE3;NCF2;SLC1A5;LHFPL2;SAMSN1;PYCARD;C3;LYL1;CD4;SLC7A7;MAF;ADAP2;HLX;SPP1;C1QC
WikiPathways_2019_Mouse	Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways) WP4346	15/49	1.0651780807676536e-05	0.00021436708875449028	0	0	4.661381074168798	53.371803960128105	ABCA1;HMGCS1;ELOVL2;NR1H3;MSMO1;HMGCR;HSD17B7;CYP51;FADS2;CH25H;SQLE;SCD2;SC5D;FADS1;FDFT1
WikiPathways_2019_Mouse	Chemokine signaling pathway WP2292	34/190	4.081093694788612e-05	0.000730062316512185	0	0	2.3128625965671685	23.37508564481548	GSK3B;SHC2;CXCL9;CCL12;ADCY4;CXCL1;PIK3R1;CXCL2;CXCL5;PIK3CG;ADCY6;PIK3R5;CCL8;CCL7;CXCR3;CCL4;CCL3;CCL2;CSK;CCR5;CCR4;JAK3;MAPK3;CCR1;PRKCB;STAT3;PPBP;GNG11;NFKBIA;CXCL10;CXCL11;ADCY9;RAF1;PF4
WikiPathways_2019_Mouse	Eicosanoid Synthesis WP318	8/18	6.374793335844585e-05	0.0010263417270709	0	0	8.429561200923787	81.43439801872168	PTGIS;ALOX5;ALOX5AP;ALOX12;PTGS2;LTC4S;PTGS1;PTGES
