CDC73	CDC73-I2
CPSF1	CPSF1-I3
CPSF2	CPSF2-I1
CPSF3	CPSF3-I3
CPSF3L	CPSF3L-I8
CPSF4	CPSF4-I8
CPSF6	CPSF6-I5
CPSF7	CPSF7-I1
CSTF1	CSTF1-I5
CSTF2	CSTF2-I4
CSTF3	CSTF3-I5
CTR9	CTR9-I7
FIP1L1	FIP1L1-I1
LEO1	LEO1-I2
NT	NT-I1,NT-I10,NT-I2,NT-I3,NT-I4,NT-I5,NT-I6,NT-I7,NT-I8,NT-I9
NUDT21	NUDT21-I3
PABPC1	PABPC1-I1
PABPN1	PABPN1-I2
PAF1	PAF1-I6
PAPOLA	PAPOLA-I3
PCF11	PCF11-I5
PHF3	PHF3-I5
RBBP6	RBBP6-I4
RPAP2	RPAP2-I2
RPRD1A	RPRD1A-I5
RPRD1B	RPRD1B-I1
SCAF1	SCAF1-I2
SCAF11	SCAF11-I3
SCAF4	SCAF4-I4
SCAF8	SCAF8-I3
SF3A1	SF3A1-I5
SRSF3	SRSF3-I1
SYMPK	SYMPK-I3
THOC5	THOC5-I1
target_gene	guide
