	CDC73	CPSF1	CPSF2	CPSF3	CPSF3L	CPSF4	CPSF6	CPSF7	CSTF1	CSTF2	CSTF3	CTR9	FIP1L1	LEO1	NUDT21	PABPC1	PABPN1	PAF1	PAPOLA	PCF11	PHF3	RBBP6	RPAP2	RPRD1A	RPRD1B	SCAF1	SCAF11	SCAF4	SCAF8	SF3A1	SRSF3	SYMPK	THOC5
guide1	0.07432980134119206	0.07514819887792797	0.060018255648730236	0.06298196680727869	0.10023693780147754	0.08649304800372194	0.06532121138084847	0.0003955296158211847	0.07944909552996383	0.053918942060757695	0.054182595031303814	0.0804167947686718	0.08921115880044637	0.06453708891748357	0.06316738803069553	0.13839092675163708	0.06828941581957665	0.08216665624666626	0.09086645029065803	0.12014939155797569	0.04760543864021755	0.04423222045728883	0.10013118803724753	0.022354594110183767	0.04001020518440822	0.12511266596450665	0.026744254477770183	0.08478079155123168	0.015854366074174647	0.10474893068595725	0.04906108295444333	0.11220617392824697	0.12144566405782659
guide10	0.09439198140767928	0.13190011622000467	0.12563740025749603	0.12341922407276898	0.028591056183642254	0.12487160784286434	0.1415268293730732	0.0164978423879137	0.11595352380614098	0.053244128657765157	0.10122711649708468	0.09997831043113244	0.12982103040884124	0.055190158367606344	0.12947016009080642	0.04120139665605587	0.029888445259537814	0.09670381654015268	0.022163567830542717	0.11525045030601803	-0.07981314424852579	0.10648870544354824	0.06976389159055568	0.04230268537210742	0.1262692117067685	0.10757246993489882	0.01872470215698809	0.0565436347737454	-0.005161741454469659	0.03956572315062893	0.046292057979682326	0.130738124685525	0.07270734137229366
guide11	0.03714739636589586	0.08880620179224809	0.07168316293132652	0.09164693300987733	-0.04747525850701035	0.12523626097745047	0.1638037944241518	-0.029891699467667985	0.12651386493255462	0.06726447158657888	0.06939224245568971	0.05366262128250486	0.06376943803877753	0.01297554695102188	0.14921797364871897	0.04786430149857207	0.04030092458803699	0.04131667547666703	-0.018089385555575425	0.08168638877145556	-0.07409774293190972	0.07769752352390095	0.05794334746973391	-0.011139729373589176	0.11641308609652347	0.17528931965157282	0.10729961353998456	0.10799591779183673	0.007142357565694304	-0.011349297861971917	0.02854853317394133	0.13509223778768953	0.04610947346037895
guide12	0.18262258004090323	0.3086396085695844	0.29192144818885796	0.27985830053833205	0.07041131168045248	0.3113172844526914	0.33170883928435363	0.004845813409832537	0.2896250389130016	0.16483876854555077	0.23115407811016317	0.18813646016545843	0.28641305753652235	0.12468115785124634	0.2917609640224386	0.1524886340675454	0.13123992313759694	0.1849779337991174	0.09990096572403864	0.2881493835899754	-0.1044939543877582	0.2182434918657397	0.1853478772059151	0.06958490927939638	0.27131701939668085	0.2824358603214345	0.07642448686497949	0.18215177499807103	-0.05938291600731665	0.14049497265979893	0.10767984824319395	0.2900434359217375	0.20989654679586192
guide13	0.2145128214125129	0.2600220380488816	0.21497875810315037	0.21502146600885869	0.13191632322865296	0.28587620170704814	0.49339300421572024	0.05038472044738883	0.2824698296347932	0.12324918156996728	0.22246238521849546	0.2298132266645291	0.2702078584883144	0.12062996642519867	0.577529674141187	0.18888442211537693	0.14341313152852528	0.21619354560774187	-0.006668838314753534	0.23817640504705626	-0.11375977463039101	0.18607811678712471	0.21724750814590035	0.03962333160093327	0.3021324401172977	0.31398679025547166	0.05760380928015238	0.18505169482606781	0.020351786062071445	0.14869875349995015	0.2134821044112842	0.26035971316638856	0.19921719734468793
guide14	0.29497521263100857	0.2657875920715037	0.2449341937973678	0.2342524966660999	0.1251258967810359	0.28194236721369476	0.22112984794919396	0.022989505015580204	0.24712026719681074	0.14868067775522714	0.15227832311513295	0.3081604535424182	0.23188900930756043	0.2591061819802473	0.19013446130137848	0.18353025863721037	0.15536626000665044	0.29106848220273934	0.11045156093006246	0.25045771721830873	-0.06275651819026073	0.1657184541167382	0.15138333111133329	0.03699393786375752	0.19959595758383833	0.2724962671238507	0.02059869317594773	0.19573481314139257	-0.031178292479131706	0.20138558495142345	0.11889720033988803	0.2672566561302663	0.22842796715311872
guide15	0.10969692573187705	0.20222809864912397	0.16982114493684583	0.17086785227471413	0.028406272496250905	0.22498945312757818	0.23902828911313162	-0.020969085574763426	0.22855744053429766	0.1534030868081235	0.13239901595196066	0.1208644221465769	0.1887635266225411	0.08702874482514981	0.21870986007639445	0.21667148469885944	0.08773474843738996	0.14512551335702056	0.08174473507778941	0.2124790790911632	-0.08992510036500403	0.15298751095150045	0.1569704418628177	0.03684918838596754	0.14702316837692675	0.29951798993271966	0.04619764178390568	0.1781013515720541	-0.05446892867475716	0.10972504893300197	0.049764313990572566	0.249073349066934	0.16724786080191445
guide16	0.22740049514401986	0.3203083408763337	0.2800718686748748	0.29323975384159023	0.1500353068334123	0.34528261390730464	0.3202490760419631	-0.004217873448714939	0.36783548440941943	0.18377976120719047	0.22801134460845382	0.26505051805802077	0.31238068196722735	0.1354737143469486	0.311342098725684	0.2682673840106954	0.16866705852268238	0.2518069962162799	0.12480005625600227	0.31331056498042265	-0.13430411126016448	0.23925394605015787	0.22850696056427847	0.012483717715348711	0.33958760529550425	0.3932296044331843	0.06784968780198752	0.22949756309990257	-0.013058405418336218	0.20991876782075075	0.1855270766690831	0.3772069099362765	0.2240109360324375
guide17	0.1776445839377834	0.410474723714989	0.3973237459729499	0.396956773862271	0.10796973743878951	0.43821588389663546	0.2649414716536589	0.03579403256776131	0.32348397924335925	0.19073138788525554	0.315167122494685	0.21427320377092818	0.42133216229328657	0.1758867093394684	0.2343084289563372	0.19893034318921377	0.12857559759102394	0.21384302573772107	0.22947293708291752	0.4057630699265229	-0.0641252622450105	0.3305821958152879	0.18343936602557467	0.1159278193251128	0.21179316175172652	0.2913999416079977	0.052233137065325494	0.15623035594521426	-0.08179804138392167	0.19385273316210935	0.04589795300391813	0.3464205779848232	0.23839681001587246
guide18	0.155972799742912	0.15537313533492544	0.14260981280839255	0.15884706904188278	0.11732234331689376	0.20050290802011636	0.19904816629792668	-0.04027478877899156	0.19682524012900965	0.15911745343669817	0.10254176829367075	0.165060774122431	0.20826894237875773	0.08716773555070943	0.1909005316360213	0.4253394081815764	0.08611483390859337	0.19257867055114686	0.06648727590749105	0.20966180739447232	-0.11102041836081676	0.16126558811462355	0.17913145945325842	0.05474568948582759	0.1521322041972882	0.3348095718243829	0.10101614708064591	0.22057083426283342	-0.022034560433382422	0.15866668724266753	0.06779136616765466	0.2530908017716321	0.14392041081281645
